Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card
tg:lhaq:9286,,f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,repository numbers,object identifier,0,AA
tg:lhaq:8881,,62450c5b-0a35-5d36-b684-1e7c66e4a1c9,Letterenhuis,https://data.letterenhuis.be/ark:/24970/62450c5b-0a35-5d36-b684-1e7c66e4a1c9,repository numbers,object identifier,0,AA
tg:lhaq:8751,,1eec0799-63fa-543c-a3d0-be891a0c181c,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1eec0799-63fa-543c-a3d0-be891a0c181c,repository numbers,object identifier,0,AA
tg:lhaq:9140,,432a31ab-1b7d-527c-870a-feeb86b1d9c3,Letterenhuis,https://data.letterenhuis.be/ark:/24970/432a31ab-1b7d-527c-870a-feeb86b1d9c3,repository numbers,object identifier,0,AA
tg:lhaq:9005,,56e6263a-af53-574e-ae41-5addeaf522f7,Letterenhuis,https://data.letterenhuis.be/ark:/24970/56e6263a-af53-574e-ae41-5addeaf522f7,repository numbers,object identifier,0,AA
tg:lhaq:8993,,823461b2-0712-56a4-8ed4-be9310e7baa7,Letterenhuis,https://data.letterenhuis.be/ark:/24970/823461b2-0712-56a4-8ed4-be9310e7baa7,repository numbers,object identifier,0,AA
tg:lhaq:9394,,afc90268-a4a6-57a2-92ea-ac8b55d49c94,Letterenhuis,https://data.letterenhuis.be/ark:/24970/afc90268-a4a6-57a2-92ea-ac8b55d49c94,repository numbers,object identifier,0,AA
tg:lhaq:8706,,0946f068-5ab0-5558-bd03-4f927fba0f5e,Letterenhuis,https://data.letterenhuis.be/ark:/24970/0946f068-5ab0-5558-bd03-4f927fba0f5e,repository numbers,object identifier,0,AA
tg:lhaq:5564,,bb524cb6-ed81-546e-a22e-26957d99f5ff,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bb524cb6-ed81-546e-a22e-26957d99f5ff,repository numbers,object identifier,0,AA
tg:lhaq:9052,,5d08dca6-26ef-556a-a3d9-ec1296c7d5de,Letterenhuis,https://data.letterenhuis.be/ark:/24970/5d08dca6-26ef-556a-a3d9-ec1296c7d5de,repository numbers,object identifier,0,AA
tg:lhaq:9402,,b2bbf28f-a732-5f52-be4c-4e3a67ca9678,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b2bbf28f-a732-5f52-be4c-4e3a67ca9678,repository numbers,object identifier,0,AA
tg:lhaq:8985,,f051649c-2a76-5b5a-8afd-6f3b95716bc4,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f051649c-2a76-5b5a-8afd-6f3b95716bc4,repository numbers,object identifier,0,AA
tg:lhaq:5122,,2a009e82-1442-52f3-bdde-255bd25a5b29,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2a009e82-1442-52f3-bdde-255bd25a5b29,repository numbers,object identifier,0,AA
tg:lhaq:9414,,77b0399b-e866-5c0f-97b5-3aa876feeb5a,Letterenhuis,https://data.letterenhuis.be/ark:/24970/77b0399b-e866-5c0f-97b5-3aa876feeb5a,repository numbers,object identifier,0,AA
tg:lhaq:8878,,b115a4c2-902f-58fd-bf56-710a9ed715cc,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b115a4c2-902f-58fd-bf56-710a9ed715cc,repository numbers,object identifier,0,AA
tg:lhaq:8897,,1c2549b2-f726-5e8d-b9d9-6024da36156d,Letterenhuis,https://data.letterenhuis.be/ark:/24970/1c2549b2-f726-5e8d-b9d9-6024da36156d,repository numbers,object identifier,0,AA
tg:lhaq:6889,,29cd2b73-2d47-5785-883a-989c4e9de3b6,Letterenhuis,https://data.letterenhuis.be/ark:/24970/29cd2b73-2d47-5785-883a-989c4e9de3b6,repository numbers,object identifier,0,AA
tg:lhaq:7261,,2889da1d-de01-506d-a2b8-86ab9eaf34d7,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2889da1d-de01-506d-a2b8-86ab9eaf34d7,repository numbers,object identifier,0,AA
tg:lhaq:8747,,090a8e15-d13b-556d-9d94-a248ac6264bf,Letterenhuis,https://data.letterenhuis.be/ark:/24970/090a8e15-d13b-556d-9d94-a248ac6264bf,repository numbers,object identifier,0,AA
tg:lhaq:8317,,473c6aab-df61-5f40-bbb3-628e05adfba3,Letterenhuis,https://data.letterenhuis.be/ark:/24970/473c6aab-df61-5f40-bbb3-628e05adfba3,repository numbers,object identifier,0,AA
tg:lhaq:9013,,135c55d1-f7f0-5ed0-ac20-77c41a3026c4,Letterenhuis,https://data.letterenhuis.be/ark:/24970/135c55d1-f7f0-5ed0-ac20-77c41a3026c4,repository numbers,object identifier,0,AA
tg:lhaq:4066,,3427e823-4487-5f09-a8b8-0a62308a7afa,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3427e823-4487-5f09-a8b8-0a62308a7afa,repository numbers,object identifier,0,AA
tg:lhaq:8550,,7c078dc8-7219-5041-974a-d43d540d22fb,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7c078dc8-7219-5041-974a-d43d540d22fb,repository numbers,object identifier,0,AA
tg:lhaq:4123,,262ab269-588a-565f-9fff-7b4d784fe26a,Letterenhuis,https://data.letterenhuis.be/ark:/24970/262ab269-588a-565f-9fff-7b4d784fe26a,repository numbers,object identifier,0,AA
tg:lhaq:8383,,397cdc4d-1877-5ff1-aea4-d5699678eec6,Letterenhuis,https://data.letterenhuis.be/ark:/24970/397cdc4d-1877-5ff1-aea4-d5699678eec6,repository numbers,object identifier,0,AA
tg:lhaq:8679,,e9b2a80c-720e-5fb9-88c6-7dca2e80d611,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e9b2a80c-720e-5fb9-88c6-7dca2e80d611,repository numbers,object identifier,0,AA
tg:lhaq:9068,,da23c11e-76c1-5d41-bc0d-4654a90f4146,Letterenhuis,https://data.letterenhuis.be/ark:/24970/da23c11e-76c1-5d41-bc0d-4654a90f4146,repository numbers,object identifier,0,AA
tg:lhaq:20,,977c1be7-d310-596c-adf3-46f76e4317a7,Letterenhuis,https://data.letterenhuis.be/ark:/24970/977c1be7-d310-596c-adf3-46f76e4317a7,repository numbers,object identifier,0,AA
tg:lhaq:8696,,9c28a607-05e3-5d17-bea8-9dba2f73b252,Letterenhuis,https://data.letterenhuis.be/ark:/24970/9c28a607-05e3-5d17-bea8-9dba2f73b252,repository numbers,object identifier,0,AA
