ResourceID,brocade.id,card,order,Material Records
31441cf2-3f1a-5983-a02a-06ea12c49ca7,tg:lhaq:21,e73_MaterialRecords,1,"[{""resourceId"": ""2e6f3398-d238-54c5-9ba6-a3683fbdf689"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e069a1a-a173-40e5-8675-b251115961db"", ""inverseOntologyProperty"": """"}]"
db0d2c87-ede5-539b-a4b8-41e318f197a5,tg:lhaq:8853,e73_MaterialRecords,1,"[{""resourceId"": ""af8e72bc-abcf-5d4d-8eb0-983dc5958ccd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e0ac5a0f-3099-49a6-b2f8-a3adbdaed279"", ""inverseOntologyProperty"": """"}]"
f1fa8331-c4aa-51eb-b63d-28fc05816a0c,tg:lhaq:9022,e73_MaterialRecords,1,"[{""resourceId"": ""080156ad-154c-5599-903c-10c1869ca364"", ""ontologyProperty"": """", ""resourceXresourceId"": ""809a0f7f-bf60-4ba5-b3b9-563d6e29525c"", ""inverseOntologyProperty"": """"}]"
441fd62b-f45d-589b-b967-e6058f13c382,tg:lhaq:9032,e73_MaterialRecords,1,"[{""resourceId"": ""67b7df23-fea1-5e0f-b8da-aa7f8b8f918a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""33efb889-0995-49a6-b464-2a3e023f8dd5"", ""inverseOntologyProperty"": """"}]"
6bead15e-dd1f-5a41-ab64-2fbe3d534e87,tg:lhaq:8538,e73_MaterialRecords,1,"[{""resourceId"": ""fff6765a-0157-5677-98a7-736c82f8ddc5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8f6bcc38-6fdd-453f-b277-25f38e529bc9"", ""inverseOntologyProperty"": """"}]"
735a394a-dd03-5cd0-b1e8-50b90936b68c,tg:lhaq:6846,e73_MaterialRecords,1,"[{""resourceId"": ""5c4d7254-5ec1-5ef4-9c76-bb49eab66039"", ""ontologyProperty"": """", ""resourceXresourceId"": ""089d7e23-730a-4397-80ed-821b32138f55"", ""inverseOntologyProperty"": """"}]"
4fcafa1b-9cb6-5d03-97b3-ddc9f05c40ce,tg:lhaq:8982,e73_MaterialRecords,1,"[{""resourceId"": ""cf1c21d3-10b9-576c-9324-43829367a984"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b1d4a395-2654-4127-9854-af1591928fcb"", ""inverseOntologyProperty"": """"}]"
5eadd07a-2fa9-52be-9956-47f6291c04b2,tg:lhaq:8992,e73_MaterialRecords,1,"[{""resourceId"": ""644c36d3-ee56-5acc-a3c3-d466fbf97895"", ""ontologyProperty"": """", ""resourceXresourceId"": ""25e652ea-ae2d-4dab-9c62-caeceaa23680"", ""inverseOntologyProperty"": """"}]"
c543149c-c60d-5b26-82ea-bbb50f923bfc,tg:lhaq:8888,e73_MaterialRecords,1,"[{""resourceId"": ""16673786-e4a5-5da6-a6f1-119ac19a27c6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""17b6eb69-49f8-4ed8-b0c5-6f1f024c7e57"", ""inverseOntologyProperty"": """"}]"
132c4bbc-5c0b-5e3c-95e6-1ec56cead60a,tg:lhaq:8754,e73_MaterialRecords,1,"[{""resourceId"": ""bb0fdf8b-9b06-5263-90c0-a5836ee4cadd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8ebb3dd9-2c9d-4e6a-92e9-60cb80f6214d"", ""inverseOntologyProperty"": """"}]"
59c82674-92dc-56f8-bfa0-d83a226450f2,tg:lhaq:8744,e73_MaterialRecords,1,"[{""resourceId"": ""b26f81af-220c-57e9-89ef-938ae705c47f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""65bc4bbc-046d-4e33-9ec4-9b882e388761"", ""inverseOntologyProperty"": """"}]"
19b37ec2-df19-5bca-897c-20a08d2c43c4,tg:lhaq:9138,e73_MaterialRecords,1,"[{""resourceId"": ""91eede34-4c9d-5e8a-bea0-15aee4bbb226"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0033a1f4-0576-4205-a0a6-15963d472616"", ""inverseOntologyProperty"": """"}]"
7e523bd0-3e26-5b79-99c7-a53ae1773935,tg:lhaq:9040,e73_MaterialRecords,1,"[{""resourceId"": ""9fa1d996-569c-56b9-8122-fb63df1190e4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a5979ff7-11a7-46ee-bfc5-4d9310a073e9"", ""inverseOntologyProperty"": """"}]"
e0460b3f-426a-5852-8554-bb993abf2f73,tg:lhaq:9050,e73_MaterialRecords,1,"[{""resourceId"": ""0c093063-91f8-5ed9-a931-4e276fb9452f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""43170259-6c71-45c3-88cb-81c19ef76eb2"", ""inverseOntologyProperty"": """"}]"
e7948073-ce91-5b9b-a9ac-8ecf3448d4e2,tg:lhaq:2663,e73_MaterialRecords,1,"[{""resourceId"": ""bf143df1-e612-5a11-aeb9-cea87aa267f2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""daf4ba72-d8ab-4ebd-8a94-29e2bd2552da"", ""inverseOntologyProperty"": """"}]"
c4e0f8cb-5530-59b7-9d96-c189b5844ba2,tg:lhaq:8959,e73_MaterialRecords,1,"[{""resourceId"": ""a7a84139-d634-5b46-bae0-53b6b3bad13b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""51afaaee-8b90-42ca-8026-ab65387953d4"", ""inverseOntologyProperty"": """"}]"
0ea6dab1-abcd-5a8a-a26e-4e3c724c772c,tg:lhaq:8695,e73_MaterialRecords,1,"[{""resourceId"": ""e9ed828c-ece2-50c0-9536-967c421991b9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6afb1e3b-8633-4b70-8203-34bdc9af3fcb"", ""inverseOntologyProperty"": """"}]"
334956c1-a4ae-5bdf-ad74-55271b46deb8,tg:lhaq:8685,e73_MaterialRecords,1,"[{""resourceId"": ""91c83edb-d84e-5846-a48e-3c51d838f6b0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e0fd79ce-f291-49fb-b881-c71feaa57534"", ""inverseOntologyProperty"": """"}]"
