ResourceID,brocade.id,card,order,source_code,ire.isaar.uuid,ire.isaar.id,Depicted Item Role,Depicted Item Widget,Depicted Item Identifier
31441cf2-3f1a-5983-a02a-06ea12c49ca7,tg:lhaq:21,e73_DepictedItems,2,kw,6fa972fa-b963-5b2c-a60e-16f1dbbfbe79,au::9347,keywords,,
0ea6dab1-abcd-5a8a-a26e-4e3c724c772c,tg:lhaq:8695,e73_DepictedItems,2,kw,161fb583-dd23-51d2-b950-bc7aa79c1db1,au::21677,keywords,,
ee6ac1c6-3dec-569c-8cad-c20ee9b4beef,tg:lhaq:4372,e73_DepictedItems,2,kw,e207da12-299b-5160-b16a-e37a1f07cfb4,au::3495,keywords,,
3427e823-4487-5f09-a8b8-0a62308a7afa,tg:lhaq:4066,e73_DepictedItems,2,kw,74967e79-e61b-5a6c-a5e4-8970b0900af4,au::50076,keywords,,
428c3cc4-7bf9-5135-ba24-0c06e59d90ed,tg:lhaq:9424,e73_DepictedItems,2,kw,3d3e77f0-db59-5f07-b341-307cc1e3a875,au::15680,keywords,,
01582bee-3c39-5ada-b2be-121bcba0b779,tg:lhaq:2583,e73_DepictedItems,1,kw,b13d2966-2e8a-5595-94c8-54e3806d23ae,au::3006,keywords,,
ba70d35e-b0fb-5efd-b67d-20486f4c27c0,tg:lhaq:9412,e73_DepictedItems,2,kw,0fff0733-3dd4-5271-a910-7a62604292ff,au::112091,keywords,,
ba70d35e-b0fb-5efd-b67d-20486f4c27c0,tg:lhaq:9412,e73_DepictedItems,3,kw,4d7f6498-d277-5ada-ac50-4e50dbf52630,au::8591,keywords,,
94f80fce-a837-5506-8e8e-0eb92fe2340f,tg:lhaq:8070,e73_DepictedItems,2,kw,2e1e2f61-4778-5ee1-a2ff-86eec00fc32f,au::6350,keywords,,
38a00c02-f0d7-5265-8a98-002a2d3fc11d,tg:lhaq:9121,e73_DepictedItems,2,kw,c526cbe4-717b-5c2c-9bfe-491f98d553c0,au::7555,keywords,,
53feff83-9ce8-5d25-bbad-6f1d07ce8043,tg:lhaq:9278,e73_DepictedItems,2,kw,b1329c1f-9fbd-5c92-beb8-b03121b8e74a,au::5763,keywords,,
a0f47c4f-c2fd-5cce-b326-bef6526b4600,tg:lhaq:8700,e73_DepictedItems,2,kw,161fb583-dd23-51d2-b950-bc7aa79c1db1,au::21677,keywords,,
51532399-b17e-5939-bba1-110993f357a4,tg:lhaq:1753,e73_DepictedItems,2,kw,4c4596d9-b9aa-5fcf-b3b4-f65ffd85c81e,au::18456,keywords,,
ed0b409a-5f2c-52dd-bd3e-85460365196b,tg:lhaq:8816,e73_DepictedItems,1,kw,8f3465da-1203-5191-aae0-2cfe9521aef1,au::9012,keywords,,
af74bc64-856a-5007-af41-74d7568c58c6,tg:lhaq:1446,e73_DepictedItems,1,kw,278a2b1d-5bb5-5f42-8f2d-fd07673f1c1b,au::930,keywords,,
ad5c1b15-cbb0-5f7d-9c70-a39fac1fd4a3,tg:lhaq:8701,e73_DepictedItems,2,kw,161fb583-dd23-51d2-b950-bc7aa79c1db1,au::21677,keywords,,
977c1be7-d310-596c-adf3-46f76e4317a7,tg:lhaq:20,e73_DepictedItems,2,kw,2e1e2f61-4778-5ee1-a2ff-86eec00fc32f,au::6350,keywords,,
7b8d1576-0d4b-579c-8947-8b61f5393224,tg:lhaq:5317,e73_DepictedItems,1,kw,23459462-2958-552a-b5b4-f47204132818,au::5386,keywords,,
1bb35759-f04d-5457-b1ee-822fb0140dc4,tg:lhaq:8694,e73_DepictedItems,2,kw,161fb583-dd23-51d2-b950-bc7aa79c1db1,au::21677,keywords,,
59028086-2451-5966-b5b7-c5ac230afad5,tg:lhaq:9270,e73_DepictedItems,2,kw,e1d9c455-c125-5b9e-8954-a2bf5f889399,au::21215,keywords,,
368a9b70-d698-5a26-b004-aa52a7f4f787,tg:lhaq:5338,e73_DepictedItems,2,kw,f73b4377-b087-5858-a09e-d4b5a376f0c6,au::5355,keywords,,
b325d0f7-06e4-5d82-883c-5be9f08b3b72,tg:lhaq:4067,e73_DepictedItems,2,kw,74967e79-e61b-5a6c-a5e4-8970b0900af4,au::50076,keywords,,
