ResourceID,brocade.id,card,dataset,material_source,Material,colour_source,Colour
2e6f3398-d238-54c5-9ba6-a3683fbdf689,tg:lhaq:21_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
2e6f3398-d238-54c5-9ba6-a3683fbdf689,tg:lhaq:21_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,pencils (drawing and writing equipment),,
2e6f3398-d238-54c5-9ba6-a3683fbdf689,tg:lhaq:21_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,watercolor (paint),,
af8e72bc-abcf-5d4d-8eb0-983dc5958ccd,tg:lhaq:8853_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
af8e72bc-abcf-5d4d-8eb0-983dc5958ccd,tg:lhaq:8853_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,pencils (drawing and writing equipment),,
af8e72bc-abcf-5d4d-8eb0-983dc5958ccd,tg:lhaq:8853_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,gouache (paint),,
080156ad-154c-5599-903c-10c1869ca364,tg:lhaq:9022_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
080156ad-154c-5599-903c-10c1869ca364,tg:lhaq:9022_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,pencils (drawing and writing equipment),,
080156ad-154c-5599-903c-10c1869ca364,tg:lhaq:9022_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,gouache (paint),,
67b7df23-fea1-5e0f-b8da-aa7f8b8f918a,tg:lhaq:9032_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
67b7df23-fea1-5e0f-b8da-aa7f8b8f918a,tg:lhaq:9032_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,pencils (drawing and writing equipment),,
67b7df23-fea1-5e0f-b8da-aa7f8b8f918a,tg:lhaq:9032_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,watercolor (paint),,
fff6765a-0157-5677-98a7-736c82f8ddc5,tg:lhaq:8538_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
fff6765a-0157-5677-98a7-736c82f8ddc5,tg:lhaq:8538_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,chalk sticks,,
fff6765a-0157-5677-98a7-736c82f8ddc5,tg:lhaq:8538_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,watercolor (paint),,
5c4d7254-5ec1-5ef4-9c76-bb49eab66039,tg:lhaq:6846_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
5c4d7254-5ec1-5ef4-9c76-bb49eab66039,tg:lhaq:6846_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,pencils (drawing and writing equipment),,
5c4d7254-5ec1-5ef4-9c76-bb49eab66039,tg:lhaq:6846_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,watercolor (paint),,
cf1c21d3-10b9-576c-9324-43829367a984,tg:lhaq:8982_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,cardboard,kenmerken/lhdragerico.lhkleur,beige (color)
cf1c21d3-10b9-576c-9324-43829367a984,tg:lhaq:8982_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,pencils (drawing and writing equipment),,
cf1c21d3-10b9-576c-9324-43829367a984,tg:lhaq:8982_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,gouache (paint),,
644c36d3-ee56-5acc-a3c3-d466fbf97895,tg:lhaq:8992_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,cardboard,kenmerken/lhdragerico.lhkleur,beige (color)
644c36d3-ee56-5acc-a3c3-d466fbf97895,tg:lhaq:8992_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,ink,kenmerken/lhtechaanvtk.lhkleur,brown (color)
644c36d3-ee56-5acc-a3c3-d466fbf97895,tg:lhaq:8992_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,watercolor (paint),,
16673786-e4a5-5da6-a6f1-119ac19a27c6,tg:lhaq:8888_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
16673786-e4a5-5da6-a6f1-119ac19a27c6,tg:lhaq:8888_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,pencils (drawing and writing equipment),,
16673786-e4a5-5da6-a6f1-119ac19a27c6,tg:lhaq:8888_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,gouache (paint),,
bb0fdf8b-9b06-5263-90c0-a5836ee4cadd,tg:lhaq:8754_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
bb0fdf8b-9b06-5263-90c0-a5836ee4cadd,tg:lhaq:8754_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,ball-point pens,,
bb0fdf8b-9b06-5263-90c0-a5836ee4cadd,tg:lhaq:8754_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,gouache (paint),,
b26f81af-220c-57e9-89ef-938ae705c47f,tg:lhaq:8744_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
b26f81af-220c-57e9-89ef-938ae705c47f,tg:lhaq:8744_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,ball-point pens,,
b26f81af-220c-57e9-89ef-938ae705c47f,tg:lhaq:8744_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,gouache (paint),,
91eede34-4c9d-5e8a-bea0-15aee4bbb226,tg:lhaq:9138_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),kenmerken/lhdragerico.lhkleur,white (color)
91eede34-4c9d-5e8a-bea0-15aee4bbb226,tg:lhaq:9138_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,watercolor (paint),,
9fa1d996-569c-56b9-8122-fb63df1190e4,tg:lhaq:9040_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
9fa1d996-569c-56b9-8122-fb63df1190e4,tg:lhaq:9040_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,ball-point pens,,
9fa1d996-569c-56b9-8122-fb63df1190e4,tg:lhaq:9040_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,watercolor (paint),,
0c093063-91f8-5ed9-a931-4e276fb9452f,tg:lhaq:9050_#1,e22_MaterialColour,lhaq,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,
0c093063-91f8-5ed9-a931-4e276fb9452f,tg:lhaq:9050_#1,e22_MaterialColour,lhaq,kenmerken/lhtechaanvtk.lhtechtaddtk,pencils (drawing and writing equipment),,
0c093063-91f8-5ed9-a931-4e276fb9452f,tg:lhaq:9050_#1,e22_MaterialColour,lhaq,kenmerken/lhtechbasisaq.lhtechaq,gouache (paint),,
