ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,LegacyInformation,1,id.objectNumber,BE-ANN07/aq/000000616,referentienummer,False
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,LegacyInformation,1,brocade.id,tg:lhaq:9286,brocade id,False
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:9286/N,brocade url,False
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 8881i,commentaar gebruiker,False
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,LegacyInformation,3,note.lhherkomst,Ingeschreven op 04-08-2000.,herkomst,False
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,LegacyInformation,1,id.objectNumber,BE-ANN07/aq/000000459,referentienummer,False
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,LegacyInformation,1,brocade.id,tg:lhaq:8881,brocade id,False
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8881/N,brocade url,False
1eec0799-63fa-543c-a3d0-be891a0c181c,LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 8751i,commentaar gebruiker,False
1eec0799-63fa-543c-a3d0-be891a0c181c,LegacyInformation,4,note.lhherkomst,Niet ingeschreven gevonden.,herkomst,False
1eec0799-63fa-543c-a3d0-be891a0c181c,LegacyInformation,1,id.objectNumber,BE-ANN07/aq/000000379,referentienummer,False
1eec0799-63fa-543c-a3d0-be891a0c181c,LegacyInformation,1,brocade.id,tg:lhaq:8751,brocade id,False
1eec0799-63fa-543c-a3d0-be891a0c181c,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8751/N,brocade url,False
432a31ab-1b7d-527c-870a-feeb86b1d9c3,LegacyInformation,1,id.objectNumber,BE-ANN07/aq/000000604,referentienummer,False
432a31ab-1b7d-527c-870a-feeb86b1d9c3,LegacyInformation,1,brocade.id,tg:lhaq:9140,brocade id,False
432a31ab-1b7d-527c-870a-feeb86b1d9c3,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:9140/N,brocade url,False
56e6263a-af53-574e-ae41-5addeaf522f7,LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 9005i,commentaar gebruiker,False
56e6263a-af53-574e-ae41-5addeaf522f7,LegacyInformation,3,note.lhherkomst,Ingeschreven op 07-08-2000.,herkomst,False
56e6263a-af53-574e-ae41-5addeaf522f7,LegacyInformation,1,id.objectNumber,BE-ANN07/aq/000000551,referentienummer,False
56e6263a-af53-574e-ae41-5addeaf522f7,LegacyInformation,1,brocade.id,tg:lhaq:9005,brocade id,False
56e6263a-af53-574e-ae41-5addeaf522f7,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:9005/N,brocade url,False
823461b2-0712-56a4-8ed4-be9310e7baa7,LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 8993i,commentaar gebruiker,False
823461b2-0712-56a4-8ed4-be9310e7baa7,LegacyInformation,3,note.lhherkomst,Ingeschreven op 07-08-2000.,herkomst,False
823461b2-0712-56a4-8ed4-be9310e7baa7,LegacyInformation,1,id.objectNumber,BE-ANN07/aq/000000539,referentienummer,False
823461b2-0712-56a4-8ed4-be9310e7baa7,LegacyInformation,1,brocade.id,tg:lhaq:8993,brocade id,False
823461b2-0712-56a4-8ed4-be9310e7baa7,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8993/N,brocade url,False
afc90268-a4a6-57a2-92ea-ac8b55d49c94,LegacyInformation,1,id.objectNumber,BE-ANN07/aq/000000643,referentienummer,False
afc90268-a4a6-57a2-92ea-ac8b55d49c94,LegacyInformation,1,brocade.id,tg:lhaq:9394,brocade id,False
afc90268-a4a6-57a2-92ea-ac8b55d49c94,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:9394/N,brocade url,False
0946f068-5ab0-5558-bd03-4f927fba0f5e,LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 8706i,commentaar gebruiker,False
0946f068-5ab0-5558-bd03-4f927fba0f5e,LegacyInformation,3,note.lhherkomst,Niet ingeschreven gevonden.,herkomst,False
0946f068-5ab0-5558-bd03-4f927fba0f5e,LegacyInformation,1,id.objectNumber,BE-ANN07/aq/000000367,referentienummer,False
0946f068-5ab0-5558-bd03-4f927fba0f5e,LegacyInformation,1,brocade.id,tg:lhaq:8706,brocade id,False
0946f068-5ab0-5558-bd03-4f927fba0f5e,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8706/N,brocade url,False
