ResourceID,brocade.id,card,order,source_field,source_code,Colour
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
432a31ab-1b7d-527c-870a-feeb86b1d9c3,tg:lhaq:9140,Colours,1,kenmerken/lhdragerico.lhkleur,kwt,white (color)
56e6263a-af53-574e-ae41-5addeaf522f7,tg:lhaq:9005,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
823461b2-0712-56a4-8ed4-be9310e7baa7,tg:lhaq:8993,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
afc90268-a4a6-57a2-92ea-ac8b55d49c94,tg:lhaq:9394,Colours,1,kenmerken/lhdragerico.lhkleur,kbj,blue (color)
0946f068-5ab0-5558-bd03-4f927fba0f5e,tg:lhaq:8706,Colours,1,kenmerken/lhdragerico.lhkleur,kbj,blue (color)
f051649c-2a76-5b5a-8afd-6f3b95716bc4,tg:lhaq:8985,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
397cdc4d-1877-5ff1-aea4-d5699678eec6,tg:lhaq:8383,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
4bddeb9c-33d5-5850-a47c-c9d9b051c50f,tg:lhaq:1399,Colours,1,kenmerken/lhtechaanvtk.lhkleur,kzw,black (color)
5c3c5c94-0899-5cf3-9203-2f45ab429ca0,tg:lhaq:8784,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
8b0c07b1-b052-570b-bca7-98f8d7fba377,tg:lhaq:5509,Colours,2,kenmerken/lhtechaanvtk.lhkleur,kbr,brown (color)
5c1e09e9-31d5-570e-9050-94a70b3f39d9,tg:lhaq:8792,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
5e937a35-f83b-5d43-9f13-29afb0ff6951,tg:lhaq:4565,Colours,1,kenmerken/lhtechaanvtk.lhkleur,kbr,brown (color)
5e937a35-f83b-5d43-9f13-29afb0ff6951,tg:lhaq:4565,Colours,2,kenmerken/lhtechaanvtk.lhkleur,kzw,black (color)
54b8899f-fe69-58b3-bf28-58ce7abca638,tg:lhaq:8395,Colours,1,kenmerken/lhdragerico.lhkleur,kkg,ocher (color)
e833935d-27a6-5ffc-a736-109781e1f502,tg:lhaq:9009,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
b1ce90f6-e392-5335-b3bd-669a5c58aee7,tg:lhaq:8862,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
407075f2-7ac8-5743-bab0-7bab26c3df34,tg:lhaq:9377,Colours,1,kenmerken/lhdragerico.lhkleur,kgw,cream (color)
45bc62d6-8ccc-59a4-815b-f85cab9157de,tg:lhaq:8970,Colours,1,kenmerken/lhdragerico.lhkleur,kzw,black (color)
a2a341c3-e2ce-5391-90b5-c592faf6680e,tg:lhaq:8989,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
fce4d66d-6bb7-50d2-8291-4efb3f5e20d6,tg:lhaq:8966,Colours,1,kenmerken/lhdragerico.lhkleur,kzw,black (color)
522c53e9-263a-5c6b-8b47-5128f198b1de,tg:lhaq:8360,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
6fb15b7a-fef7-59f5-ba3e-a3923cf9d717,tg:lhaq:8788,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
67cc776d-eded-52ef-9013-f8d16406c585,tg:lhaq:9033,Colours,2,kenmerken/lhtechaanvtk.lhkleur,kro,red (color)
b8ea5fbc-ef22-518d-b0f1-49279177881f,tg:lhaq:8399,Colours,1,kenmerken/lhdragerico.lhkleur,kkg,ocher (color)
2f569b35-9fbc-528d-922e-135ba9b7ba8d,tg:lhaq:9422,Colours,1,kenmerken/lhtechbasisaq.lhkleur,kgr,green (color)
25edab14-c8f7-5c2c-95df-f46300929ace,tg:lhaq:9137,Colours,1,kenmerken/lhdragerico.lhkleur,kwt,white (color)
a9823bd0-44f5-52b0-ab1d-9472b05fa644,tg:lhaq:8376,Colours,1,kenmerken/lhdragerico.lhkleur,kbe,beige (color)
