ResourceID,brocade.id,card,order,Mark Note,Mark Type,Mark Language
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,Marks,2,Van boven naar beneden:_ Antwerpen / Reinaert De Vos,inscriptions,Nederlands
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,Marks,1,"Rechtsboven met potlood: __Lia Lee_ / _Baker_ / een _non_ / een kwezel_

rechtsonder met balpen: _ 6 mantels_",inscriptions,Nederlands
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Marks,2,"Rechtsonder de afbeelding met balpen: _Old Gobbo_

rechtsonder: _Re. Bertal_",inscriptions,Nederlands
56e6263a-af53-574e-ae41-5addeaf522f7,tg:lhaq:9005,Marks,1,"Linksonder met potlood: _L.Sebregts._

op de achterkant van het blad:_""""La Chapelle de la Misericorde"""" / (le Mendiant,
le singe)_",inscriptions,Nederlands
823461b2-0712-56a4-8ed4-be9310e7baa7,tg:lhaq:8993,Marks,1,"Linksonder met potlood: _L. Sebregts_

op de achterkant van het blad:_La Terre et les Hommes / (la Terre)",inscriptions,Nederlands
0946f068-5ab0-5558-bd03-4f927fba0f5e,tg:lhaq:8706,Marks,1,"Boven in het midden met balpen: _II - V_

links onder met inkt: _De Knecht van twee Meesters van Goldoni_

_Decor Lode Sebregts Beggaardestraat 8_

_Antwerpen_",inscriptions,Nederlands
bb524cb6-ed81-546e-a22e-26957d99f5ff,tg:lhaq:5564,Marks,1,"Onder, met potlood-_""""De vogel in de kunst.""""_

boven links-_""""P.Joostens""""_",inscriptions,Nederlands
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,tg:lhaq:9052,Marks,1,"Links boven met potlood: _Les mouchoirs - scenario R. Avermate Muziek Renier
V. d. Velde. Kostums Mij Merten_

naar rechts: _Peter en de Wolf van Prokofiev_",inscriptions,Nederlands
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,tg:lhaq:9402,Marks,1,"Op de achterzijde staat in potlood geschreven: _St Niklaaskerk Gent_  
",inscriptions,Nederlands
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,tg:lhaq:9402,Marks,2,"Op de achterzijde jaarvermelding : _1943_  
",inscriptions,Nederlands
f051649c-2a76-5b5a-8afd-6f3b95716bc4,tg:lhaq:8985,Marks,1,"Boven met potlood: _De Soldaat_ / masson

rechtsonder naast de afbeelding: _L. Sebregts_",inscriptions,Nederlands
2a009e82-1442-52f3-bdde-255bd25a5b29,tg:lhaq:5122,Marks,1,Links onder: _JB,inscriptions,Nederlands
77b0399b-e866-5c0f-97b5-3aa876feeb5a,tg:lhaq:9414,Marks,1,"Links onderaan monogram kunstenaar : _SW_
",inscriptions,Nederlands
77b0399b-e866-5c0f-97b5-3aa876feeb5a,tg:lhaq:9414,Marks,2,"Links onderaan jaartalvermelding : 2016  
",inscriptions,Nederlands
b115a4c2-902f-58fd-bf56-710a9ed715cc,tg:lhaq:8878,Marks,1,Rechtsboven met potlood: _Joffer_,inscriptions,Nederlands
1c2549b2-f726-5e8d-b9d9-6024da36156d,tg:lhaq:8897,Marks,1,"Rechts naast de afbeelding met potlood: _Lady Macbeth_

rechtsonder: _L Sebregts_

op de achter kant van het blad met potlood: _privé bezit L. Sebregts_",inscriptions,Nederlands
29cd2b73-2d47-5785-883a-989c4e9de3b6,tg:lhaq:6889,Marks,1,"Rechts naast de tekening met potlood: _Dit deel en het / geen volgt speelt /
na de pauze_;

links onder de tekening met potlood: _b.7 / 7_;

rechts onder de tekening met potlood: _Hélène Gliewe / Het fonddoek kan /
eventueel een zwart / gordijn wezen_",inscriptions,Nederlands
2889da1d-de01-506d-a2b8-86ab9eaf34d7,tg:lhaq:7261,Marks,2,geen.,inscriptions,Nederlands
090a8e15-d13b-556d-9d94-a248ac6264bf,tg:lhaq:8747,Marks,2,"Rechtsonder met balpen: _Aragon_

onder: _Fr. Bernard_",inscriptions,Nederlands
473c6aab-df61-5f40-bbb3-628e05adfba3,tg:lhaq:8317,Marks,1,"Links onder de tekening met inkt: _DE TOCHT NAAR DE LIEFDE_;

rechts onder de tekening met potlood:_ Nr I (PROLOOG)_",inscriptions,Nederlands
135c55d1-f7f0-5ed0-ac20-77c41a3026c4,tg:lhaq:9013,Marks,1,"Linksboven met potlood: _oorlogsmannen G. Vandermeulen / **Petkoff**

rechtsboven: _  
**kamerjas**_

rechtsonder: __L. Sebregts__",inscriptions,Nederlands
7c078dc8-7219-5041-974a-d43d540d22fb,tg:lhaq:8550,Marks,2,Rechts onder de afbeelding met inkt: _Inn - Musician_,inscriptions,Nederlands
397cdc4d-1877-5ff1-aea4-d5699678eec6,tg:lhaq:8383,Marks,1,"Links onder de tekening met potlood: _GOMMAER_

met inkt _""""Leontientje"""" (Timmermans)_

rechts onder de tekening met potlood: _Hendrikx_",inscriptions,Nederlands
e9b2a80c-720e-5fb9-88c6-7dca2e80d611,tg:lhaq:8679,Marks,2,Rechts onder met blauw kleurpotlood: _OVERSTE_,inscriptions,Nederlands
da23c11e-76c1-5d41-bc0d-4654a90f4146,tg:lhaq:9068,Marks,2,Linksonder: _Indian Summer 73 - Paul Snoek_,inscriptions,Nederlands
977c1be7-d310-596c-adf3-46f76e4317a7,tg:lhaq:20,Marks,1,"**Recto:** Rechts onder in de tekening met zwarte balpen: _Cornet / Fernand_;

  
**Verso:** Links onder met zwarte balpen: _CORNET FERNAND 71 / René Engelen /
Kunstschilder._",inscriptions,Nederlands
9c28a607-05e3-5d17-bea8-9dba2f73b252,tg:lhaq:8696,Marks,1,"Onder de afbeelding met inkt: _""""TRIOMF VAN DE GEEST""""_ _Pip WOUTERS / W.
KERSTERS_ _""""FAUNE""""_ _janvaerten 62_",inscriptions,Nederlands
4bddeb9c-33d5-5850-a47c-c9d9b051c50f,tg:lhaq:1399,Marks,2,hoek links boven: _E. Schuyten_,inscriptions,Nederlands
