brocade.id,Legacy Information Code,Legacy Information Value,dataset,card,Legacy Information Type,ResourceID
tg:lhpa:380,d:lh:223275,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/04_Schilderijen/Schilderijen_range_38/tg_lhpa_380,lhpa,e73_LegacyImages,image high resolution,fe4e1877-1914-5f46-8deb-fe6208f7bf18
tg:lhpa:596,d:lh:262872,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/04_Schilderijen/Schilderijen_range_59/tg_lhpa_596.tif,lhpa,e73_LegacyImages,image high resolution,f03b5711-2eb6-5cd9-bd3e-2df8f9232ff1
tg:lhpa:97,d:lh:246676,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/04_Schilderijen/Schilderijen_range_97_aanvullen_uit_Dams_/tg_lhpa_97.tif,lhpa,e73_LegacyImages,image high resolution,9caf1df5-8ef6-5b6b-86f6-b6a442a126d5
tg:lhpr:10313,d:lh:275497,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/1_/10_/10313_pr.tif_VERWIJDERD,lhpr,e73_LegacyImages,image high resolution,f519b9ee-503e-5b16-834a-c2099142f1e8
tg:lhpr:10356,d:lh:282576,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_01_affiches/1_/10_/10356_pr.tif_VERWIJDERD,lhpr,e73_LegacyImages,image high resolution,8f1e9dcb-690b-5d86-ae44-f45840eb2cb4
tg:lhpr:10360,d:lh:282636,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_01_affiches/1_/10_/10360_pr.tif_VERWIJDERD,lhpr,e73_LegacyImages,image high resolution,861c7a29-954f-53ad-a42a-202886a86d8a
tg:lhpr:10361,d:lh:282622,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_01_affiches/1_/10_/10361_pr.tif_VERWIJDERD,lhpr,e73_LegacyImages,image high resolution,56e585f5-db5e-5276-9de1-83be03421b9d
tg:lhtk:10148,d:lh:273063,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/05_Tekeningen/Tekeningen_range_10/tg_lhtk_10148.tif,lhtk,e73_LegacyImages,image high resolution,817f7da7-b775-5e63-9d9f-0013d46f4f4a
tg:lhtk:11593,d:lh:281200,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/05_Tekeningen/Tekeningen_range_11/tg_lhtk_11593,lhtk,e73_LegacyImages,image high resolution,4de4e19e-8138-5947-ad96-81d77ddec641
tg:lhtk:11611,d:lh:279873,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/05_Tekeningen/Tekeningen_range_11/tg_lhtk_11611,lhtk,e73_LegacyImages,image high resolution,1a961d77-cdaa-5f3e-912f-b4428daa4700
tg:lhtk:12457,d:lh:284250,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/05_Tekeningen/Tekeningen_range_12/tg_lhtk_12457,lhtk,e73_LegacyImages,image high resolution,5d6be58b-2d96-58c8-b01d-d6cc9850bb59
tg:lhtk:1461,d:lh:231200,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/05_Tekeningen/Tekeningen_range_14/tg_lhtk_1461.tif,lhtk,e73_LegacyImages,image high resolution,53086fb6-95fe-57fc-b087-abc9517b7a44
tg:lhtk:8002,d:lh:232229,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/05_Tekeningen/Tekeningen_range_80/tg_lhtk_8002.tif,lhtk,e73_LegacyImages,image high resolution,dee32183-05f7-59fd-bcc0-88692c2db3a2
tg:lhtk:8034,d:lh:232251,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_02_iconografie/05_Tekeningen/Tekeningen_range_80/tg_lhtk_8034.tif,lhtk,e73_LegacyImages,image high resolution,c1184203-b1a9-590c-af8b-3716cafe1572
