ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
31441cf2-3f1a-5983-a02a-06ea12c49ca7,e73_LegacyInformation,2,note.lhherkomst,"<p>03-09-1998</p>
",herkomst,False
31441cf2-3f1a-5983-a02a-06ea12c49ca7,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000002,referentienummer,False
31441cf2-3f1a-5983-a02a-06ea12c49ca7,e73_LegacyInformation,1,brocade.id,tg:lhaq:21,brocade id,False
31441cf2-3f1a-5983-a02a-06ea12c49ca7,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:21/N,brocade url,False
db0d2c87-ede5-539b-a4b8-41e318f197a5,e73_LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 8853i,commentaar gebruiker,False
db0d2c87-ede5-539b-a4b8-41e318f197a5,e73_LegacyInformation,3,note.lhherkomst,"<p>Ingeschreven op 04-08-2000.</p>
",herkomst,False
db0d2c87-ede5-539b-a4b8-41e318f197a5,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000433,referentienummer,False
db0d2c87-ede5-539b-a4b8-41e318f197a5,e73_LegacyInformation,1,brocade.id,tg:lhaq:8853,brocade id,False
db0d2c87-ede5-539b-a4b8-41e318f197a5,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8853/N,brocade url,False
f1fa8331-c4aa-51eb-b63d-28fc05816a0c,e73_LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 9022i,commentaar gebruiker,False
f1fa8331-c4aa-51eb-b63d-28fc05816a0c,e73_LegacyInformation,2,note.lhherkomst,"<p>Ingeschreven op 07-08-2000.</p>
",herkomst,False
f1fa8331-c4aa-51eb-b63d-28fc05816a0c,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000568,referentienummer,False
f1fa8331-c4aa-51eb-b63d-28fc05816a0c,e73_LegacyInformation,1,brocade.id,tg:lhaq:9022,brocade id,False
f1fa8331-c4aa-51eb-b63d-28fc05816a0c,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:9022/N,brocade url,False
441fd62b-f45d-589b-b967-e6058f13c382,e73_LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 9032i,commentaar gebruiker,False
441fd62b-f45d-589b-b967-e6058f13c382,e73_LegacyInformation,1,note.lhherkomst,"<p>Ingeschreven op 07-08-2000.</p>
",herkomst,False
441fd62b-f45d-589b-b967-e6058f13c382,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000575,referentienummer,False
441fd62b-f45d-589b-b967-e6058f13c382,e73_LegacyInformation,1,brocade.id,tg:lhaq:9032,brocade id,False
441fd62b-f45d-589b-b967-e6058f13c382,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:9032/N,brocade url,False
6bead15e-dd1f-5a41-ab64-2fbe3d534e87,e73_LegacyInformation,4,note.lhherkomst,"<p>Ingeschreven op 30-06-06</p>
",herkomst,False
6bead15e-dd1f-5a41-ab64-2fbe3d534e87,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000281,referentienummer,False
6bead15e-dd1f-5a41-ab64-2fbe3d534e87,e73_LegacyInformation,1,brocade.id,tg:lhaq:8538,brocade id,False
6bead15e-dd1f-5a41-ab64-2fbe3d534e87,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8538/N,brocade url,False
735a394a-dd03-5cd0-b1e8-50b90936b68c,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000131,referentienummer,False
735a394a-dd03-5cd0-b1e8-50b90936b68c,e73_LegacyInformation,1,brocade.id,tg:lhaq:6846,brocade id,False
735a394a-dd03-5cd0-b1e8-50b90936b68c,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:6846/N,brocade url,False
4fcafa1b-9cb6-5d03-97b3-ddc9f05c40ce,e73_LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 8982i,commentaar gebruiker,False
4fcafa1b-9cb6-5d03-97b3-ddc9f05c40ce,e73_LegacyInformation,4,note.lhherkomst,"<p>Ingeschreven op 07-08-2000.</p>
",herkomst,False
4fcafa1b-9cb6-5d03-97b3-ddc9f05c40ce,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000532,referentienummer,False
4fcafa1b-9cb6-5d03-97b3-ddc9f05c40ce,e73_LegacyInformation,1,brocade.id,tg:lhaq:8982,brocade id,False
4fcafa1b-9cb6-5d03-97b3-ddc9f05c40ce,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8982/N,brocade url,False
5eadd07a-2fa9-52be-9956-47f6291c04b2,e73_LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 8992i,commentaar gebruiker,False
5eadd07a-2fa9-52be-9956-47f6291c04b2,e73_LegacyInformation,3,note.lhherkomst,"<p>Ingeschreven op 07-08-2000.</p>
",herkomst,False
5eadd07a-2fa9-52be-9956-47f6291c04b2,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000538,referentienummer,False
5eadd07a-2fa9-52be-9956-47f6291c04b2,e73_LegacyInformation,1,brocade.id,tg:lhaq:8992,brocade id,False
5eadd07a-2fa9-52be-9956-47f6291c04b2,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8992/N,brocade url,False
c543149c-c60d-5b26-82ea-bbb50f923bfc,e73_LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 8888i,commentaar gebruiker,False
c543149c-c60d-5b26-82ea-bbb50f923bfc,e73_LegacyInformation,2,note.lhherkomst,"<p>Ingeschreven op 04-08-2000.</p>
",herkomst,False
c543149c-c60d-5b26-82ea-bbb50f923bfc,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000466,referentienummer,False
c543149c-c60d-5b26-82ea-bbb50f923bfc,e73_LegacyInformation,1,brocade.id,tg:lhaq:8888,brocade id,False
c543149c-c60d-5b26-82ea-bbb50f923bfc,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8888/N,brocade url,False
132c4bbc-5c0b-5e3c-95e6-1ec56cead60a,e73_LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 8754i,commentaar gebruiker,False
132c4bbc-5c0b-5e3c-95e6-1ec56cead60a,e73_LegacyInformation,3,note.lhherkomst,"<p>Niet ingeschreven gevonden.</p>
",herkomst,False
132c4bbc-5c0b-5e3c-95e6-1ec56cead60a,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000382,referentienummer,False
132c4bbc-5c0b-5e3c-95e6-1ec56cead60a,e73_LegacyInformation,1,brocade.id,tg:lhaq:8754,brocade id,False
132c4bbc-5c0b-5e3c-95e6-1ec56cead60a,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8754/N,brocade url,False
59c82674-92dc-56f8-bfa0-d83a226450f2,e73_LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 8744i,commentaar gebruiker,False
59c82674-92dc-56f8-bfa0-d83a226450f2,e73_LegacyInformation,4,note.lhherkomst,"<p>Niet ingeschreven gevonden.</p>
",herkomst,False
59c82674-92dc-56f8-bfa0-d83a226450f2,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000372,referentienummer,False
59c82674-92dc-56f8-bfa0-d83a226450f2,e73_LegacyInformation,1,brocade.id,tg:lhaq:8744,brocade id,False
59c82674-92dc-56f8-bfa0-d83a226450f2,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:8744/N,brocade url,False
19b37ec2-df19-5bca-897c-20a08d2c43c4,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/aq/000000602,referentienummer,False
19b37ec2-df19-5bca-897c-20a08d2c43c4,e73_LegacyInformation,1,brocade.id,tg:lhaq:9138,brocade id,False
19b37ec2-df19-5bca-897c-20a08d2c43c4,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhaq:9138/N,brocade url,False
7e523bd0-3e26-5b79-99c7-a53ae1773935,e73_LegacyInformation,1,if.rawcontent,ICONOGRAFIE/ 9040i,commentaar gebruiker,False
7e523bd0-3e26-5b79-99c7-a53ae1773935,e73_LegacyInformation,2,note.lhherkomst,"<p>Ingeschreven op 07-08-2000.</p>
",herkomst,False
