ResourceID,brocade.id,card,source_date,Restriction Type
2e6f3398-d238-54c5-9ba6-a3683fbdf689,tg:lhaq:21_#1,e22_UsageRestrictions,1972-uu-uu,permission required
af8e72bc-abcf-5d4d-8eb0-983dc5958ccd,tg:lhaq:8853_#1,e22_UsageRestrictions,1974-uu-uu,permission required
080156ad-154c-5599-903c-10c1869ca364,tg:lhaq:9022_#1,e22_UsageRestrictions,1949-uu-uu,permission required
67b7df23-fea1-5e0f-b8da-aa7f8b8f918a,tg:lhaq:9032_#1,e22_UsageRestrictions,1949-uu-uu,permission required
5c4d7254-5ec1-5ef4-9c76-bb49eab66039,tg:lhaq:6846_#1,e22_UsageRestrictions,1950-07-uu,permission required
16673786-e4a5-5da6-a6f1-119ac19a27c6,tg:lhaq:8888_#1,e22_UsageRestrictions,1974-uu-uu,permission required
91eede34-4c9d-5e8a-bea0-15aee4bbb226,tg:lhaq:9138_#1,e22_UsageRestrictions,1942-uu-uu,permission required
bf143df1-e612-5a11-aeb9-cea87aa267f2,tg:lhaq:2663_#1,e22_UsageRestrictions,1956-uu-uu,permission required
a7a84139-d634-5b46-bae0-53b6b3bad13b,tg:lhaq:8959_#1,e22_UsageRestrictions,1959-10-23,permission required
e9ed828c-ece2-50c0-9536-967c421991b9,tg:lhaq:8695_#1,e22_UsageRestrictions,1959-uu-uu,permission required
91c83edb-d84e-5846-a48e-3c51d838f6b0,tg:lhaq:8685_#1,e22_UsageRestrictions,1960-uu-uu,permission required
7b322276-4ee9-57e0-bbf1-812124d58809,tg:lhaq:8671_#1,e22_UsageRestrictions,1952-uu-uu,permission required
299deada-5550-57b9-8e0e-7869e5d7b979,tg:lhaq:6879_#1,e22_UsageRestrictions,1942-uu-uu,permission required
71e84cfc-fa0f-5930-bf8d-3dbe60d4be41,tg:lhaq:4372_#1,e22_UsageRestrictions,1984-05-uu,permission required
60f28807-dd32-51ea-b955-c7746c2ffb2c,tg:lhaq:8904_#1,e22_UsageRestrictions,1964-uu-uu,permission required
db694226-f7da-5297-895a-dc05dca1bf69,tg:lhaq:8914_#1,e22_UsageRestrictions,1951-uu-uu,permission required
3bf5b458-e437-5d97-bcbf-4c737e6021f7,tg:lhaq:8966_#1,e22_UsageRestrictions,1959-10-23,permission required
ba7b3f9b-0876-5fbb-bb53-b538cdee3443,tg:lhaq:8976_#1,e22_UsageRestrictions,1959-10-23,permission required
8e981c31-2b5e-5ce2-8399-93a586f91d71,tg:lhaq:6418_#1,e22_UsageRestrictions,1924-uu-uu,permission required
02f2f914-36b0-58b2-8a82-a1b5d2565a90,tg:lhaq:8399_#1,e22_UsageRestrictions,1951-uu-uu,permission required
67c5b9b4-c0e8-5126-97e4-ebbefd9821bc,tg:lhaq:8389_#1,e22_UsageRestrictions,1950-uu-uu,permission required
b5ff44aa-75c6-5fd9-beba-0029bdc26aef,tg:lhaq:8320_#1,e22_UsageRestrictions,1924-uu-uu,permission required
fa19cd75-0ddf-5404-90c9-d28de21ecbde,tg:lhaq:9424_#1,e22_UsageRestrictions,1962-uu-uu,permission required
9201ccdf-0dc1-5171-942f-c7fcc0487c6b,tg:lhaq:2583_#1,e22_UsageRestrictions,1972-uu-uu,permission required
959621f3-6fa4-5268-8abc-f3c645ca1267,tg:lhaq:9271_#1,e22_UsageRestrictions,1956-uu-uu,permission required
eb20ed28-011f-5631-9be6-a7d4518ecd60,tg:lhaq:9412_#1,e22_UsageRestrictions,2015-uu-uu,permission required
d0766e3e-440c-581f-a5fb-ff34a5fd9c2d,tg:lhaq:8881_#1,e22_UsageRestrictions,1974-uu-uu,permission required
bb1624a1-ce4c-50b1-8974-efc55c1a6016,tg:lhaq:8891_#1,e22_UsageRestrictions,1974-uu-uu,permission required
6910f1e9-2079-5dfa-9554-8bc8d92cbda1,tg:lhaq:9402_#1,e22_UsageRestrictions,1943-uu-uu,permission required
f28590e7-834e-5530-bba3-d9fc48936471,tg:lhaq:8070_#1,e22_UsageRestrictions,1954-uu-uu,permission required
6812a289-7d9a-538c-8712-4df82af3c7d2,tg:lhaq:8316_#1,e22_UsageRestrictions,1924-uu-uu,permission required
39f716b5-0fa9-5498-86d8-39dc74bd5836,tg:lhaq:7619_#1,e22_UsageRestrictions,1891-03-28,open
db3f6fe5-6fc7-571a-9475-7d2948c74400,tg:lhaq:6894_#1,e22_UsageRestrictions,1943-uu-uu,permission required
7b7b0c17-452d-54f2-be96-f294e8531384,tg:lhaq:9386_#1,e22_UsageRestrictions,1952-07-11,permission required
395758e1-c37d-5dbe-b202-c51261662f2c,tg:lhaq:6884_#1,e22_UsageRestrictions,1942-uu-uu,permission required
944c0b3c-8944-5112-b003-d368bf43964a,tg:lhaq:4605_#1,e22_UsageRestrictions,1929-05-28,permission required
