ResourceID,brocade.id,card,order,place_note,place_type,place_language,place_au_code,json
fc7910c8-7924-5207-b880-318e2992cd34,tg:lhpr:9658,Places,1,Hakendover,remarks,Nederlands,,
3f012e74-d5ac-5a72-ab5a-6106aa0bc7d0,tg:lhpr:10704,Places,1,,,,au::104541,"dlod={""name"":""Groningen (DUBBEL)"",""ark"":""ark:/83110/x0/54a61729-5fc7-520a-9134-3ace4b0ec0b9"",""uri"":""/subjects/10554"",""id"":""au::104541"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
67b90fd2-fd84-5fa9-8898-8557b0ae1486,tg:lhpr:10705,Places,1,,,,au::104541,"dlod={""name"":""Groningen (DUBBEL)"",""ark"":""ark:/83110/x0/54a61729-5fc7-520a-9134-3ace4b0ec0b9"",""uri"":""/subjects/10554"",""id"":""au::104541"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
b65b1b5f-eebe-5ded-930b-1d6efeb8ca81,tg:lhtk:12363,Places,1,onbekend,remarks,Nederlands,,
bff113cb-223d-5a92-9dfd-557396c9bfe7,tg:lhtk:12536,Places,1,onbekend,remarks,Nederlands,,
a8858f22-8c56-5fcf-b155-30cbd62f58ae,tg:lhtk:12526,Places,1,onbekend,remarks,Nederlands,,
c7619ef9-e239-57cc-9c95-3df70443a528,tg:lhtk:12728,Places,1,onbekend,remarks,Nederlands,,
6239c2cc-367e-5d9a-bf8d-232710e8aeea,tg:lhtk:12791,Places,1,onbekend,remarks,Nederlands,,
02a1da57-f00a-5a16-a291-5629a160ea93,tg:lhtk:12781,Places,1,onbekend,remarks,Nederlands,,
a2240e33-d8f6-58cb-bb86-435095255425,tg:lhtk:12495,Places,1,onbekend,remarks,Nederlands,,
0098cdee-ea2f-53eb-908f-1c9d09c3f822,tg:lhtk:9573,Places,1,Hakendover,remarks,Nederlands,,
f71bfd81-3be3-5fbc-bde4-c7d0d0607c46,tg:lhtk:12485,Places,1,onbekend,remarks,Nederlands,,
5fff9247-6c79-519a-93fc-03b2b45b968b,tg:lhtk:9563,Places,1,Antwerpen,remarks,Nederlands,,
d86d8358-fa1f-531f-ab4b-058c69216060,tg:lhtk:12554,Places,1,onbekend,remarks,Nederlands,,
de97ba2e-7661-5a65-89db-20340011abab,tg:lhtk:12544,Places,1,onbekend,remarks,Nederlands,,
1914a5c3-f471-524f-863b-88e9d8c1ec5c,tg:lhtk:12269,Places,1,onbekend,remarks,Nederlands,,
b273fc27-c14d-5df7-a1c8-9acb88eda57d,tg:lhtk:12311,Places,1,onbekend,remarks,Nederlands,,
c41e48e2-ec95-5013-909e-d2ca5114b632,tg:lhtk:12707,Places,1,onbekend,remarks,Nederlands,,
e4d0de18-738f-5b3f-9915-6d846487c7b5,tg:lhtk:12471,Places,1,onbekend,remarks,Nederlands,,
0308c947-d8d1-58c2-88fc-50f9219413b4,tg:lhtk:12509,Places,1,onbekend,remarks,Nederlands,,
18e4eb84-3565-5d5c-9738-a54f3b43fe45,tg:lhtk:12461,Places,1,onbekend,remarks,Nederlands,,
04f15f91-32f3-5bd4-bfe1-c79d289d1f2a,tg:lhtk:12519,Places,1,onbekend,remarks,Nederlands,,
cf9c613f-ffc3-51ad-b3f2-dd302fbc02b0,tg:lhtk:12413,Places,1,onbekend,remarks,Nederlands,,
547f0063-f15e-5b76-bba6-7ee1accc4af2,tg:lhtk:12403,Places,1,onbekend,remarks,Nederlands,,
81a0e8dd-ad3f-5872-9981-bc917e9505f2,tg:lhtk:12256,Places,1,onbekend,remarks,Nederlands,,
9a70b4ee-6f7d-5bab-9642-833d9692683e,tg:lhtk:12800,Places,1,onbekend,remarks,Nederlands,,
8d4bdb6a-f94e-52db-badd-7edf6d0dedea,tg:lhtk:12387,Places,1,onbekend,remarks,Nederlands,,
2e4ebe90-c1fd-53a4-a2e4-e01f75b487ac,tg:lhtk:12397,Places,1,onbekend,remarks,Nederlands,,
be981cfe-3d37-5fdb-941e-3a54fc6eb778,tg:lhtk:12682,Places,1,onbekend,remarks,Nederlands,,
e0952eb1-711a-5edd-b488-f54e649e720c,tg:lhtk:12753,Places,1,onbekend,remarks,Nederlands,,
3996d92f-3039-509c-9d82-fa416275a786,tg:lhtk:12435,Places,1,onbekend,remarks,Nederlands,,
f55eeeec-4555-5652-9c5a-2e1f1ee5521c,tg:lhtk:12425,Places,1,onbekend,remarks,Nederlands,,
1ad471f7-5d57-5df5-9ce4-3ce57705de31,tg:lhtk:12308,Places,1,onbekend,remarks,Nederlands,,
5d6be58b-2d96-58c8-b01d-d6cc9850bb59,tg:lhtk:12457,Places,1,onbekend,remarks,Nederlands,,
60bcfe15-e65a-5d56-bcfd-46c8c2fd7e65,tg:lhtk:12447,Places,1,onbekend,remarks,Nederlands,,
255fc804-0989-56ac-bee2-51835046eed3,tg:lhtk:10151,Places,1,Hakendover,remarks,Nederlands,,
170489e7-cea0-5282-89c5-bf18e2b177db,tg:lhtk:12586,Places,1,onbekend,remarks,Nederlands,,
