ResourceID,brocade.id,card,order,adm.acquiredVia,Registration Number value,adm.isadPartOf,Location Number,adm.note,Warehouse Location (begin),Serial Number,Warehouse Location (ende)
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,Items,1,tr:lh:7087,177577,isad:lh:95953,S 5621 / I (Doos 4),,,,
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,Items,2,tr:lh:7087,177578,isad:lh:95953,S 5621 / I (Doos 4),,,,
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,Items,3,tr:lh:7087,177579,isad:lh:95953,S 5621 / I (Doos 4),,,,
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,tg:lhaq:9286,Items,4,tr:lh:7087,177580/b,isad:lh:95953,S 5621 / I (Doos 4),,,,
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,tg:lhaq:8881,Items,1,tr:lh:7497,197408/89,isad:lh:95953,S 5621 / I (Doos 2),De rol van baker werd door de actrice Lia Lee vertolkt.,,,
1eec0799-63fa-543c-a3d0-be891a0c181c,tg:lhaq:8751,Items,1,,174222/7,,Planex GT / T 159,,,,
432a31ab-1b7d-527c-870a-feeb86b1d9c3,tg:lhaq:9140,Items,1,tr:lh:9930,218018/8,isad:lh:96055,Planex GT / H 50494,"Decorontwerp uit map: """"Tooneelen voor Antonio van Herwig Hensen door L. Hendrickx 1942"""".",,,
56e6263a-af53-574e-ae41-5addeaf522f7,tg:lhaq:9005,Items,1,tr:lh:7497,197413/29,isad:lh:95953,S 5621 / I (Doos 3),,,,
823461b2-0712-56a4-8ed4-be9310e7baa7,tg:lhaq:8993,Items,1,tr:lh:7497,197413/16,isad:lh:95953,S 5621 / I (Doos 3),,,,
afc90268-a4a6-57a2-92ea-ac8b55d49c94,tg:lhaq:9394,Items,1,tr:lh:5399,197496/11,isad:lh:97242,E 4002 / I,,,,
0946f068-5ab0-5558-bd03-4f927fba0f5e,tg:lhaq:8706,Items,1,tr:lh:4841,106059/2,,S 5621 / I (Doos 1),,,,
bb524cb6-ed81-546e-a22e-26957d99f5ff,tg:lhaq:5564,Items,1,tr:lh:3417,67556/4,isad:lh:95984,J 4453/ I,,K1 B 23 E1,,
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,tg:lhaq:9052,Items,1,tr:lh:7497,197417/8B,isad:lh:95953,S 5621 / I (Doos 3),,,,
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,tg:lhaq:9402,Items,1,,,isad:lh:145680,S 594 / I,,,,
f051649c-2a76-5b5a-8afd-6f3b95716bc4,tg:lhaq:8985,Items,1,tr:lh:7497,197413/7,isad:lh:95953,S 5621 / I (Doos 3),,,,
2a009e82-1442-52f3-bdde-255bd25a5b29,tg:lhaq:5122,Items,1,,115882/2,,V 36657 / I,,,,
77b0399b-e866-5c0f-97b5-3aa876feeb5a,tg:lhaq:9414,Items,1,,,,WW 184 / I Planex GT,,,,
b115a4c2-902f-58fd-bf56-710a9ed715cc,tg:lhaq:8878,Items,1,tr:lh:7497,197408/87,isad:lh:95953,S 5621 / I (Doos 2),De rollen van de joffers werden  door de actrices Sonia Dooms en Wilma Geurts vertolkt.,,,
1c2549b2-f726-5e8d-b9d9-6024da36156d,tg:lhaq:8897,Items,1,tr:lh:7497,197409/3,isad:lh:95953,S 5621 / I (Doos 2),De rol van Lady Macbeth werd door de actrice Jenny van Santvoort vertolkt.,,,
29cd2b73-2d47-5785-883a-989c4e9de3b6,tg:lhaq:6889,Items,1,,174218/4,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, 90ste speeljaar, oktober 1942

**Regie:** Joris Diels",,,
2889da1d-de01-506d-a2b8-86ab9eaf34d7,tg:lhaq:7261,Items,1,tr:lh:5300,104373/4,isad:lh:96017,V 444 / I,,,,
090a8e15-d13b-556d-9d94-a248ac6264bf,tg:lhaq:8747,Items,1,,174222/4,,Planex GT / T 159,,,,
473c6aab-df61-5f40-bbb3-628e05adfba3,tg:lhaq:8317,Items,1,tr:lh:1987,37028/14,isad:lh:95994,Planex GT / V 3965,,,,
135c55d1-f7f0-5ed0-ac20-77c41a3026c4,tg:lhaq:9013,Items,1,tr:lh:7497,197414/2,isad:lh:95953,S 5621 / I (Doos 3),De rol van de Majoor Paul Petkoff werd door de acteur Gaston Vandermeulen vertolkt.,,,
3427e823-4487-5f09-a8b8-0a62308a7afa,tg:lhaq:4066,Items,1,,203500/2,isad:lh:95957,M 2475 / I,,,,
7c078dc8-7219-5041-974a-d43d540d22fb,tg:lhaq:8550,Items,1,,215880/20,,Planex GT / T 159,,,,
262ab269-588a-565f-9fff-7b4d784fe26a,tg:lhaq:4123,Items,1,tr:lh:5626,112862/96,isad:lh:95960,M 439 / I,,,,
397cdc4d-1877-5ff1-aea4-d5699678eec6,tg:lhaq:8383,Items,1,,215082/30,,GG 297 / I,,,,
e9b2a80c-720e-5fb9-88c6-7dca2e80d611,tg:lhaq:8679,Items,1,tr:lh:2339,44074/16,isad:lh:96034,V 114 / I (Doos 1),"Op de achterkant van het blad is een schets, een lijntekening in potlood voor een vrouwelijk kostuum.",,,
da23c11e-76c1-5d41-bc0d-4654a90f4146,tg:lhaq:9068,Items,1,tr:lh:9195,220639/2a-b,isad:lh:95930,S 7265 / I,,,,
977c1be7-d310-596c-adf3-46f76e4317a7,tg:lhaq:20,Items,1,tr:lh:7404,196085/2,isad:lh:95914,Planex GP / E 3175,,,,
9c28a607-05e3-5d17-bea8-9dba2f73b252,tg:lhaq:8696,Items,1,tr:lh:4996,99068/3,isad:lh:96041,V 114 / I (Doos 1),Het ballet Triomf van de Geest werd in 1959  met een vernieuwde muzikale techniek door Willem Kersters gecomponeerd.,V1 B,,
4bddeb9c-33d5-5850-a47c-c9d9b051c50f,tg:lhaq:1399,Items,1,tr:lh:5006,99191/22b,isad:lh:95916,Planex KP / A 2875,Op postkaart gestuurd aan Jef Alpaerts,,,
9b000f80-5b64-5386-992c-edf855837ac7,tg:lhaq:8911,Items,1,tr:lh:7497,197410/8,isad:lh:95953,S 5621 / I (Doos 2),De rol van Schwejk werd door de acteur Luc Philips vertolkt.,,,
9abd95fd-1030-5479-8146-b6d6efc1c2ad,tg:lhaq:8854,Items,1,tr:lh:7497,197408/65,isad:lh:95953,S 5621 / I (Doos 2),De rol van de pooier Pier werd door de acteur Jo Coppens vertolkt.,,,
5c3c5c94-0899-5cf3-9203-2f45ab429ca0,tg:lhaq:8784,Items,1,tr:lh:7497,197406/1,isad:lh:95953,S 5621 / I (Doos 2),,,,
8b0c07b1-b052-570b-bca7-98f8d7fba377,tg:lhaq:5509,Items,1,tr:lh:7876,213470/2,isad:lh:95980,W 7562 / I,,,,
d26759cd-338b-529c-b7b2-93481776dced,tg:lhaq:8907,Items,1,tr:lh:7497,197410/4,isad:lh:95953,S 5621 / I (Doos 2),De rol van dikke vrouw werd door de actrice Lucienne de Nutte vertolkt.,,,
145c5f0a-bb6c-52ca-b04e-873c5c0615b5,tg:lhaq:8842,Items,1,tr:lh:7497,197408/55,isad:lh:95953,S 5621 / I (Doos 2),De rol van Lowies werd door de  actrice Tine Balder vertolkt.,,,
