ResourceID,brocade.id,card,order,External Relation Note,External Relation,External Relation URL,External Relation URL Type,External Relation Note Language,External Relation Note Type
09c0ad35-c99c-5d13-b82e-348d6bcbf6aa,tg:lhpr:9793,ExternalRelations,1,naast p. 80,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:571612,Publicaties in de Anet catalogus,Nederlands,remarks
b8512d53-8ab6-572d-885f-b59835c9f74b,tg:lhpr:9843,ExternalRelations,1,"Dl. 1, naast p. 58",gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:572055,Publicaties in de Anet catalogus,Nederlands,remarks
161117f5-7816-505d-a9e6-fd3b20757ce1,tg:lhpr:10019,ExternalRelations,1,Plaat 10,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:649252,Publicaties in de Anet catalogus,Nederlands,remarks
6d274cba-9c4a-5035-9e7b-9e754b984c66,tg:lhpr:9681,ExternalRelations,1,"dl. 1, naast  p. 149",gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:526603,Publicaties in de Anet catalogus,Nederlands,remarks
a02748ec-3b39-52ab-aa04-f6577a44fd99,tg:lhpr:9814,ExternalRelations,1,naast p. 40,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:705375,Publicaties in de Anet catalogus,Nederlands,remarks
cacf8f0f-1695-5ef2-940e-553b8d131d39,tg:lhpr:9951,ExternalRelations,1,,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:814498,Publicaties in de Anet catalogus,,
b0d3fea8-a517-5cc8-96d2-027994b638ad,tg:lhpr:9697,ExternalRelations,1,"dl. 2, naast p. 97",gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:571519,Publicaties in de Anet catalogus,Nederlands,remarks
d5aaf30e-1b91-5cca-bd85-563d01345fd8,tg:lhpr:9678,ExternalRelations,1, naast p. 190,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:571494,Publicaties in de Anet catalogus,Nederlands,remarks
0f7fb86c-d4c0-5437-b21a-189aa173365b,tg:lhpr:9802,ExternalRelations,1,frontispies,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:124817,Publicaties in de Anet catalogus,Nederlands,remarks
1ad0db8d-f91d-5b2b-8dea-192c28f75d77,tg:lhpr:9947,ExternalRelations,1,,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:919111,Publicaties in de Anet catalogus,,
96370c24-d57a-598c-9c5a-bede72e4982a,tg:lhpr:10058,ExternalRelations,1,Plaat 49,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:649252,Publicaties in de Anet catalogus,Nederlands,remarks
2d91e94c-7fed-5be9-bd04-50a7cd3f16b2,tg:lhpr:9785,ExternalRelations,1,dl. 1 naast p. 152,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:571606,Publicaties in de Anet catalogus,Nederlands,remarks
05c59867-5675-5ccd-9999-3661ff002200,tg:lhpr:9855,ExternalRelations,1,naast p. 45,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:124874,Publicaties in de Anet catalogus,Nederlands,remarks
7b10f946-b700-5c55-8544-1a5326cb6dc5,tg:lhpr:9910,ExternalRelations,1,1844,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:114493,Publicaties in de Anet catalogus,Nederlands,remarks
0320d3fb-8f1d-5cf6-a54a-470d6a1c4b63,tg:lhpr:9654,ExternalRelations,1,naast p. 154,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:124769,Publicaties in de Anet catalogus,Nederlands,remarks
4eadfc25-3ebd-5b1b-8717-4e78df491e36,tg:lhpr:10166,ExternalRelations,1,1867 - naast p. 152,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:115034,Publicaties in de Anet catalogus,Nederlands,remarks
9efe3c4d-84d3-5e9a-a61f-4c1c0e1c5e50,tg:lhpr:10023,ExternalRelations,1,Plaat 14,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:649252,Publicaties in de Anet catalogus,Nederlands,remarks
3d5df3f7-725f-55bd-acf4-d415dc22d13a,tg:lhpr:10189,ExternalRelations,1,1879,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:115034,Publicaties in de Anet catalogus,Nederlands,remarks
bed43548-af58-53ef-b743-269ac2e4f06e,tg:lhpr:9711,ExternalRelations,1,naast p. 59,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:572059,Publicaties in de Anet catalogus,Nederlands,remarks
b465b365-58d8-5ad1-aaac-b0e02ed5648e,tg:lhpr:9984,ExternalRelations,1,"jg. 1 (1855), p. naast p. 120",gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:115060,Publicaties in de Anet catalogus,Nederlands,remarks
bd44fea1-b60c-5853-875b-f0317966bf0c,tg:lhpr:10131,ExternalRelations,1,,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:445587,Publicaties in de Anet catalogus,,
b9096161-f993-5e8f-a120-54e966234798,tg:lhpr:9746,ExternalRelations,1,naast p. 95,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:571552,Publicaties in de Anet catalogus,Nederlands,remarks
980f6d91-5469-5d49-a9ea-955edb8be8ea,tg:lhpr:10074,ExternalRelations,1,,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:448152,Publicaties in de Anet catalogus,,
43c2edb9-cf84-558f-ab19-d689553394c8,tg:lhpr:9896,ExternalRelations,1,"Dl. 2, frontispies",gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:124805,Publicaties in de Anet catalogus,Nederlands,remarks
14697529-d539-589e-a190-a15339ba828e,tg:lhpr:9879,ExternalRelations,1,frontispies,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:124886,Publicaties in de Anet catalogus,Nederlands,remarks
fa359f97-75e6-55ef-a3fd-e494a00485da,tg:lhpr:10127,ExternalRelations,1,frontispies,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:115034,Publicaties in de Anet catalogus,Nederlands,remarks
a9b205cb-f538-58f2-8aca-8ba3d8048739,tg:lhpr:10062,ExternalRelations,1,Plaat 53,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:649252,Publicaties in de Anet catalogus,Nederlands,remarks
5eb7476f-517f-57d3-ab3a-d0e95dafc6a8,tg:lhpr:9750,ExternalRelations,1,naast p. 5,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:124833,Publicaties in de Anet catalogus,Nederlands,remarks
e0fee132-8c1f-5887-a71b-bd984268bc26,tg:lhpr:9880,ExternalRelations,1,naast p. 56,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:124886,Publicaties in de Anet catalogus,Nederlands,remarks
78e61b95-708a-5d4e-8699-6fae74a01049,tg:lhpr:10170,ExternalRelations,1,1869,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:115034,Publicaties in de Anet catalogus,Nederlands,remarks
a2eefde6-5b20-5938-8205-e4ceb67d32a2,tg:lhpr:9707,ExternalRelations,1,"dl. 2, naast p. 113",gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:124787,Publicaties in de Anet catalogus,Nederlands,remarks
7596f39a-c7bf-5abc-a60d-68aa7695bafb,tg:lhpr:10035,ExternalRelations,1,Plaat 26,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:649252,Publicaties in de Anet catalogus,Nederlands,remarks
