ResourceID,brocade.id,card,order,Production Actor Identifier,Production Actor ID,Production Actor Name,Production Actor Role
6bdab216-eab6-5653-b896-57492506250a,tg:rubhs:115,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
651614bc-d11c-5d51-a064-34ed34494f8d,tg:rubhs:142,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
34cdbfe1-25aa-59d8-9c0c-8f805df7634f,tg:rubhs:154,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
f89075b7-bbea-5413-b7c5-5f40bfb1ea45,tg:rubhs:103,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
77edd04e-5fb6-5474-8b0a-91d9907eccc0,tg:rubhs:197,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
6472f2e0-2285-519c-9c4a-3f62b23532ac,tg:rubhs:178,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
e63337da-bf45-5777-bb14-d3ef95982778,tg:rubhs:20,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
23b02e04-46f9-5eb4-8eb9-8b3dede41e80,tg:rubhs:206,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
96420871-9263-54bc-b914-66a155f7623b,tg:rubhs:77,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
f922fabb-2edf-5f02-a48b-b520db166615,tg:rubhs:210,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
facadc33-bdd7-54fd-8c35-a3156f280ad9,tg:rubhs:139,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
8ba8ffac-3c35-5178-85a8-0df0924a37f1,tg:rubhs:61,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
71cefda3-be50-508c-a98e-c9c552369f73,tg:rubhs:181,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
013db479-4b8e-51d9-8e5d-793832023bda,tg:rubhs:36,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
cf13a37b-d8f8-5092-8ccb-56c26be682eb,tg:rubhs:119,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
fb58236a-34ca-5dce-9524-4234b548880e,tg:rubhs:41,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
ef379e44-9f91-5b8e-bfd1-d1c8536ee9d8,tg:rubhs:16,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
76405c8e-f119-5338-99fc-65a0be468e3b,tg:rubhs:158,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
db03d75c-f6bd-560e-a0bc-701dccd7cdac,tg:rubhs:57,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
1575e60d-ff57-5aa7-8698-f8ab175402dd,tg:rubhs:174,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
a3efe53b-777c-5c27-8fac-b2ab7e054028,tg:rubhs:94,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
e8f343b6-5e7d-5204-bb58-d426e6016269,tg:rubhs:123,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
4b9d89fc-1d97-5e7e-8e3d-7fa0a5b7c1fc,tg:rubhs:82,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
b412a4ae-4325-5a90-83f0-e809116a7f9e,tg:rubhs:6,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
e84587f9-c4ac-5f8d-bf98-256295b41cde,tg:rubhs:135,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
bba95541-b953-51cb-bb30-06349e54c4d3,tg:rubhs:162,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
4d430dc5-68c5-5556-9ddc-4b9041c573e9,tg:rubhs:163,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
6ba58e6a-c5aa-528d-8223-0cdeecb3d481,tg:rubhs:83,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
7c225786-d095-55ee-8d80-eaf75ab82926,tg:rubhs:134,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
c9314aa8-f637-5d3d-aab1-b5a856601641,tg:rubhs:95,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
80ddb6da-09ba-512d-a340-2a29e29da93e,tg:rubhs:122,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d01a462a-1d54-5ba8-8442-1e49b3ca723e'},au::3232,Ludwig Burchard,Auteur
