ResourceID,brocade.id,card,order,id/place.place,Production Place ID,Production Place Identifier,Production Place Name
6bdab216-eab6-5653-b896-57492506250a,tg:rubhs:115,Places,1,"[{'value': 'au::100141', 'uuid': '81ac4db9-1e25-55a3-9b28-97c03f96b4ab'}]",au::100141,https://id.rubenianum.be//ark:/86530/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,Antwerpen
e63337da-bf45-5777-bb14-d3ef95982778,tg:rubhs:20,Places,1,"[{'value': 'au::102047', 'uuid': '6b4f962f-8433-54d2-9eee-e21aa226a4a3'}]",au::102047,https://id.rubenianum.be//ark:/86530/6b4f962f-8433-54d2-9eee-e21aa226a4a3,Berlijn
96420871-9263-54bc-b914-66a155f7623b,tg:rubhs:77,Places,1,"[{'value': 'au::102849', 'uuid': '826b2ba0-7ecc-592c-877e-efeef61aeecb'}]",au::102849,https://id.rubenianum.be//ark:/86530/826b2ba0-7ecc-592c-877e-efeef61aeecb,Parijs
96420871-9263-54bc-b914-66a155f7623b,tg:rubhs:77,Places,2,"[{'value': 'au::100105', 'uuid': '99596b2b-2b42-50f2-8ec3-d578638b6d71'}]",au::100105,https://id.rubenianum.be//ark:/86530/99596b2b-2b42-50f2-8ec3-d578638b6d71,Brussel
96420871-9263-54bc-b914-66a155f7623b,tg:rubhs:77,Places,3,"[{'value': 'au::102047', 'uuid': '6b4f962f-8433-54d2-9eee-e21aa226a4a3'}]",au::102047,https://id.rubenianum.be//ark:/86530/6b4f962f-8433-54d2-9eee-e21aa226a4a3,Berlijn
facadc33-bdd7-54fd-8c35-a3156f280ad9,tg:rubhs:139,Places,1,"[{'value': 'au::105373', 'uuid': '9c50f346-b863-5aa6-9ed1-b294a3aba428'}]",au::105373,https://id.rubenianum.be//ark:/86530/9c50f346-b863-5aa6-9ed1-b294a3aba428,Wenen
8ba8ffac-3c35-5178-85a8-0df0924a37f1,tg:rubhs:61,Places,1,"[{'value': 'au::104810', 'uuid': '636962b7-6ad0-5b44-83b4-9eb0958ecb76'}]",au::104810,https://id.rubenianum.be//ark:/86530/636962b7-6ad0-5b44-83b4-9eb0958ecb76,Amsterdam
8ba8ffac-3c35-5178-85a8-0df0924a37f1,tg:rubhs:61,Places,2,"[{'value': 'au::100141', 'uuid': '81ac4db9-1e25-55a3-9b28-97c03f96b4ab'}]",au::100141,https://id.rubenianum.be//ark:/86530/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,Antwerpen
8ba8ffac-3c35-5178-85a8-0df0924a37f1,tg:rubhs:61,Places,3,"[{'value': 'au::100105', 'uuid': '99596b2b-2b42-50f2-8ec3-d578638b6d71'}]",au::100105,https://id.rubenianum.be//ark:/86530/99596b2b-2b42-50f2-8ec3-d578638b6d71,Brussel
8ba8ffac-3c35-5178-85a8-0df0924a37f1,tg:rubhs:61,Places,4,"[{'value': 'au::106118', 'uuid': 'bfce85cc-f5fb-53db-9176-4665e3323a3b'}]",au::106118,https://id.rubenianum.be//ark:/86530/bfce85cc-f5fb-53db-9176-4665e3323a3b,Londen
8ba8ffac-3c35-5178-85a8-0df0924a37f1,tg:rubhs:61,Places,5,"[{'value': 'au::102849', 'uuid': '826b2ba0-7ecc-592c-877e-efeef61aeecb'}]",au::102849,https://id.rubenianum.be//ark:/86530/826b2ba0-7ecc-592c-877e-efeef61aeecb,Parijs
013db479-4b8e-51d9-8e5d-793832023bda,tg:rubhs:36,Places,1,"[{'value': 'au::106118', 'uuid': 'bfce85cc-f5fb-53db-9176-4665e3323a3b'}]",au::106118,https://id.rubenianum.be//ark:/86530/bfce85cc-f5fb-53db-9176-4665e3323a3b,Londen
fb58236a-34ca-5dce-9524-4234b548880e,tg:rubhs:41,Places,1,"[{'value': 'au::106118', 'uuid': 'bfce85cc-f5fb-53db-9176-4665e3323a3b'}]",au::106118,https://id.rubenianum.be//ark:/86530/bfce85cc-f5fb-53db-9176-4665e3323a3b,Londen
ef379e44-9f91-5b8e-bfd1-d1c8536ee9d8,tg:rubhs:16,Places,1,"[{'value': 'au::102047', 'uuid': '6b4f962f-8433-54d2-9eee-e21aa226a4a3'}]",au::102047,https://id.rubenianum.be//ark:/86530/6b4f962f-8433-54d2-9eee-e21aa226a4a3,Berlijn
76405c8e-f119-5338-99fc-65a0be468e3b,tg:rubhs:158,Places,1,"[{'value': 'au::102087', 'uuid': 'f1cd9779-a9f2-53ed-81a7-dd990009167e'}]",au::102087,https://id.rubenianum.be//ark:/86530/f1cd9779-a9f2-53ed-81a7-dd990009167e,Frankfurt am Main
76405c8e-f119-5338-99fc-65a0be468e3b,tg:rubhs:158,Places,2,"[{'value': 'au::102084', 'uuid': 'a34dffd0-4adb-5843-b293-c8148d563e1c'}]",au::102084,https://id.rubenianum.be//ark:/86530/a34dffd0-4adb-5843-b293-c8148d563e1c,Darmstadt
db03d75c-f6bd-560e-a0bc-701dccd7cdac,tg:rubhs:57,Places,1,"[{'value': 'au::101023', 'uuid': 'a27575bb-282d-5cfe-9356-05a49b29067f'}]",au::101023,https://id.rubenianum.be//ark:/86530/a27575bb-282d-5cfe-9356-05a49b29067f,Brugge
db03d75c-f6bd-560e-a0bc-701dccd7cdac,tg:rubhs:57,Places,2,"[{'value': 'au::100141', 'uuid': '81ac4db9-1e25-55a3-9b28-97c03f96b4ab'}]",au::100141,https://id.rubenianum.be//ark:/86530/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,Antwerpen
db03d75c-f6bd-560e-a0bc-701dccd7cdac,tg:rubhs:57,Places,3,"[{'value': 'au::100229', 'uuid': 'f97bb3c8-a795-5e52-817b-dbb8c3310c33'}]",au::100229,https://id.rubenianum.be//ark:/86530/f97bb3c8-a795-5e52-817b-dbb8c3310c33,Lier
db03d75c-f6bd-560e-a0bc-701dccd7cdac,tg:rubhs:57,Places,4,"[{'value': 'au::100105', 'uuid': '99596b2b-2b42-50f2-8ec3-d578638b6d71'}]",au::100105,https://id.rubenianum.be//ark:/86530/99596b2b-2b42-50f2-8ec3-d578638b6d71,Brussel
db03d75c-f6bd-560e-a0bc-701dccd7cdac,tg:rubhs:57,Places,5,"[{'value': 'au::101457', 'uuid': 'fbcec500-4123-5ef7-9a1e-92d4faf39acf'}]",au::101457,https://id.rubenianum.be//ark:/86530/fbcec500-4123-5ef7-9a1e-92d4faf39acf,Luik
db03d75c-f6bd-560e-a0bc-701dccd7cdac,tg:rubhs:57,Places,6,"[{'value': 'au::100231', 'uuid': '8edb9f04-ad85-5c4a-aa2c-b4e509be84f2'}]",au::100231,https://id.rubenianum.be//ark:/86530/8edb9f04-ad85-5c4a-aa2c-b4e509be84f2,Mechelen
1575e60d-ff57-5aa7-8698-f8ab175402dd,tg:rubhs:174,Places,1,"[{'value': 'au::103705', 'uuid': '78836aec-e526-545c-8be5-01ac208cb7be'}]",au::103705,https://id.rubenianum.be//ark:/86530/78836aec-e526-545c-8be5-01ac208cb7be,Genua
1575e60d-ff57-5aa7-8698-f8ab175402dd,tg:rubhs:174,Places,2,"[{'value': 'au::103766', 'uuid': '412d3540-6931-5611-820f-ae3b8368c830'}]",au::103766,https://id.rubenianum.be//ark:/86530/412d3540-6931-5611-820f-ae3b8368c830,Turijn
1575e60d-ff57-5aa7-8698-f8ab175402dd,tg:rubhs:174,Places,3,"[{'value': 'au::103715', 'uuid': 'f3bb4abe-72bd-5d69-8645-7984252297eb'}]",au::103715,https://id.rubenianum.be//ark:/86530/f3bb4abe-72bd-5d69-8645-7984252297eb,Bergamo
1575e60d-ff57-5aa7-8698-f8ab175402dd,tg:rubhs:174,Places,4,"[{'value': 'au::103726', 'uuid': 'a2c4f6ba-4a68-580c-a5b2-546e0a3c51d5'}]",au::103726,https://id.rubenianum.be//ark:/86530/a2c4f6ba-4a68-580c-a5b2-546e0a3c51d5,Mantua
1575e60d-ff57-5aa7-8698-f8ab175402dd,tg:rubhs:174,Places,5,"[{'value': 'au::103855', 'uuid': 'c83663f4-61e1-5ed5-996f-1dbfc889bd27'}]",au::103855,https://id.rubenianum.be//ark:/86530/c83663f4-61e1-5ed5-996f-1dbfc889bd27,Verona
1575e60d-ff57-5aa7-8698-f8ab175402dd,tg:rubhs:174,Places,6,"[{'value': 'au::105373', 'uuid': '9c50f346-b863-5aa6-9ed1-b294a3aba428'}]",au::105373,https://id.rubenianum.be//ark:/86530/9c50f346-b863-5aa6-9ed1-b294a3aba428,Wenen
a3efe53b-777c-5c27-8fac-b2ab7e054028,tg:rubhs:94,Places,1,"[{'value': 'au::105373', 'uuid': '9c50f346-b863-5aa6-9ed1-b294a3aba428'}]",au::105373,https://id.rubenianum.be//ark:/86530/9c50f346-b863-5aa6-9ed1-b294a3aba428,Wenen
4b9d89fc-1d97-5e7e-8e3d-7fa0a5b7c1fc,tg:rubhs:82,Places,1,"[{'value': 'au::103698', 'uuid': 'fb5b8b08-e88a-5b4d-bdb9-8223bd100bde'}]",au::103698,https://id.rubenianum.be//ark:/86530/fb5b8b08-e88a-5b4d-bdb9-8223bd100bde,Rome
b412a4ae-4325-5a90-83f0-e809116a7f9e,tg:rubhs:6,Places,1,"[{'value': 'au::102047', 'uuid': '6b4f962f-8433-54d2-9eee-e21aa226a4a3'}]",au::102047,https://id.rubenianum.be//ark:/86530/6b4f962f-8433-54d2-9eee-e21aa226a4a3,Berlijn
e84587f9-c4ac-5f8d-bf98-256295b41cde,tg:rubhs:135,Places,1,"[{'value': 'au::106421', 'uuid': '1610f937-6357-5afe-8c71-2ed19cd1c8d4'}]",au::106421,https://id.rubenianum.be//ark:/86530/1610f937-6357-5afe-8c71-2ed19cd1c8d4,New York City
