Object Number,Record Type,URL,ResourceID,Reference Number,Stage Type,Format Dimension,Format Type,Sheet Numbers,Sheeet Type,Page Numbers,Page Type,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:rubhs:115,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:115/N,6bdab216-eab6-5653-b896-57492506250a,BE-ANN14/hs/RA001/122/056,Handgeschreven,"16,5 x 10,5 x 0,3",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/6bdab216-eab6-5653-b896-57492506250a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:142,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:142/N,651614bc-d11c-5d51-a064-34ed34494f8d,BE-ANN14/hs/RA001/122/082,Handgeschreven,"15,7 x 10 x 0,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/651614bc-d11c-5d51-a064-34ed34494f8d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:154,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:154/N,34cdbfe1-25aa-59d8-9c0c-8f805df7634f,BE-ANN14/hs/RA001/122/093,Handgeschreven,"17 x 10 x 0,3",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/34cdbfe1-25aa-59d8-9c0c-8f805df7634f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:103,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:103/N,f89075b7-bbea-5413-b7c5-5f40bfb1ea45,BE-ANN14/hs/RA001/002/008,Handgeschreven,"17 x 10,5 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/f89075b7-bbea-5413-b7c5-5f40bfb1ea45'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:197,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:197/N,77edd04e-5fb6-5474-8b0a-91d9907eccc0,BE-ANN14/hs/RA001/122/127,Handgeschreven,21 x 17 x 1,Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/77edd04e-5fb6-5474-8b0a-91d9907eccc0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:178,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:178/N,6472f2e0-2285-519c-9c4a-3f62b23532ac,BE-ANN14/hs/RA001/122/115,Handgeschreven,16 x 10 x 2,Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/6472f2e0-2285-519c-9c4a-3f62b23532ac'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:20,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:20/N,e63337da-bf45-5777-bb14-d3ef95982778,BE-ANN14/hs/RA001/001/16,Handgeschreven,"11,1 x 7,7 x 0,9",Maximum,120,Circa,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/e63337da-bf45-5777-bb14-d3ef95982778'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:206,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:206/N,23b02e04-46f9-5eb4-8eb9-8b3dede41e80,BE-ANN14/hs/RA001/122/136,Handgeschreven,"20,5 x 16,5 x 0,7",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/23b02e04-46f9-5eb4-8eb9-8b3dede41e80'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:77,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:77/N,96420871-9263-54bc-b914-66a155f7623b,BE-ANN14/hs/RA001/122/027,Handgeschreven,"17 x 10,5 x 1",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/96420871-9263-54bc-b914-66a155f7623b'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubhs:210,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:210/N,f922fabb-2edf-5f02-a48b-b520db166615,BE-ANN14/hs/RA001/122/140,Handgeschreven,"24,9 x 18,8 x 1,5",Maximum,,,,,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/f922fabb-2edf-5f02-a48b-b520db166615'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
