brocade.id,ResourceID,card,order,Archive Note,Warehouse Location (begin),Warehouse Location (ende),Source Note,Serial Number,Source Note Language,Source Note Type
tg:rubhs:115,6bdab216-eab6-5653-b896-57492506250a,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,56,Nederlands,Noot
tg:rubhs:142,651614bc-d11c-5d51-a064-34ed34494f8d,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,82,Nederlands,Noot
tg:rubhs:154,34cdbfe1-25aa-59d8-9c0c-8f805df7634f,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,93,Nederlands,Noot
tg:rubhs:103,f89075b7-bbea-5413-b7c5-5f40bfb1ea45,Items,1,isad:rub:315,T 2 20 2,T 2 20 2,RA 001 / 002,8,Nederlands,Noot
tg:rubhs:197,77edd04e-5fb6-5474-8b0a-91d9907eccc0,Items,1,isad:rub:911,,,RA 001 / 122,127,Nederlands,Noot
tg:rubhs:178,6472f2e0-2285-519c-9c4a-3f62b23532ac,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,115,Nederlands,Noot
tg:rubhs:20,e63337da-bf45-5777-bb14-d3ef95982778,Items,1,isad:rub:314,,,RA 001 / 001,16,Nederlands,Noot
tg:rubhs:206,23b02e04-46f9-5eb4-8eb9-8b3dede41e80,Items,1,isad:rub:911,,,RA 001 / 122,136,Nederlands,Noot
tg:rubhs:77,96420871-9263-54bc-b914-66a155f7623b,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,27,Nederlands,Noot
tg:rubhs:210,f922fabb-2edf-5f02-a48b-b520db166615,Items,1,isad:rub:911,,,RA 001 / 122,140,Nederlands,Noot
tg:rubhs:139,facadc33-bdd7-54fd-8c35-a3156f280ad9,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,80,Nederlands,Noot
tg:rubhs:61,8ba8ffac-3c35-5178-85a8-0df0924a37f1,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,11,Nederlands,Noot
tg:rubhs:181,71cefda3-be50-508c-a98e-c9c552369f73,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,118,Nederlands,Noot
tg:rubhs:36,013db479-4b8e-51d9-8e5d-793832023bda,Items,1,isad:rub:314,,,RA 001 / 001,32,Nederlands,Noot
tg:rubhs:119,cf13a37b-d8f8-5092-8ccb-56c26be682eb,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,60,Nederlands,Noot
tg:rubhs:41,fb58236a-34ca-5dce-9524-4234b548880e,Items,1,isad:rub:314,,,RA 001 / 001,37,Nederlands,Noot
tg:rubhs:16,ef379e44-9f91-5b8e-bfd1-d1c8536ee9d8,Items,1,isad:rub:314,,,RA 001 / 001,12,Nederlands,Noot
tg:rubhs:158,76405c8e-f119-5338-99fc-65a0be468e3b,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,97,Nederlands,Noot
tg:rubhs:57,db03d75c-f6bd-560e-a0bc-701dccd7cdac,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,7,Nederlands,Noot
tg:rubhs:174,1575e60d-ff57-5aa7-8698-f8ab175402dd,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,111,Nederlands,Noot
tg:rubhs:94,a3efe53b-777c-5c27-8fac-b2ab7e054028,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,44,Nederlands,Noot
tg:rubhs:123,e8f343b6-5e7d-5204-bb58-d426e6016269,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,64,Nederlands,Noot
tg:rubhs:82,4b9d89fc-1d97-5e7e-8e3d-7fa0a5b7c1fc,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,32,Nederlands,Noot
tg:rubhs:6,b412a4ae-4325-5a90-83f0-e809116a7f9e,Items,1,isad:rub:314,,,RA 001 / 001,2,Nederlands,Noot
tg:rubhs:135,e84587f9-c4ac-5f8d-bf98-256295b41cde,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,76,Nederlands,Noot
tg:rubhs:162,bba95541-b953-51cb-bb30-06349e54c4d3,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,99,Nederlands,Noot
tg:rubhs:163,4d430dc5-68c5-5556-9ddc-4b9041c573e9,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,100,Nederlands,Noot
tg:rubhs:83,6ba58e6a-c5aa-528d-8223-0cdeecb3d481,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,33,Nederlands,Noot
tg:rubhs:134,7c225786-d095-55ee-8d80-eaf75ab82926,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,75,Nederlands,Noot
tg:rubhs:95,c9314aa8-f637-5d3d-aab1-b5a856601641,Items,1,isad:rub:315,T 2 20 2,T 2 20 2,RA 001 / 002,1,Nederlands,Noot
tg:rubhs:122,80ddb6da-09ba-512d-a340-2a29e29da93e,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,63,Nederlands,Noot
tg:rubhs:175,9d985d63-cbb7-5c4a-aa79-18748d76f47e,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,112,Nederlands,Noot
tg:rubhs:56,654d6d97-997d-555f-ad89-c11f184b9917,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,6,Nederlands,Noot
tg:rubhs:159,3ac3e81b-bc7e-5499-ac45-6389e06c6ec1,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,98,Nederlands,Noot
tg:rubhs:17,bb580b69-be01-550d-9ef8-8ecd9a1e9dc4,Items,1,isad:rub:314,,,RA 001 / 001,13,Nederlands,Noot
tg:rubhs:118,a7b7dfe7-8bff-58b8-b9a6-7d85258ad951,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,59,Nederlands,Noot
tg:rubhs:40,302dadda-bf64-5ec1-b32b-5bfdc490fc08,Items,1,isad:rub:314,,,RA 001 / 001,36,Nederlands,Noot
tg:rubhs:180,1f7c8be3-70e8-5048-ace7-65dcbee30cdd,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,117,Nederlands,Noot
tg:rubhs:37,5454dcb4-ee56-5ff9-ab6c-9f8a28f1b745,Items,1,isad:rub:314,,,RA 001 / 001,33,Nederlands,Noot
tg:rubhs:138,568eb2b2-e872-5bd4-b883-d45041fbf573,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,79,Nederlands,Noot
tg:rubhs:60,75577ba0-3510-5f3a-a847-8e835bbcf15b,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,10,Nederlands,Noot
tg:rubhs:211,2f639716-8718-5e72-a485-c6e0b0ec814c,Items,1,isad:rub:911,,,RA 001 / 122,141,Nederlands,Noot
tg:rubhs:99,3bad7f9e-001c-5157-aaad-666a587bcb81,Items,1,isad:rub:315,T 2 20 2,T 2 20 2,RA 001 / 002,4,Nederlands,Noot
tg:rubhs:76,5154fddb-09a7-5763-a247-6619b67a6a9d,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,26,Nederlands,Noot
tg:rubhs:207,67b63eb1-4d26-5a98-aa53-0bb599a0920e,Items,1,isad:rub:911,,,RA 001 / 122,137,Nederlands,Noot
tg:rubhs:196,e11971b7-5b6c-5359-9502-f436522362e4,Items,1,isad:rub:911,,,RA 001 / 122,126,Nederlands,Noot
tg:rubhs:179,ba53b791-7b7d-54c1-ab97-d87002a8a91d,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,116,Nederlands,Noot
tg:rubhs:21,9393531a-c279-5330-a028-1eaad6505039,Items,1,isad:rub:314,,,RA 001 / 001,17,Nederlands,Noot
tg:rubhs:102,d609fecc-495a-59f3-aea5-37d40adc6052,Items,1,isad:rub:315,T 2 20 2,T 2 20 2,RA 001 / 002,7,Nederlands,Noot
tg:rubhs:155,27533568-4345-51b9-a141-691a47ff01e0,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,94,Nederlands,Noot
tg:rubhs:143,8cf60f7c-14b3-5cd9-b603-ed1b763ccb5b,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,83,Nederlands,Noot
tg:rubhs:114,18735cac-fb72-587a-a72c-5e04d3655815,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,55,Nederlands,Noot
tg:rubhs:47,86600d7a-ac3d-51e3-9e1a-b63888d9bba4,Items,1,isad:rub:314,,,RA 001 / 001,43,Nederlands,Noot
tg:rubhs:148,4a5d8e8c-601e-58d6-83be-195dea6361b9,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,88,Nederlands,Noot
tg:rubhs:10,02feda08-6016-59e2-8d63-e116729cdb80,Items,1,isad:rub:314,,,RA 001 / 001,6,Nederlands,Noot
tg:rubhs:109,e84d86a6-03a8-526f-b4ed-5f2ab3a1956d,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,50,Nederlands,Noot
tg:rubhs:51,27b6c1e7-9d36-5a2f-80cd-1051b8bd1cca,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,1,Nederlands,Noot
tg:rubhs:172,a5f10b42-d12b-566f-a7b3-0de3687cc628,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,109,Nederlands,Noot
tg:rubhs:92,98f0d247-783b-5752-836d-9621070e1b9e,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,42,Nederlands,Noot
tg:rubhs:125,f6b83aad-4ed0-5712-ae85-b8d06b33a818,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,66,Nederlands,Noot
tg:rubhs:84,29e1e71f-b40a-544c-8eda-5211248c5baf,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,34,Nederlands,Noot
tg:rubhs:133,f4f61012-e6e6-53f0-87aa-1af53cde29a3,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,74,Nederlands,Noot
tg:rubhs:164,28c0517b-4e9b-55a4-9055-fcbb1599aadd,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,101,Nederlands,Noot
tg:rubhs:113,5a984b56-7518-5567-bd45-9da5759b06b6,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,54,Nederlands,Noot
tg:rubhs:144,5c8aa656-79a3-5339-a7bd-e3b4e3e25278,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,84,Nederlands,Noot
tg:rubhs:105,1b921760-1f17-5fe5-be95-642c417b73b3,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,46,Nederlands,Noot
tg:rubhs:26,5e546408-f4a9-5c7c-b046-f311a42a1621,Items,1,isad:rub:314,,,RA 001 / 001,22,Nederlands,Noot
tg:rubhs:200,4fcc995a-85b4-5c9b-9fb9-2219c5f26625,Items,1,isad:rub:911,,,RA 001 / 122,130,Nederlands,Noot
tg:rubhs:129,e496d231-d3f7-53ab-b1f6-18b3290f9a5a,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,70,Nederlands,Noot
tg:rubhs:71,cf683190-a7ff-54ab-94ad-351d3e2c72d7,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,21,Nederlands,Noot
tg:rubhs:88,da1c9379-7cb1-59a3-90a7-41c1bea975a7,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,38,Nederlands,Noot
tg:rubhs:67,7c564919-563f-5ffe-8f08-ff864b9ef5bc,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,17,Nederlands,Noot
tg:rubhs:187,fc2118b1-b344-55e4-bb6e-0a98740e35aa,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,122,Nederlands,Noot
tg:rubhs:168,97316613-fc6f-5902-8fd5-0e544865c423,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,105,Nederlands,Noot
tg:rubhs:30,d60d1eb6-875d-5f23-bdec-058b08a2a51f,Items,1,isad:rub:314,,,RA 001 / 001,26,Nederlands,Noot
tg:rubhs:186,f49d2a33-3d8a-5ebe-be25-675a2d97419f,Items,1,isad:rub:1107,T 2 20 2,T 2 20 2,RA 001 / 003,2,Nederlands,Noot
tg:rubhs:169,326344e8-80b6-59c8-8401-124cdc6218eb,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,106,Nederlands,Noot
tg:rubhs:31,454d6ddc-3764-5a34-a2cf-b5bb4a97f9bb,Items,1,isad:rub:314,,,RA 001 / 001,27,Nederlands,Noot
tg:rubhs:89,b48683ed-abdc-5508-8aca-77356550fa87,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,39,Nederlands,Noot
tg:rubhs:66,14d1116b-2ddd-539c-b4d5-26e75caa949a,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,16,Nederlands,Noot
tg:rubhs:128,ff6ee980-a224-591c-94b4-6c21c365ace7,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,69,Nederlands,Noot
tg:rubhs:70,2ec5806d-fe4a-5658-b15a-06d1729d4739,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,20,Nederlands,Noot
tg:rubhs:201,88399b1e-72d7-527a-814c-43743bdf7336,Items,1,isad:rub:911,,,RA 001 / 122,131,Nederlands,Noot
tg:rubhs:27,f021c1e0-9333-510e-9096-13d86932f25e,Items,1,isad:rub:314,,,RA 001 / 001,23,Nederlands,Noot
tg:rubhs:104,e213a637-98cf-5407-b333-fad99cdd55c4,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,45,Nederlands,Noot
tg:rubhs:153,199f5750-a618-50c1-ba0d-721fb9481c1c,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,92,Nederlands,Noot
tg:rubhs:145,fffc2c31-2f2e-5bd7-ad05-e3595d32b8d8,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,85,Nederlands,Noot
tg:rubhs:112,9ac28c25-1d8b-5ba0-b870-ef99f4b9c766,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,53,Nederlands,Noot
tg:rubhs:165,8a3a4f76-e2df-5a8b-815f-dbe5f9a6644a,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,102,Nederlands,Noot
tg:rubhs:85,77cac798-fb3f-5eff-ac49-d1d279f2408f,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,35,Nederlands,Noot
tg:rubhs:132,da18148f-d2af-5bae-8550-df807cde96ef,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,73,Nederlands,Noot
tg:rubhs:93,7ca2c966-4338-5709-9350-b5fba5d88fa8,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,43,Nederlands,Noot
tg:rubhs:124,30b87c0e-0fd5-538f-b396-c4f65e0615a7,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,65,Nederlands,Noot
tg:rubhs:173,032c6f7e-e61d-5e2e-95b3-e7c0e872a9c4,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,110,Nederlands,Noot
tg:rubhs:108,1c10d76a-7a30-5a5b-8337-268acd0ae9f1,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,49,Nederlands,Noot
tg:rubhs:50,32e6c074-a962-5c6c-ab3a-f8a43c6ca89f,Items,1,isad:rub:314,,,RA 001 / 001,46,Nederlands,Noot
tg:rubhs:149,ca5d8c26-c718-5902-9abc-81ece16fe78b,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,89,Nederlands,Noot
tg:rubhs:11,f4cde989-f1ee-5c80-8adf-8eb25786a428,Items,1,isad:rub:314,,,RA 001 / 001,7,Nederlands,Noot
tg:rubhs:46,60652640-6649-5c96-84e5-d8915306a9d1,Items,1,isad:rub:314,,,RA 001 / 001,42,Nederlands,Noot
tg:rubhs:166,49b39e48-8b7f-5ea3-936e-4b44e5706811,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,103,Nederlands,Noot
tg:rubhs:218,00aae731-40a4-579d-872d-30c121a1187f,Items,1,isad:rub:3288,,,,RA 006 / 001,Nederlands,Noot
tg:rubhs:69,599fb696-e6eb-5a9c-bad6-4dcaaa6bc579,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,19,Nederlands,Noot
tg:rubhs:131,be795ee8-2916-5f62-9883-e994bf6d7a66,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,72,Nederlands,Noot
tg:rubhs:86,e3892281-ff12-5fbb-af35-1c31ea5db980,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,36,Nederlands,Noot
tg:rubhs:127,7bb7ee8c-d758-5f48-85c7-92490616feb2,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,68,Nederlands,Noot
tg:rubhs:90,cb89c78c-ecd6-5fcb-8b1f-79e76d37edad,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,40,Nederlands,Noot
