ResourceID,brocade.id,card,order,note,Annotation,Annotation Type,Annotation Language
34cdbfe1-25aa-59d8-9c0c-8f805df7634f,tg:rubhs:154,Annotations,1,note.rubalg,Bevat notities betreffende de privécollectie van Burchard.,Algemeen,Nederlands
f922fabb-2edf-5f02-a48b-b520db166615,tg:rubhs:210,Annotations,1,note.rubalg,Bevat fotografische reproducties.,Algemeen,Nederlands
8ba8ffac-3c35-5178-85a8-0df0924a37f1,tg:rubhs:61,Annotations,1,note.rubdetail,Het is onduidelijk waar dit notitieboekje voor gediend heeft. Het bevat slechts weinig beschrijvingen.,Detailbeschrijving,Nederlands
b412a4ae-4325-5a90-83f0-e809116a7f9e,tg:rubhs:6,Annotations,1,note.rubalg,Voorkaft verdwenen.,Algemeen,Nederlands
bba95541-b953-51cb-bb30-06349e54c4d3,tg:rubhs:162,Annotations,1,note.rubalg,Bevat enkele losse stukken.,Algemeen,Nederlands
6ba58e6a-c5aa-528d-8223-0cdeecb3d481,tg:rubhs:83,Annotations,1,note.rubalg,Voor- en achterkaft zitten los.,Algemeen,Nederlands
7c225786-d095-55ee-8d80-eaf75ab82926,tg:rubhs:134,Annotations,1,note.rubalg,"Plaatsbeschrijving Aix-en-Provence: in het notitieboekje staat enkel """"Aix"""".",Algemeen,Nederlands
bb580b69-be01-550d-9ef8-8ecd9a1e9dc4,tg:rubhs:17,Annotations,1,note.rubalg,Wordt bijeengehouden door nietjes.,Algemeen,Nederlands
568eb2b2-e872-5bd4-b883-d45041fbf573,tg:rubhs:138,Annotations,1,note.rubalg,Bevat enkele losse stukken.,Algemeen,Nederlands
75577ba0-3510-5f3a-a847-8e835bbcf15b,tg:rubhs:60,Annotations,1,note.rubalg,Kaft zit los.,Algemeen,Nederlands
75577ba0-3510-5f3a-a847-8e835bbcf15b,tg:rubhs:60,Annotations,2,note.rubdetail,"Dit notitieboekje bevat instructies voor de assistent(en) van Ludwig Burchard. De antwoorden van de assistent(en) staan eveneens in het boekje, onderaan de pagina waar de instructies zijn terug te vinden.",Detailbeschrijving,
2f639716-8718-5e72-a485-c6e0b0ec814c,tg:rubhs:211,Annotations,1,note.rubalg,Bevat fotografische reproducties.,Algemeen,Nederlands
ba53b791-7b7d-54c1-ab97-d87002a8a91d,tg:rubhs:179,Annotations,1,note.rubalg,Bevat enkele losse stukken.,Algemeen,Nederlands
4a5d8e8c-601e-58d6-83be-195dea6361b9,tg:rubhs:148,Annotations,1,note.rubalg,Bevat aantekeningen betreffende privécollectie van Burchard.,Algemeen,Nederlands
4a5d8e8c-601e-58d6-83be-195dea6361b9,tg:rubhs:148,Annotations,2,note.rubalg,"Onduidelijk of Burchard al deze collecties bezocht heeft, of dat het louter gaat om aantekeningen betreffende deze specifieke kunstwerken in deze collecties.",Algemeen,
27b6c1e7-9d36-5a2f-80cd-1051b8bd1cca,tg:rubhs:51,Annotations,1,note.rubdetail,"Bevat eveneens notities betreffende andere edities van deze catalogus (tot editie 11, 1911).",Detailbeschrijving,Nederlands
28c0517b-4e9b-55a4-9055-fcbb1599aadd,tg:rubhs:164,Annotations,1,note.rubalg,Werd gedeeltelijk gebruikt als agenda.,Algemeen,Nederlands
28c0517b-4e9b-55a4-9055-fcbb1599aadd,tg:rubhs:164,Annotations,2,note.rubalg,Bevat een adressenbestand.,Algemeen,
5a984b56-7518-5567-bd45-9da5759b06b6,tg:rubhs:113,Annotations,1,note.rubalg,"Vermoedelijk bezocht Burchard niet al deze plaatsen in 1924, maar gaat het om aantekeningen betreffende verscheidene onderwerpen gerelateerd aan deze plaatsen.",Algemeen,Nederlands
1b921760-1f17-5fe5-be95-642c417b73b3,tg:rubhs:105,Annotations,1,note.rubalg,Bevat een los stuk bevestigd met een metalen nageltje.,Algemeen,Nederlands
5e546408-f4a9-5c7c-b046-f311a42a1621,tg:rubhs:26,Annotations,1,note.rubalg,"Bevat een notitie van Burchard op de voorkaft: """"1936 diary"""".",Algemeen,Nederlands
fc2118b1-b344-55e4-bb6e-0a98740e35aa,tg:rubhs:187,Annotations,1,note.rubalg,LB 1542.,Algemeen,Nederlands
fc2118b1-b344-55e4-bb6e-0a98740e35aa,tg:rubhs:187,Annotations,2,note.rubalg,"Bevat heel wat losse stukken, voornamelijk losgekomen foto's.",Algemeen,
326344e8-80b6-59c8-8401-124cdc6218eb,tg:rubhs:169,Annotations,1,note.rubalg,"Bevat enkele losse stukken, waaronder een kaft. Het is echter onduidelijk of de kaft bij dit notitieboekje hoort.",Algemeen,Nederlands
b48683ed-abdc-5508-8aca-77356550fa87,tg:rubhs:89,Annotations,1,note.rubalg,Bevat enkele losse stukken.,Algemeen,Nederlands
14d1116b-2ddd-539c-b4d5-26e75caa949a,tg:rubhs:66,Annotations,1,note.rubalg,Een aanzienlijk deel van de pagina's is niet beschreven.,Algemeen,Nederlands
da18148f-d2af-5bae-8550-df807cde96ef,tg:rubhs:132,Annotations,1,note.rubalg,Het notitieboekje is voor een groot deel niet beschreven.,Algemeen,Nederlands
ca5d8c26-c718-5902-9abc-81ece16fe78b,tg:rubhs:149,Annotations,1,note.rubalg,Bevat een aantal losse stukken.,Algemeen,Nederlands
60652640-6649-5c96-84e5-d8915306a9d1,tg:rubhs:46,Annotations,1,note.rubalg,Rug van het boekje is los.,Algemeen,Nederlands
