ResourceID,brocade.id,Acquisition Brocade ID,card,order,Acquisition Name,Acquisition Identifier
0000eb4c-e677-5872-958c-6379f968cdef,tg:lhtk:6671,tr:lh:5474,Acquisitions,1,Archief van Johan Daisne,{'url':'https://id.letterenhuis.be/ark:/24970/0000eb4c-e677-5872-958c-6379f968cdef'}
000ebfdd-2e2e-5c58-ad98-2bc1393aefac,tg:lhaq:8994,tr:lh:7497,Acquisitions,1,Archiefstukken van Lode Sebregts,{'url':'https://id.letterenhuis.be/ark:/24970/000ebfdd-2e2e-5c58-ad98-2bc1393aefac'}
001b098e-719f-5562-939a-dd75789cc122,tg:lhtk:4768,tr:lh:5448,Acquisitions,1,Archief van René de Coninck,{'url':'https://id.letterenhuis.be/ark:/24970/001b098e-719f-5562-939a-dd75789cc122'}
001e9a8c-297c-5939-bc7c-8b4dea784130,tg:lhpr:11370,tr:lh:4050,Acquisitions,1,Ex-Libris collectie van Leo Roelants,{'url':'https://id.letterenhuis.be/ark:/24970/001e9a8c-297c-5939-bc7c-8b4dea784130'}
00283f9e-6840-5768-a91c-005ac3ee3501,tg:lhpa:15,tr:lh:6354,Acquisitions,1,Archief van Maurice Gilliams,{'url':'https://id.letterenhuis.be/ark:/24970/00283f9e-6840-5768-a91c-005ac3ee3501'}
003bc64d-c2f5-5edf-a7e6-be017a50bc11,tg:lhpa:485,tr:lh:7337,Acquisitions,1,Archief van Alfred Ost,{'url':'https://id.letterenhuis.be/ark:/24970/003bc64d-c2f5-5edf-a7e6-be017a50bc11'}
004829a0-b53d-5e60-80a2-1733d754aaae,tg:lhtk:7719,tr:lh:2974,Acquisitions,1,Archief van Walter Vaes,{'url':'https://id.letterenhuis.be/ark:/24970/004829a0-b53d-5e60-80a2-1733d754aaae'}
004def09-df9c-5610-bd64-9b7be43ba05a,tg:lhpa:625,tr:lh:6990,Acquisitions,1,Archief van Frans Huygelen,{'url':'https://id.letterenhuis.be/ark:/24970/004def09-df9c-5610-bd64-9b7be43ba05a'}
005187fe-2b16-518c-9565-db6f0f77f651,tg:lhtk:12065,tr:lh:2432,Acquisitions,1,Archief van Albert Daenens,{'url':'https://id.letterenhuis.be/ark:/24970/005187fe-2b16-518c-9565-db6f0f77f651'}
005f2ddc-4f3e-56e7-9938-e89e99c6fb2e,tg:lhpa:249,tr:lh:1792,Acquisitions,1,Archiefstukken van Mertensvereniging,{'url':'https://id.letterenhuis.be/ark:/24970/005f2ddc-4f3e-56e7-9938-e89e99c6fb2e'}
0071d2ab-eb7b-548d-9a5e-48517726ac59,tg:lhaq:8896,tr:lh:7497,Acquisitions,1,Archiefstukken van Lode Sebregts,{'url':'https://id.letterenhuis.be/ark:/24970/0071d2ab-eb7b-548d-9a5e-48517726ac59'}
