brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Source Note,Warehouse Location (begin),Serial Number,Warehouse Location (ende),Source Note Language,Source Note Type
tg:lhaq:9286,f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,Items,1,tr:lh:7087,177577,isad:lh:95953,S 5621 / I (Doos 4),,,,,Nederlands,Noot
tg:lhaq:9286,f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,Items,2,tr:lh:7087,177578,isad:lh:95953,S 5621 / I (Doos 4),,,,,Nederlands,Noot
tg:lhaq:9286,f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,Items,3,tr:lh:7087,177579,isad:lh:95953,S 5621 / I (Doos 4),,,,,Nederlands,Noot
tg:lhaq:9286,f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,Items,4,tr:lh:7087,177580/b,isad:lh:95953,S 5621 / I (Doos 4),,,,,Nederlands,Noot
tg:lhaq:8881,62450c5b-0a35-5d36-b684-1e7c66e4a1c9,Items,1,tr:lh:7497,197408/89,isad:lh:95953,S 5621 / I (Doos 2),De rol van baker werd door de actrice Lia Lee vertolkt.,,,,Nederlands,Noot
tg:lhaq:8751,1eec0799-63fa-543c-a3d0-be891a0c181c,Items,1,,174222/7,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:9140,432a31ab-1b7d-527c-870a-feeb86b1d9c3,Items,1,tr:lh:9930,218018/8,isad:lh:96055,Planex GT / H 50494,"Decorontwerp uit map: """"Tooneelen voor Antonio van Herwig Hensen door L. Hendrickx 1942"""".",,,,Nederlands,Noot
tg:lhaq:9005,56e6263a-af53-574e-ae41-5addeaf522f7,Items,1,tr:lh:7497,197413/29,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8993,823461b2-0712-56a4-8ed4-be9310e7baa7,Items,1,tr:lh:7497,197413/16,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:9394,afc90268-a4a6-57a2-92ea-ac8b55d49c94,Items,1,tr:lh:5399,197496/11,isad:lh:97242,E 4002 / I,,,,,Nederlands,Noot
tg:lhaq:8706,0946f068-5ab0-5558-bd03-4f927fba0f5e,Items,1,tr:lh:4841,106059/2,,S 5621 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:5564,bb524cb6-ed81-546e-a22e-26957d99f5ff,Items,1,tr:lh:3417,67556/4,isad:lh:95984,J 4453/ I,,K1 B 23 E1,,,Nederlands,Noot
tg:lhaq:9052,5d08dca6-26ef-556a-a3d9-ec1296c7d5de,Items,1,tr:lh:7497,197417/8B,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:9402,b2bbf28f-a732-5f52-be4c-4e3a67ca9678,Items,1,,,isad:lh:145680,S 594 / I,,,,,Nederlands,Noot
tg:lhaq:8985,f051649c-2a76-5b5a-8afd-6f3b95716bc4,Items,1,tr:lh:7497,197413/7,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:5122,2a009e82-1442-52f3-bdde-255bd25a5b29,Items,1,,115882/2,,V 36657 / I,,,,,Nederlands,Noot
tg:lhaq:9414,77b0399b-e866-5c0f-97b5-3aa876feeb5a,Items,1,,,,WW 184 / I Planex GT,,,,,Nederlands,Noot
tg:lhaq:8878,b115a4c2-902f-58fd-bf56-710a9ed715cc,Items,1,tr:lh:7497,197408/87,isad:lh:95953,S 5621 / I (Doos 2),De rollen van de joffers werden  door de actrices Sonia Dooms en Wilma Geurts vertolkt.,,,,Nederlands,Noot
tg:lhaq:8897,1c2549b2-f726-5e8d-b9d9-6024da36156d,Items,1,tr:lh:7497,197409/3,isad:lh:95953,S 5621 / I (Doos 2),De rol van Lady Macbeth werd door de actrice Jenny van Santvoort vertolkt.,,,,Nederlands,Noot
tg:lhaq:6889,29cd2b73-2d47-5785-883a-989c4e9de3b6,Items,1,,174218/4,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, 90ste speeljaar, oktober 1942

**Regie:** Joris Diels",,,,Nederlands,Noot
tg:lhaq:7261,2889da1d-de01-506d-a2b8-86ab9eaf34d7,Items,1,tr:lh:5300,104373/4,isad:lh:96017,V 444 / I,,,,,Nederlands,Noot
tg:lhaq:8747,090a8e15-d13b-556d-9d94-a248ac6264bf,Items,1,,174222/4,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:8317,473c6aab-df61-5f40-bbb3-628e05adfba3,Items,1,tr:lh:1987,37028/14,isad:lh:95994,Planex GT / V 3965,,,,,Nederlands,Noot
tg:lhaq:9013,135c55d1-f7f0-5ed0-ac20-77c41a3026c4,Items,1,tr:lh:7497,197414/2,isad:lh:95953,S 5621 / I (Doos 3),De rol van de Majoor Paul Petkoff werd door de acteur Gaston Vandermeulen vertolkt.,,,,Nederlands,Noot
tg:lhaq:4066,3427e823-4487-5f09-a8b8-0a62308a7afa,Items,1,,203500/2,isad:lh:95957,M 2475 / I,,,,,Nederlands,Noot
tg:lhaq:8550,7c078dc8-7219-5041-974a-d43d540d22fb,Items,1,,215880/20,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:4123,262ab269-588a-565f-9fff-7b4d784fe26a,Items,1,tr:lh:5626,112862/96,isad:lh:95960,M 439 / I,,,,,Nederlands,Noot
tg:lhaq:8383,397cdc4d-1877-5ff1-aea4-d5699678eec6,Items,1,,215082/30,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:8679,e9b2a80c-720e-5fb9-88c6-7dca2e80d611,Items,1,tr:lh:2339,44074/16,isad:lh:96034,V 114 / I (Doos 1),"Op de achterkant van het blad is een schets, een lijntekening in potlood voor een vrouwelijk kostuum.",,,,Nederlands,Noot
tg:lhaq:9068,da23c11e-76c1-5d41-bc0d-4654a90f4146,Items,1,tr:lh:9195,220639/2a-b,isad:lh:95930,S 7265 / I,,,,,Nederlands,Noot
tg:lhaq:20,977c1be7-d310-596c-adf3-46f76e4317a7,Items,1,tr:lh:7404,196085/2,isad:lh:95914,Planex GP / E 3175,,,,,Nederlands,Noot
tg:lhaq:8696,9c28a607-05e3-5d17-bea8-9dba2f73b252,Items,1,tr:lh:4996,99068/3,isad:lh:96041,V 114 / I (Doos 1),Het ballet Triomf van de Geest werd in 1959  met een vernieuwde muzikale techniek door Willem Kersters gecomponeerd.,V1 B,,,Nederlands,Noot
tg:lhaq:1399,4bddeb9c-33d5-5850-a47c-c9d9b051c50f,Items,1,tr:lh:5006,99191/22b,isad:lh:95916,Planex KP / A 2875,Op postkaart gestuurd aan Jef Alpaerts,,,,Nederlands,Noot
tg:lhaq:8911,9b000f80-5b64-5386-992c-edf855837ac7,Items,1,tr:lh:7497,197410/8,isad:lh:95953,S 5621 / I (Doos 2),De rol van Schwejk werd door de acteur Luc Philips vertolkt.,,,,Nederlands,Noot
tg:lhaq:8854,9abd95fd-1030-5479-8146-b6d6efc1c2ad,Items,1,tr:lh:7497,197408/65,isad:lh:95953,S 5621 / I (Doos 2),De rol van de pooier Pier werd door de acteur Jo Coppens vertolkt.,,,,Nederlands,Noot
tg:lhaq:8784,5c3c5c94-0899-5cf3-9203-2f45ab429ca0,Items,1,tr:lh:7497,197406/1,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:5509,8b0c07b1-b052-570b-bca7-98f8d7fba377,Items,1,tr:lh:7876,213470/2,isad:lh:95980,W 7562 / I,,,,,Nederlands,Noot
tg:lhaq:8907,d26759cd-338b-529c-b7b2-93481776dced,Items,1,tr:lh:7497,197410/4,isad:lh:95953,S 5621 / I (Doos 2),De rol van dikke vrouw werd door de actrice Lucienne de Nutte vertolkt.,,,,Nederlands,Noot
tg:lhaq:8842,145c5f0a-bb6c-52ca-b04e-873c5c0615b5,Items,1,tr:lh:7497,197408/55,isad:lh:95953,S 5621 / I (Doos 2),De rol van Lowies werd door de  actrice Tine Balder vertolkt.,,,,Nederlands,Noot
tg:lhaq:8792,5c1e09e9-31d5-570e-9050-94a70b3f39d9,Items,1,tr:lh:7497,197407/20,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:6626,1beea900-3308-5a4d-9492-8a60f728f42d,Items,1,tr:lh:9762,234388,isad:lh:100730,Planex GP / V 39155,,,,,Nederlands,Noot
tg:lhaq:2370,3e4916c8-11e1-57a6-b7f5-adcd826f7bae,Items,1,,76502,,SC 49 C 2,,,,,Nederlands,Noot
tg:lhaq:8403,dcc55afd-62ec-50f4-8a26-7f808b7735ba,Items,1,,215082/50,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:4565,5e937a35-f83b-5d43-9f13-29afb0ff6951,Items,1,tr:lh:5448,106948/2,isad:lh:95963,C 3396 / I (doos 1),,,,,Nederlands,Noot
tg:lhaq:8546,7c729a34-ba1a-58f8-a6ce-69f7c86f50d7,Items,1,,215880/16,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:2632,52738c98-5867-5d59-906c-9ba1046e26c3,Items,1,tr:lh:5190,102771/1,isad:lh:95930,Planex GT / S,,,,,Nederlands,Noot
tg:lhaq:8395,54b8899f-fe69-58b3-bf28-58ce7abca638,Items,1,,215082/42,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:8680,06c48f40-7010-5f14-bbd5-02802f6b0a5a,Items,1,tr:lh:2339,44074/17,isad:lh:96034,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:5548,0cccfe13-5966-514f-988a-6d35cc081d04,Items,1,tr:lh:6559,161988/23,isad:lh:95982,V 4303 / I,,,,,Nederlands,Noot
tg:lhaq:9009,e833935d-27a6-5ffc-a736-109781e1f502,Items,1,tr:lh:7497,197413/33,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8531,7441af4b-7744-54fb-a0f6-4036bed9cba9,Items,1,,215880/1,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:8862,b1ce90f6-e392-5335-b3bd-669a5c58aee7,Items,1,tr:lh:7497,197408/73,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:8927,bf88cfb6-f431-5418-a71f-a37074a5f5f7,Items,1,tr:lh:7497,197411/12,isad:lh:95953,S 5621 / I (Doos 2),"De rol van Paris, een jong edelman, werd  door de acteur Paul 's Jongers vertolkt.",,,,Nederlands,Noot
tg:lhaq:6893,207edb6b-a0ee-5b45-83b8-6ad1b6ebd2ea,Items,1,,174215/3,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, 90ste speeljaar, mei 1943

**Regie:** Joris Diels",,,,Nederlands,Noot
tg:lhaq:2583,01582bee-3c39-5ada-b2be-121bcba0b779,Items,1,,101672,,SC 72 B 2,,,,,Nederlands,Noot
tg:lhaq:9377,407075f2-7ac8-5743-bab0-7bab26c3df34,Items,1,tr:lh:7337,195174/6,isad:lh:127935,O 393 / Doos 11,,V1 B 75 C6,,,Nederlands,Noot
tg:lhaq:8835,8a64f85a-b500-58e5-a6dc-81d241f27c55,Items,1,tr:lh:7497,197408/51,isad:lh:95953,S 5621 / I (Doos 2),"De rollen van snollen werden door de actrices Marilou Mermans, Martha de Wachter en Tine Balder vertolkt.",,,,Nederlands,Noot
tg:lhaq:8566,031ba763-243a-5ac6-bba2-8faeaee6f14c,Items,1,,215880/32,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:8970,45bc62d6-8ccc-59a4-815b-f85cab9157de,Items,1,tr:lh:7497,197412/44,isad:lh:95953,S 5621 / I (Doos 2),"De rol van de vader van Dierik, een rijke koopman, werd door de acteur Frans van den Brande vertolkt.",,,,Nederlands,Noot
tg:lhaq:7543,4f45914f-0cd5-5f4a-82f7-c9acab67429c,Items,1,tr:lh:5702,109863/2,isad:lh:100726,P 7385 / I (doos 1),,,,,Nederlands,Noot
tg:lhaq:8570,a862b183-d8e5-5889-a8b6-545a5951bf1d,Items,1,,215880/36,,Planex GT / T 159,,,,,Nederlands,Noot
