ResourceID,brocade.id,card,order,id/place.place,Production Place Name,Production Place ID,Production Place Identifier
fc7910c8-7924-5207-b880-318e2992cd34,tg:lhpr:9658,Places,1,[{'value': 'Hakendover'}],Hakendover,,
ca8de561-5fb9-5265-b53d-ab07e850f23e,tg:lhpr:9643,Places,1,[{'value': 'Antwerpen'}],Antwerpen,,
01380183-ddd2-541a-95e0-c343626926d5,tg:lhtk:12423,Places,1,[{'value': 'onbekend'}],onbekend,,
876e2494-7ffc-5c56-a100-f3c5f8d3c1e8,tg:lhtk:12589,Places,1,[{'value': 'onbekend'}],onbekend,,
116075c3-3603-5091-8625-64c86030a240,tg:lhtk:12474,Places,1,[{'value': 'onbekend'}],onbekend,,
32ab59c0-8330-538b-bbbb-2a87fe8428d5,tg:lhtk:12531,Places,1,[{'value': 'onbekend'}],onbekend,,
a5062715-bc07-52d1-9ba3-e9870c935182,tg:lhtk:9547,Places,1,[{'value': 'Antwerpen'}],Antwerpen,,
72b7a2a1-d953-56d1-8695-b2e675dbe24a,tg:lhtk:12248,Places,1,[{'value': 'onbekend'}],onbekend,,
5522d848-e538-5cb2-b30f-5ffe3ab64c98,tg:lhtk:12462,Places,1,[{'value': 'onbekend'}],onbekend,,
35421f39-0346-5918-b977-8ba0e0fbeee4,tg:lhtk:12527,Places,1,[{'value': 'onbekend'}],onbekend,,
787d7824-8e79-53d7-b32c-0532d433cede,tg:lhtk:9551,Places,1,[{'value': 'Hakendover'}],Hakendover,,
3996d92f-3039-509c-9d82-fa416275a786,tg:lhtk:12435,Places,1,[{'value': 'onbekend'}],onbekend,,
b2a580bf-a0ce-5025-9539-11b5338a5443,tg:lhtk:12337,Places,1,[{'value': 'onbekend'}],onbekend,,
26954acf-aa9b-5cc1-916b-66fd8d00c1f6,tg:lhtk:12419,Places,1,[{'value': 'onbekend'}],onbekend,,
f3a3e563-bf52-58c6-a459-2cba93934e3b,tg:lhtk:12360,Places,1,[{'value': 'onbekend'}],onbekend,,
fef755b8-c6cd-5850-9af7-9a850e6e4214,tg:lhtk:14471,Places,1,[{'value': 'copies'}],copies,,
8824ec74-dd82-5bed-a054-5d7ccf9698f5,tg:lhtk:12726,Places,1,[{'value': 'onbekend'}],onbekend,,
d31a2381-4fe3-50eb-a6de-7804526b462b,tg:lhtk:12376,Places,1,[{'value': 'onbekend'}],onbekend,,
4e4a2db6-1596-530b-8884-d441bdde9252,tg:lhtk:12399,Places,1,[{'value': 'onbekend'}],onbekend,,
7ed5d14f-0cd3-5f18-8066-8f8e3951abc4,tg:lhtk:12458,Places,1,[{'value': 'onbekend'}],onbekend,,
34b93894-abe3-5604-bcbe-759381372ccf,tg:lhtk:12321,Places,1,[{'value': 'onbekend'}],onbekend,,
2f06435e-9520-5a72-a6aa-ebdf52e9cdb4,tg:lhtk:12264,Places,1,[{'value': 'onbekend'}],onbekend,,
154f8e7d-7e50-5391-9245-e9ba7ff3d175,tg:lhtk:12356,Places,1,[{'value': 'onbekend'}],onbekend,,
b95d2942-c699-571b-9611-0f37a3266ca8,tg:lhtk:12244,Places,1,[{'value': 'onbekend'}],onbekend,,
520aba37-4172-558d-94a8-4cd0403b8d70,tg:lhtk:13269,Places,1,[{'value': 'Traphal auditorium'}],Traphal auditorium,,
78cb084d-1fd3-5e1f-bf74-21f651f2fcdf,tg:lhtk:12478,Places,1,[{'value': 'onbekend'}],onbekend,,
68dcd255-c744-5484-92f8-6426a26efb72,tg:lhtk:12497,Places,1,[{'value': 'onbekend'}],onbekend,,
652a2cfe-c9cb-5645-841a-e0cc62762fdb,tg:lhtk:14113,Places,1,"[{'value': 'au::100141', 'uuid': '81ac4db9-1e25-55a3-9b28-97c03f96b4ab'}]",Antwerpen,au::100141,https://id.letterenhuis.be/ark:/24970/81ac4db9-1e25-55a3-9b28-97c03f96b4ab
bb3c9a78-14d5-5e9b-be64-85153e64641c,tg:lhtk:12252,Places,1,[{'value': 'onbekend'}],onbekend,,
016663cc-9e19-5ae1-8299-a6a67ab7a587,tg:lhtk:12317,Places,1,[{'value': 'onbekend'}],onbekend,,
5c691ce7-ab70-5c4c-9ba3-d2a3e73d008d,tg:lhtk:12481,Places,1,[{'value': 'onbekend'}],onbekend,,
ca30f7fd-480c-5986-ac1d-9fe2ec42f66d,tg:lhtk:12340,Places,1,[{'value': 'onbekend'}],onbekend,,
e4048b1d-ca9a-5fba-8026-8f78ce925bb6,tg:lhtk:12710,Places,1,[{'value': 'onbekend'}],onbekend,,
e0ac8d50-2cc5-5baf-b7f0-4f14582b002f,tg:lhtk:12439,Places,1,[{'value': 'onbekend'}],onbekend,,
36595791-2e91-5c02-b57e-5033748a77b5,tg:lhtk:12784,Places,1,[{'value': 'onbekend'}],onbekend,,
