Brocade ID,ResourceID,card,order,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type
tg:lhaq:9286,f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,ISAAR_Relations,1,au::16765,{'url': 'https://anet.be/record/isaarlh/au::16765'},ar,Persoon,Lode Sebregts,Kunstenaar
tg:lhaq:9286,f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,ISAAR_Relations,2,au::15535,{'url': 'https://anet.be/record/isaarlh/au::15535'},kw,Algemeen,Reinaart de Vos,Trefwoord
tg:lhaq:9286,f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,ISAAR_Relations,3,au::100141,{'url': 'https://anet.be/record/isaarlh/au::100141'},vb,Plaatsen,Antwerpen,In Verband Met
tg:lhaq:9286,f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,ISAAR_Relations,4,au::8106,{'url': 'https://anet.be/record/isaarlh/au::8106'},vb,Evenement,Guldensporenslag-Herdenkingen,In Verband Met
tg:lhaq:8881,62450c5b-0a35-5d36-b684-1e7c66e4a1c9,ISAAR_Relations,1,au::16765,{'url': 'https://anet.be/record/isaarlh/au::16765'},ar,Persoon,Lode Sebregts,Kunstenaar
tg:lhaq:8881,62450c5b-0a35-5d36-b684-1e7c66e4a1c9,ISAAR_Relations,2,au::21564,{'url': 'https://anet.be/record/isaarlh/au::21564'},vb,Persoon,Eugène A. Winters,In Verband Met
tg:lhaq:8881,62450c5b-0a35-5d36-b684-1e7c66e4a1c9,ISAAR_Relations,3,au::22381,{'url': 'https://anet.be/record/isaarlh/au::22381'},vb,Organisatie,Koninklijke Nederlandse Schouwburg,In Verband Met
tg:lhaq:8881,62450c5b-0a35-5d36-b684-1e7c66e4a1c9,ISAAR_Relations,4,au::45581,{'url': 'https://anet.be/record/isaarlh/au::45581'},vb,Persoon,Lia Lee,In Verband Met
tg:lhaq:8881,62450c5b-0a35-5d36-b684-1e7c66e4a1c9,ISAAR_Relations,5,au::8854,{'url': 'https://anet.be/record/isaarlh/au::8854'},vb,Persoon,Patrick Hiketick,In Verband Met
tg:lhaq:8751,1eec0799-63fa-543c-a3d0-be891a0c181c,ISAAR_Relations,1,au::58377,{'url': 'https://anet.be/record/isaarlh/au::58377'},ar,Persoon,Mavis Taylor,Kunstenaar
