ResourceID,card,order,Signature Note,Signature Note Type,Signature Note  Language
f336da7c-906c-5ab5-b0f3-aa9d00bd9cd8,Inscriptions,2,Van boven naar beneden:_ Antwerpen / Reinaert De Vos,Signatuur,Nederlands
62450c5b-0a35-5d36-b684-1e7c66e4a1c9,Inscriptions,1,"Rechtsboven met potlood: __Lia Lee_ / _Baker_ / een _non_ / een kwezel_

rechtsonder met balpen: _ 6 mantels_",Signatuur,Nederlands
1eec0799-63fa-543c-a3d0-be891a0c181c,Inscriptions,2,"Rechtsonder de afbeelding met balpen: _Old Gobbo_

rechtsonder: _Re. Bertal_",Signatuur,Nederlands
56e6263a-af53-574e-ae41-5addeaf522f7,Inscriptions,1,"Linksonder met potlood: _L.Sebregts._

op de achterkant van het blad:_""""La Chapelle de la Misericorde"""" / (le Mendiant,
le singe)_",Signatuur,Nederlands
823461b2-0712-56a4-8ed4-be9310e7baa7,Inscriptions,1,"Linksonder met potlood: _L. Sebregts_

op de achterkant van het blad:_La Terre et les Hommes / (la Terre)",Signatuur,Nederlands
0946f068-5ab0-5558-bd03-4f927fba0f5e,Inscriptions,1,"Boven in het midden met balpen: _II - V_

links onder met inkt: _De Knecht van twee Meesters van Goldoni_

_Decor Lode Sebregts Beggaardestraat 8_

_Antwerpen_",Signatuur,Nederlands
bb524cb6-ed81-546e-a22e-26957d99f5ff,Inscriptions,1,"Onder, met potlood-_""""De vogel in de kunst.""""_

boven links-_""""P.Joostens""""_",Signatuur,Nederlands
5d08dca6-26ef-556a-a3d9-ec1296c7d5de,Inscriptions,1,"Links boven met potlood: _Les mouchoirs - scenario R. Avermate Muziek Renier
V. d. Velde. Kostums Mij Merten_

naar rechts: _Peter en de Wolf van Prokofiev_",Signatuur,Nederlands
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,Inscriptions,1,"Op de achterzijde staat in potlood geschreven: _St Niklaaskerk Gent_  
",Signatuur,Nederlands
b2bbf28f-a732-5f52-be4c-4e3a67ca9678,Inscriptions,2,"Op de achterzijde jaarvermelding : _1943_  
",Signatuur,Nederlands
f051649c-2a76-5b5a-8afd-6f3b95716bc4,Inscriptions,1,"Boven met potlood: _De Soldaat_ / masson

rechtsonder naast de afbeelding: _L. Sebregts_",Signatuur,Nederlands
2a009e82-1442-52f3-bdde-255bd25a5b29,Inscriptions,1,Links onder: _JB,Signatuur,Nederlands
77b0399b-e866-5c0f-97b5-3aa876feeb5a,Inscriptions,1,"Links onderaan monogram kunstenaar : _SW_
",Signatuur,Nederlands
77b0399b-e866-5c0f-97b5-3aa876feeb5a,Inscriptions,2,"Links onderaan jaartalvermelding : 2016  
",Signatuur,Nederlands
b115a4c2-902f-58fd-bf56-710a9ed715cc,Inscriptions,1,Rechtsboven met potlood: _Joffer_,Signatuur,Nederlands
1c2549b2-f726-5e8d-b9d9-6024da36156d,Inscriptions,1,"Rechts naast de afbeelding met potlood: _Lady Macbeth_

rechtsonder: _L Sebregts_

op de achter kant van het blad met potlood: _privé bezit L. Sebregts_",Signatuur,Nederlands
29cd2b73-2d47-5785-883a-989c4e9de3b6,Inscriptions,1,"Rechts naast de tekening met potlood: _Dit deel en het / geen volgt speelt /
na de pauze_;

links onder de tekening met potlood: _b.7 / 7_;

rechts onder de tekening met potlood: _Hélène Gliewe / Het fonddoek kan /
eventueel een zwart / gordijn wezen_",Signatuur,Nederlands
2889da1d-de01-506d-a2b8-86ab9eaf34d7,Inscriptions,2,geen.,Signatuur,Nederlands
090a8e15-d13b-556d-9d94-a248ac6264bf,Inscriptions,2,"Rechtsonder met balpen: _Aragon_

onder: _Fr. Bernard_",Signatuur,Nederlands
473c6aab-df61-5f40-bbb3-628e05adfba3,Inscriptions,1,"Links onder de tekening met inkt: _DE TOCHT NAAR DE LIEFDE_;

rechts onder de tekening met potlood:_ Nr I (PROLOOG)_",Signatuur,Nederlands
135c55d1-f7f0-5ed0-ac20-77c41a3026c4,Inscriptions,1,"Linksboven met potlood: _oorlogsmannen G. Vandermeulen / **Petkoff**

rechtsboven: _  
**kamerjas**_

rechtsonder: __L. Sebregts__",Signatuur,Nederlands
7c078dc8-7219-5041-974a-d43d540d22fb,Inscriptions,2,Rechts onder de afbeelding met inkt: _Inn - Musician_,Signatuur,Nederlands
397cdc4d-1877-5ff1-aea4-d5699678eec6,Inscriptions,1,"Links onder de tekening met potlood: _GOMMAER_

met inkt _""""Leontientje"""" (Timmermans)_

rechts onder de tekening met potlood: _Hendrikx_",Signatuur,Nederlands
e9b2a80c-720e-5fb9-88c6-7dca2e80d611,Inscriptions,2,Rechts onder met blauw kleurpotlood: _OVERSTE_,Signatuur,Nederlands
