Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card
tg:lhbr:228132,,aa64305a-b125-5b53-a572-2bec7aa3bb27,Letterenhuis,https://data.letterenhuis.be/ark:/24970/aa64305a-b125-5b53-a572-2bec7aa3bb27,repository numbers,object identifier,0,AA
tg:lhbr:86166,,df44f22d-aafb-505a-b80b-9c4cb604ca70,Letterenhuis,https://data.letterenhuis.be/ark:/24970/df44f22d-aafb-505a-b80b-9c4cb604ca70,repository numbers,object identifier,0,AA
tg:lhbr:57896,,c24aca3d-4f7a-5759-9ecf-44fc57ab71d0,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c24aca3d-4f7a-5759-9ecf-44fc57ab71d0,repository numbers,object identifier,0,AA
tg:lhbr:255402,,cdcbef42-3a6c-558b-9e07-475b1b26131c,Letterenhuis,https://data.letterenhuis.be/ark:/24970/cdcbef42-3a6c-558b-9e07-475b1b26131c,repository numbers,object identifier,0,AA
tg:lhbr:203262,,e01b5cf7-de26-5be4-ab4c-dbec23e187e1,Letterenhuis,https://data.letterenhuis.be/ark:/24970/e01b5cf7-de26-5be4-ab4c-dbec23e187e1,repository numbers,object identifier,0,AA
tg:lhbr:127292,,4dede4f4-0c70-5908-afe4-37173f2a0679,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4dede4f4-0c70-5908-afe4-37173f2a0679,repository numbers,object identifier,0,AA
tg:lhbr:66332,,f67aef61-8e85-5979-8729-916af0bb1010,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f67aef61-8e85-5979-8729-916af0bb1010,repository numbers,object identifier,0,AA
tg:lhbr:30552,,281b06fd-715b-54f8-8cf7-6e5d2e8f3659,Letterenhuis,https://data.letterenhuis.be/ark:/24970/281b06fd-715b-54f8-8cf7-6e5d2e8f3659,repository numbers,object identifier,0,AA
tg:lhbr:120557,,7f59ae88-e386-5321-86e5-0c2d943a9b2d,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7f59ae88-e386-5321-86e5-0c2d943a9b2d,repository numbers,object identifier,0,AA
tg:lhbr:263863,,3be709c0-3f47-5ab1-8b4d-6ea7bfc6095a,Letterenhuis,https://data.letterenhuis.be/ark:/24970/3be709c0-3f47-5ab1-8b4d-6ea7bfc6095a,repository numbers,object identifier,0,AA
tg:lhbr:176337,,db99c399-e816-5663-b323-d0f9cd4c11b1,Letterenhuis,https://data.letterenhuis.be/ark:/24970/db99c399-e816-5663-b323-d0f9cd4c11b1,repository numbers,object identifier,0,AA
tg:lhbr:37297,,6deea745-e501-5ff0-b78a-b470b70969a4,Letterenhuis,https://data.letterenhuis.be/ark:/24970/6deea745-e501-5ff0-b78a-b470b70969a4,repository numbers,object identifier,0,AA
