ResourceID,brocade.id,card,order,Format Unit Type,Format Number Type,Format Unit Qualifier,Format Number
e63337da-bf45-5777-bb14-d3ef95982778,tg:rubhs:20,Formats,1,sheets,total,ca,120
ef379e44-9f91-5b8e-bfd1-d1c8536ee9d8,tg:rubhs:16,Formats,1,sheets,total,ca,80
db03d75c-f6bd-560e-a0bc-701dccd7cdac,tg:rubhs:57,Formats,1,pages,written,,159
b412a4ae-4325-5a90-83f0-e809116a7f9e,tg:rubhs:6,Formats,1,sheets,total,ca,40
7c225786-d095-55ee-8d80-eaf75ab82926,tg:rubhs:134,Formats,1,pages,written,,118
bb580b69-be01-550d-9ef8-8ecd9a1e9dc4,tg:rubhs:17,Formats,1,sheets,total,ca,60
75577ba0-3510-5f3a-a847-8e835bbcf15b,tg:rubhs:60,Formats,1,pages,written,,25
9393531a-c279-5330-a028-1eaad6505039,tg:rubhs:21,Formats,1,sheets,total,ca,120
02feda08-6016-59e2-8d63-e116729cdb80,tg:rubhs:10,Formats,1,sheets,total,ca,60
f4cde989-f1ee-5c80-8adf-8eb25786a428,tg:rubhs:11,Formats,1,sheets,total,ca,60
00aae731-40a4-579d-872d-30c121a1187f,tg:rubhs:218,Formats,1,pages,written,ca,400
be795ee8-2916-5f62-9883-e994bf6d7a66,tg:rubhs:131,Formats,1,pages,written,,160
396d9030-f603-5a4d-88e1-4a1190d86187,tg:rubhs:53,Formats,1,pages,written,,39
03322c74-e03a-5d1f-beac-0b05e87d0a1f,tg:rubhs:12,Formats,1,sheets,total,ca,60
54d52cfc-258c-568a-9bd5-3eba376d5ded,tg:rubhs:13,Formats,1,sheets,total,ca,60
da5d40cc-feda-5437-be6f-2898179f56c8,tg:rubhs:22,Formats,1,sheets,total,ca,90
87474395-b13a-597b-821b-be7ae3d6d461,tg:rubhs:18,Formats,1,sheets,total,ca,110
6cb7ea80-d572-507a-96ae-037c5456fab9,tg:rubhs:14,Formats,1,sheets,total,ca,180
62d47886-01c6-526e-8bb0-9edb3250b286,tg:rubhs:15,Formats,1,sheets,total,ca,60
b60f8b49-fe75-52a5-9c7d-6b7ebc8bb095,tg:rubhs:5,Formats,1,sheets,total,ca,50
cecae92a-7ba7-5736-aedd-5bb257ebc095,tg:rubhs:19,Formats,1,sheets,total,ca,100
845bc693-2538-5d6d-9e00-26cf91dec288,tg:rubhs:62,Formats,1,sheets,total,,101
845bc693-2538-5d6d-9e00-26cf91dec288,tg:rubhs:62,Formats,1,pages,written,,35
a6f753c8-f1e2-57f2-bcd7-0745988c4e23,tg:rubhs:9,Formats,1,sheets,total,ca,70
