brocade.id,ResourceID,card,order,Archive Note,Archive Note,Warehouse Location (begin),Serial Number,adm.note,Warehouse Location (ende),adm.note.language,adm.note.type
tg:rubgr:3721,d4d5d99b-cc91-583f-aba6-14b58f3e39d0,Items,1,AFG_098_029,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:2833,175b6b9b-0937-5949-a3bf-bab05fa2d8e9,Items,1,AFG_086_091,isad:rub:3016,,,,,Nederlands,remarks
tg:rubgr:729,787977c6-737c-565d-adab-a0c5d7cd499f,Items,1,AFG_017_022,isad:rub:2947,,,,,Nederlands,remarks
tg:rubgr:3371,b05f8d36-4693-51a8-9f9d-3a9e6c86cae0,Items,1,AFG_093_034,isad:rub:3019,,,,,Nederlands,remarks
tg:rubgr:683,4b49359d-c991-5d73-9a5b-e7525f5101fc,Items,1,AFG_016_016,isad:rub:2946,,,,,Nederlands,remarks
tg:rubgr:379,d74c451c-9476-56a2-a712-1b3ce481c9b3,Items,1,AFG_007_028,isad:rub:2937,,,,,Nederlands,remarks
tg:rubgr:2999,4a97664d-dba3-5308-984c-31204cee7bf2,Items,1,AFG_088_020,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:2130,b425a01e-0135-5b76-a417-863e10986d85,Items,1,AFG_058_044,isad:rub:2988,,,,,Nederlands,remarks
tg:rubgr:2560,68172bd9-22e0-59d5-8f6f-3a1c1569ac6b,Items,1,AFG_083_110,isad:rub:3013,,,,,Nederlands,remarks
tg:rubgr:4908,0d61ec22-87f6-5cb3-8d35-d1f7c6becbac,Items,1,AFG_136_036,isad:rub:3058,,,,,Nederlands,remarks
tg:rubgr:3664,b054fb3a-43e0-5770-af6e-03df58406ab5,Items,1,AFG_097_110,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:1659,799335a5-10ae-5d78-ad7b-3d9e7e510a2e,Items,1,AFG_045_015,isad:rub:2975,,,,,Nederlands,remarks
tg:rubgr:2976,bf61acd1-1a65-57f6-baec-029912374c27,Items,1,AFG_087_003,isad:rub:3017,,,,,Nederlands,remarks
tg:rubgr:396,353d1bea-869d-55ba-8541-cb90e5330b2c,Items,1,AFG_008_015,isad:rub:2938,,,,,Nederlands,remarks
tg:rubgr:3234,2d4b2d19-0e2d-521b-bfc1-8963c4b5088b,Items,1,AFG_091_038,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:1209,8042eaa7-0073-558c-945d-d5bad0bf545f,Items,1,AFG_029_018,isad:rub:2959,,,,,Nederlands,remarks
tg:rubgr:816,590fefe8-2c37-5fc6-bda7-7f12c41405b2,Items,1,AFG_018_005,isad:rub:2948,,,,,Nederlands,remarks
tg:rubgr:1823,33f2d377-ac3c-5327-a7be-23f4e590d677,Items,1,AFG_048_002,isad:rub:2978,,,,,Nederlands,remarks
tg:rubgr:1989,c6d9e256-6a1e-5a3a-9925-b584353913a0,Items,1,AFG_055_020,isad:rub:2985,,,,,Nederlands,remarks
tg:rubgr:5163,c1213526-8aa3-5636-b761-88b23fd5499a,Items,1,AFG_143_042,isad:rub:3065,,,,,Nederlands,remarks
tg:rubgr:4322,6865645d-835d-5edb-a6fa-84e89256c876,Items,1,AFG_111_117,isad:rub:3032,,,,,Nederlands,remarks
tg:rubgr:115,31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d,Items,1,AFG_003_043,isad:rub:2933,,,,,Nederlands,remarks
tg:rubgr:1120,04fbc0f6-7964-5fec-aa99-f37952fc1df4,Items,1,AFG_024_002,isad:rub:2954,,,,,Nederlands,remarks
tg:rubgr:4772,609021a6-c817-5bed-98cc-6916534b4d63,Items,1,AFG_129_008,isad:rub:3051,,,,,Nederlands,remarks
tg:rubgr:545,62948151-4c94-5bdd-a21a-608f1477d274,Items,1,AFG_011_004,isad:rub:2941,,,,,Nederlands,remarks
tg:rubgr:1570,82f085c3-e0a3-5d76-9b29-318ffab0e03e,Items,1,AFG_042_022,isad:rub:2972,,,,,Nederlands,remarks
tg:rubgr:4288,13a592fd-0f0b-531f-8d95-a54f3f9750f4,Items,1,AFG_111_083,isad:rub:3032,,,,,Nederlands,remarks
tg:rubgr:1065,b8f5eb9e-95f2-548d-8ad4-8c65553be050,Items,1,AFG_023_013,isad:rub:2953,,,,,Nederlands,remarks
tg:rubgr:3058,dc93b455-5ef2-564b-ad57-dc75cb4ff550,Items,1,AFG_089_058,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:4267,a7642b03-dd0f-571a-8b9d-8b1810effb35,Items,1,AFG_111_062,isad:rub:3032,,,,,Nederlands,remarks
tg:rubgr:1435,add7db4a-cdf4-5243-a528-79417eb20d78,Items,1,AFG_038_041,isad:rub:2968,,,,,Nederlands,remarks
tg:rubgr:3408,11b2138e-74e7-521f-b189-c1f953def81f,Items,1,AFG_093_071,isad:rub:3019,,,,,Nederlands,remarks
tg:rubgr:400,6c64f22d-2d5d-5661-a80e-c279a5bfc831,Items,1,AFG_008_019,isad:rub:2938,,,,,Nederlands,remarks
tg:rubgr:2219,bb62a898-50a6-50b3-a44e-2f9e060e9e81,Items,1,AFG_067_007,isad:rub:2997,,,,,Nederlands,remarks
tg:rubgr:2537,70038380-71dd-5a9b-af39-4051d9409a9e,Items,1,AFG_083_087,isad:rub:3013,,,,,Nederlands,remarks
tg:rubgr:4119,5106b653-34ce-568b-a589-321045ea8df2,Items,1,AFG_108_040,isad:rub:3029,,,,,Nederlands,remarks
tg:rubgr:4549,44f316c0-2c66-508d-a47e-3fe71e01064e,Items,1,AFG_116_036,isad:rub:3037,,,,,Nederlands,remarks
tg:rubgr:2864,fd86a9ca-697e-5d44-9605-1832fe5b4d74,Items,1,AFG_086_122,isad:rub:3016,,,,,Nederlands,remarks
tg:rubgr:3263,6db128d1-86f3-5b4c-9d24-b3eacf525c6f,Items,1,AFG_091_067,isad:rub:3018,,,,,Nederlands,remarks
tg:rubgr:791,037309f8-8f5b-5f37-8044-6ce5455e61ee,Items,1,AFG_017_084,isad:rub:2947,,,,,Nederlands,remarks
tg:rubgr:3799,32e4eb8d-a113-5c79-a6c7-a4fccf150f52,Items,1,AFG_099_037,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:3633,c64486c7-ca7c-50cb-a364-d6818b775779,Items,1,AFG_097_079,isad:rub:3021,,,,,Nederlands,remarks
tg:rubgr:2921,b30d8240-2015-58a6-908f-bdd8020b27d0,Items,1,AFG_086_179,isad:rub:3016,,,,,Nederlands,remarks
tg:rubgr:2022,2e48946a-6634-5a76-a87d-0d025b40e35e,Items,1,AFG_055_053,isad:rub:2985,,,,,Nederlands,remarks
tg:rubgr:1527,60a7ed78-29f0-5074-b651-1fe965b6967a,Items,1,AFG_041_001,isad:rub:2971,,,,,Nederlands,remarks
tg:rubgr:4725,ec73addb-a202-5871-b1cf-8f8edfad9b2e,Items,1,AFG_128_025,isad:rub:3050,,,,,Nederlands,remarks
tg:rubgr:512,037f7439-1ffa-5f8f-8a6c-0c28259af299,Items,1,AFG_010_027,isad:rub:2940,,,,,Nederlands,remarks
tg:rubgr:1177,66f93fc0-a409-50c8-b7dd-a2d40ade7e93,Items,1,AFG_027_015,isad:rub:2957,,,,,Nederlands,remarks
tg:rubgr:4375,fcca69b7-8694-5e9f-a294-84ae17d30d44,Items,1,AFG_111_170,isad:rub:3032,,,,,Nederlands,remarks
tg:rubgr:3849,9382b653-8e87-5dd3-a9e7-f6c96d94597b,Items,1,AFG_101_001,isad:rub:3022,,,,,Nederlands,remarks
tg:rubgr:841,3a3807e7-5bc9-55d7-8e12-1fe7935108f0,Items,1,AFG_019_012,isad:rub:2949,,,,,Nederlands,remarks
tg:rubgr:5071,8c348455-2b81-54f0-8b92-5517a3c802f9,Items,1,AFG_141_009,isad:rub:3063,,,,,Nederlands,remarks
tg:rubgr:1931,14bfaf93-51e4-5e6a-b04d-86babe0e2c5d,Items,1,AFG_054_022,isad:rub:2984,,,,,Nederlands,remarks
tg:rubgr:4660,0e356e97-41e8-5790-8127-b0f0873a4b02,Items,1,AFG_121_028,isad:rub:3042,,,,,Nederlands,remarks
tg:rubgr:1198,d1c3de03-3579-5d65-80be-4dfd50ffdb35,Items,1,AFG_029_007,isad:rub:2959,,,,,Nederlands,remarks
tg:rubgr:457,84116d26-0e48-5078-84df-e8f8124562fc,Items,1,AFG_009_046,isad:rub:2939,,,,,Nederlands,remarks
tg:rubgr:1462,e4d6b69a-736d-587c-bbed-7bd11276c3e1,Items,1,AFG_038_068,isad:rub:2968,,,,,Nederlands,remarks
tg:rubgr:1032,508c061b-0ac3-5200-a66f-29fa46ca06fa,Items,1,AFG_022_065,isad:rub:2952,,,,,Nederlands,remarks
tg:rubgr:292,a0dc4c1f-74b7-5c47-ba47-c97627e76096,Items,1,AFG_006_006,isad:rub:2936,,,,,Nederlands,remarks
