ResourceID,brocade.id,card,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit
68a09ff2-b4bf-5cc1-979b-96655a7771a5,tg:mpmph:16,Dimensions,kenmerken.mpmformatph,180,hoogte,millimeter
68a09ff2-b4bf-5cc1-979b-96655a7771a5,tg:mpmph:16,Dimensions,kenmerken.mpmformatph,246,breedte,millimeter
839033c8-e69d-5629-948b-144adfab957f,tg:mpmph:11,Dimensions,kenmerken.mpmformatph,182,hoogte,millimeter
839033c8-e69d-5629-948b-144adfab957f,tg:mpmph:11,Dimensions,kenmerken.mpmformatph,240,breedte,millimeter
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,Dimensions,kenmerken.mpmformatph,175,hoogte,millimeter
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,Dimensions,kenmerken.mpmformatph,234,breedte,millimeter
de60bf3e-8106-5377-b9d7-dfd48da0c477,tg:mpmph:13,Dimensions,kenmerken.mpmformatph,112,hoogte,millimeter
de60bf3e-8106-5377-b9d7-dfd48da0c477,tg:mpmph:13,Dimensions,kenmerken.mpmformatph,175,breedte,millimeter
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,Dimensions,kenmerken.mpmformatph,175,hoogte,millimeter
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,Dimensions,kenmerken.mpmformatph,233,breedte,millimeter
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,Dimensions,kenmerken.mpmformatph,94,hoogte,millimeter
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,Dimensions,kenmerken.mpmformatph,153,breedte,millimeter
