Object Number,Record Type,URL,ResourceID,Reference Number,Stage Type,Format Dimension,Format Type,Sheet Numbers,Sheeet Type,Page Numbers,Page Type,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card,brocade.id,note,Annotation,Annotation Type,Annotation Language,Archive Brocade ID,Archive Name,Archive Identifier,Description,Description Type,Description Language,Genre Type,Brocade ID,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type,Archive Note,Warehouse Location (begin),Warehouse Location (ende),Source Note,Serial Number,Source Note Language,Source Note Type,Language,Production Actor Identifier,Production Actor ID,Production Actor Name,Production Actor Role,Title,Title Type,Title Language,Writing material
tg:rubhs:218,Handschrift,https://anet.be/record/opacrubobj/tg:rubhs:218/N,00aae731-40a4-579d-872d-30c121a1187f,BE-ANN14/hs/000000004,Handgeschreven,,,,,400.0,Circa,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/00aae731-40a4-579d-872d-30c121a1187f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,,,,,1,Annotations,tg:rubhs:218,note.rubdetail,"Bevat transcripties van allerhande publicaties - waaronder ook veilingcatalogi en krantenartikelen - evenals archivalia in verband met Rubens, steeds vergezeld van een bronvermelding. De getranscribeerde stukken dateren hoofdzakelijk uit de tweede helft van de 19de eeuw, hoewel er af en toe ook een ouder stuk tussen lijkt te zitten.

Bij heel wat transcripties werden aan het begin in de kantlijn opmerkingen toegevoegd als """"af""""[?], """"utilisé"""", """"utilisé transcrit"""", """"à consulter"""". Het lijkt er dus op dat Rooses dit boekje gebruikte om interessante informatie te registeren die hij diende te bekijken voor zijn onderzoek en/of diende te integreren in zijn publicaties. In die zin geeft het stuk een idee van de werkwijze van Rooses als kunsthistoricus.
Een van de transcripties lijkt in feite een kladversie van een brief te zijn, gedateerd 15/01/1881. Hieruit kunnen we min of meer de ontstaansperiode van het boekje afleiden.

Het boekje is opgedeeld in twee met de hand genummerde delen (pagina 1 (6 pagina's ervoor niet genummerd) t.e.m. [184] en 1 t.e.m. [192]). Helemaal achteraan bevinden zich tafels van de twee delen en een tafel specifiek op de handschriften van François Mols.  
Op p. 106 t.e.m. 172 van het eerste deel worden in de bovenhoeken data uit het leven van Rubens genoteerd. Daarop volgt een reeks pagina's met chronologisch één datum per pagina waarop telkens biografische info staat.   
In het tweede deel worden verschillende specifieke thema's besproken: vanaf p. 69 een gelijkaardige opdeling per datum, maar ditmaal met een chronologische opsomming van de werken van Rubens, gevolgd door info over samenwerkingen. Vanaf p. 119 gaat het over de brieven van Rubens, op p. 151 over zijn schilderstijl, vanaf p. 154 over graveurs die naar Rubens werkten, op p. 165 over de kenmerken aan de hand waarvan zijn werken gedateerd kunnen worden, op p. 166 kort over tekeningen, op p. 167-168 over algemene kenmerken van zijn werk, op p. 171-173 over werken in musea in de Provence, op p. 173-175 over wat Moretus over Rubens schreef en op p. 176-186 over kerken waarin zich werken van Rubens bevinden.

Er zijn ook enkele losse stukken aanwezig:  
  
- Vooraan zit een losse nota van Rooses met enkele nummers en daarachter namen van kunstenaars.  
- Achteraan zit nog een verzameling niet ingebonden notities, genummerd van 1 t.e.m. 79 en vervolgens nog drie ongenummerde pagina's. Een ander ongenummerd blad is rond de bundel gebouwen. Deze notities lijken voornamelijk te gaan over de handschriften van Mols. Bovenaan op de pagina's werd in potlood genoteerd """"vu"""".  
- Vooraan zat ook een nota van [Nora De Poorter](https://anet.be/record/isaarlh/au::61532/N), """"Mols nrs door Rooses overgeschreven"""", met verwijzingen naar nummeringen uit de publicatie Rubeniana van François Mols waar Rooses heel wat aandacht aan besteedt in zijn transcripties. Deze nota werd bij het stuk gehouden vanwege de mogelijk nuttige informatie die het verschaft.",Detailbeschrijving,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,,,,,1,Archives,tg:rubhs:218,,,,,isad:rub:3288,Algemeen,{'url':'https://id.rubenianum.be//ark:/86530/00aae731-40a4-579d-872d-30c121a1187f'},,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,,,,,1,GenreTypes,tg:rubhs:218,,,,,,,,,,,Notitieboekje,,,,,,,,,,,,,,,,,,,,,,,
,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:rubhs:218,au::16015,{'url': 'https://anet.be/record/isaarlh/au::16015'},au,Persoon,Max Rooses,Auteur,,,,,,,,,,,,,,,,
,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,tg:rubhs:218,au::16151,{'url': 'https://anet.be/record/isaarlh/au::16151'},ow,Persoon,Peter Paul Rubens,Onderwerp,,,,,,,,,,,,,,,,
,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,,,,,1,Items,tg:rubhs:218,,,,,,,,,,,,,,,,,,,isad:rub:3288,,,,RA 006 / 001,Nederlands,Noot,,,,,,,,,
,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,,,,,1,Languages,tg:rubhs:218,,,,,,,,,,,,,,,,,,,,,,,,,,Nederlands,,,,,,,,
,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,,,,,1,ProductionActors,tg:rubhs:218,,,,,,,,,,,,,,,,,,,,,,,,,,,{'url':'data.antwerpen.be/ark:/83110/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f'},au::16015,Max Rooses,Auteur,,,,
,,,00aae731-40a4-579d-872d-30c121a1187f,,,,,,,,,,,,,,,,,,1,Titles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notitieboek met op de rug opschrift """"Notas over Rubens""""",Ondertitel,Nederlands,
