ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Condition Status,Document status,Object Type,archiefstuknummer,title,Product stadium,Production Technique Type,Keeper,Object Number,Object Identifier
00848ca0-559a-5ec3-8188-8ac81c20d640,tg:rubgr:3503_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:3503_#1,https://data.rubenianum.be//ark:/86530/00848ca0-559a-5ec3-8188-8ac81c20d640
00848ca0-559a-5ec3-8188-8ac81c20d640,tg:rubgr:3503_#1,e22_Archives,1,,,,,,isad:rub:3020,"dlod={""name"":""6: Encyclopedia Britannica (AFG_094)"",""ark"":""ark:/86530/x0/a2283932-5fec-50a6-be30-91759dace6f4"",""uri"":""/repositories/13/archival_objects/174568"",""id"":""isad:rub:3020"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""6: Encyclopedia Britannica (AFG_094)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/a2283932-5fec-50a6-be30-91759dace6f4,,,,,,,,,,
00848ca0-559a-5ec3-8188-8ac81c20d640,tg:rubgr:3503_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
00848ca0-559a-5ec3-8188-8ac81c20d640,tg:rubgr:3503_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_094_067,,,,,,
00848ca0-559a-5ec3-8188-8ac81c20d640,tg:rubgr:3503_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_094_067,,,,,
00b5503f-9e9b-53c1-a879-5ce7a2fe520b,tg:rubgr:3507_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:3507_#1,https://data.rubenianum.be//ark:/86530/00b5503f-9e9b-53c1-a879-5ce7a2fe520b
00b5503f-9e9b-53c1-a879-5ce7a2fe520b,tg:rubgr:3507_#1,e22_Archives,1,,,,,,isad:rub:3020,"dlod={""name"":""6: Encyclopedia Britannica (AFG_094)"",""ark"":""ark:/86530/x0/a2283932-5fec-50a6-be30-91759dace6f4"",""uri"":""/repositories/13/archival_objects/174568"",""id"":""isad:rub:3020"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""6: Encyclopedia Britannica (AFG_094)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/a2283932-5fec-50a6-be30-91759dace6f4,,,,,,,,,,
00b5503f-9e9b-53c1-a879-5ce7a2fe520b,tg:rubgr:3507_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
00b5503f-9e9b-53c1-a879-5ce7a2fe520b,tg:rubgr:3507_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_094_071,,,,,,
00b5503f-9e9b-53c1-a879-5ce7a2fe520b,tg:rubgr:3507_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_094_071,,,,,
00da0db7-83ab-5798-9b83-4a2e998271b4,tg:rubgr:131_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:131_#1,https://data.rubenianum.be//ark:/86530/00da0db7-83ab-5798-9b83-4a2e998271b4
00da0db7-83ab-5798-9b83-4a2e998271b4,tg:rubgr:131_#1,e22_Archives,1,,,,,,isad:rub:2933,"dlod={""name"":""Map 1 (AFG_003)"",""ark"":""ark:/86530/x0/198948e1-0623-5404-9a6f-d2e0aeec0bbe"",""uri"":""/repositories/13/archival_objects/174465"",""id"":""isad:rub:2933"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""II: Icarus / Adoration""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_003)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/198948e1-0623-5404-9a6f-d2e0aeec0bbe,,,,,,,,,,
00da0db7-83ab-5798-9b83-4a2e998271b4,tg:rubgr:131_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
00da0db7-83ab-5798-9b83-4a2e998271b4,tg:rubgr:131_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_003_059,,,,,,
00da0db7-83ab-5798-9b83-4a2e998271b4,tg:rubgr:131_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_003_059,,,,,
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:2481_#1,https://data.rubenianum.be//ark:/86530/00db22c3-8ce3-545a-9117-7ddef24ba790
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_Archives,1,,,,,,isad:rub:3013,"dlod={""name"":""Map 1 (AFG_083)"",""ark"":""ark:/86530/x0/b4466abb-bae2-5a1c-9645-36e3140a907c"",""uri"":""/repositories/13/archival_objects/174559"",""id"":""isad:rub:3013"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""XVI: M. van Cleve""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_083)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/b4466abb-bae2-5a1c-9645-36e3140a907c,,,,,,,,,,
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_DocumentStatus,1,kenmerken.rubedformgr,dtrvfk,,,,,,,,photocopies,,,,,,,,
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvfk,,,,,,,,,documents (object genre),,,,,,,
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_ObjectTypes,2,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_083_031,,,,,,
00db22c3-8ce3-545a-9117-7ddef24ba790,tg:rubgr:2481_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_083_031,,,,,
01160f5c-4fc2-5157-9af0-9cb29e1715dd,tg:rubgr:906_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:906_#1,https://data.rubenianum.be//ark:/86530/01160f5c-4fc2-5157-9af0-9cb29e1715dd
01160f5c-4fc2-5157-9af0-9cb29e1715dd,tg:rubgr:906_#1,e22_Archives,1,,,,,,isad:rub:2950,"dlod={""name"":""Map 2 (AFG_020)"",""ark"":""ark:/86530/x0/d6f8d586-3f97-55ce-b837-83138c7a61e3"",""uri"":""/repositories/13/archival_objects/174487"",""id"":""isad:rub:2950"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""VII: Procession to Calvary / Adoration / Adulteress""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 2 (AFG_020)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/d6f8d586-3f97-55ce-b837-83138c7a61e3,,,,,,,,,,
01160f5c-4fc2-5157-9af0-9cb29e1715dd,tg:rubgr:906_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
01160f5c-4fc2-5157-9af0-9cb29e1715dd,tg:rubgr:906_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_020_019,,,,,,
01160f5c-4fc2-5157-9af0-9cb29e1715dd,tg:rubgr:906_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_020_019,,,,,
01172542-e5c5-58a3-b3cf-3f90440b88cb,tg:rubgr:5099_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:5099_#1,https://data.rubenianum.be//ark:/86530/01172542-e5c5-58a3-b3cf-3f90440b88cb
01172542-e5c5-58a3-b3cf-3f90440b88cb,tg:rubgr:5099_#1,e22_Archives,1,,,,,,isad:rub:3064,"dlod={""name"":""49: Stridbeck Disputation Sweden (AFG_142)"",""ark"":""ark:/86530/x0/feabe620-0fd3-58f5-bc87-d64637ad4e46"",""uri"":""/repositories/13/archival_objects/174611"",""id"":""isad:rub:3064"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""49: Stridbeck Disputation Sweden (AFG_142)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/feabe620-0fd3-58f5-bc87-d64637ad4e46,,,,,,,,,,
01172542-e5c5-58a3-b3cf-3f90440b88cb,tg:rubgr:5099_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
01172542-e5c5-58a3-b3cf-3f90440b88cb,tg:rubgr:5099_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_142_016,,,,,,
01172542-e5c5-58a3-b3cf-3f90440b88cb,tg:rubgr:5099_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_142_016,,,,,
017b9ebc-242d-5495-8fea-a8d7efab8be0,tg:rubgr:782_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:782_#1,https://data.rubenianum.be//ark:/86530/017b9ebc-242d-5495-8fea-a8d7efab8be0
017b9ebc-242d-5495-8fea-a8d7efab8be0,tg:rubgr:782_#1,e22_Archives,1,,,,,,isad:rub:2947,"dlod={""name"":""Map 2 (AFG_017)"",""ark"":""ark:/86530/x0/5f34d27e-7bd6-5644-a631-8da8388d2142"",""uri"":""/repositories/13/archival_objects/174483"",""id"":""isad:rub:2947"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""VI: Naples / Babel""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 2 (AFG_017)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/5f34d27e-7bd6-5644-a631-8da8388d2142,,,,,,,,,,
017b9ebc-242d-5495-8fea-a8d7efab8be0,tg:rubgr:782_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
017b9ebc-242d-5495-8fea-a8d7efab8be0,tg:rubgr:782_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_017_075,,,,,,
017b9ebc-242d-5495-8fea-a8d7efab8be0,tg:rubgr:782_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_017_075,,,,,
019d0680-e063-5471-a3e4-63dd64fcc846,tg:rubgr:2162_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:2162_#1,https://data.rubenianum.be//ark:/86530/019d0680-e063-5471-a3e4-63dd64fcc846
019d0680-e063-5471-a3e4-63dd64fcc846,tg:rubgr:2162_#1,e22_Archives,1,,,,,,isad:rub:2990,"dlod={""name"":""Map 1 (AFG_060)"",""ark"":""ark:/86530/x0/7b469c66-9635-5b1d-a0e5-f98af4951af7"",""uri"":""/repositories/13/archival_objects/174534"",""id"":""isad:rub:2990"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""XIV: Doubtful and Wrong attributions""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_060)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/7b469c66-9635-5b1d-a0e5-f98af4951af7,,,,,,,,,,
019d0680-e063-5471-a3e4-63dd64fcc846,tg:rubgr:2162_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
019d0680-e063-5471-a3e4-63dd64fcc846,tg:rubgr:2162_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_060_004,,,,,,
019d0680-e063-5471-a3e4-63dd64fcc846,tg:rubgr:2162_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_060_004,,,,,
01df8a55-6023-5193-8fc4-5cc492c9924b,tg:rubgr:2241_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:2241_#1,https://data.rubenianum.be//ark:/86530/01df8a55-6023-5193-8fc4-5cc492c9924b
01df8a55-6023-5193-8fc4-5cc492c9924b,tg:rubgr:2241_#1,e22_Archives,1,,,,,,isad:rub:2999,"dlod={""name"":""Map 10 (AFG_069)"",""ark"":""ark:/86530/x0/e1aff9a0-4475-5c82-b3f0-0ccc80a5b242"",""uri"":""/repositories/13/archival_objects/174543"",""id"":""isad:rub:2999"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""XIV: Doubtful and Wrong attributions""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 10 (AFG_069)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/e1aff9a0-4475-5c82-b3f0-0ccc80a5b242,,,,,,,,,,
01df8a55-6023-5193-8fc4-5cc492c9924b,tg:rubgr:2241_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
01df8a55-6023-5193-8fc4-5cc492c9924b,tg:rubgr:2241_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_069_010,,,,,,
01df8a55-6023-5193-8fc4-5cc492c9924b,tg:rubgr:2241_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_069_010,,,,,
01facba8-5924-5c8c-912c-f9d92eb22c8b,tg:rubgr:5112_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:5112_#1,https://data.rubenianum.be//ark:/86530/01facba8-5924-5c8c-912c-f9d92eb22c8b
01facba8-5924-5c8c-912c-f9d92eb22c8b,tg:rubgr:5112_#1,e22_Archives,1,,,,,,isad:rub:3064,"dlod={""name"":""49: Stridbeck Disputation Sweden (AFG_142)"",""ark"":""ark:/86530/x0/feabe620-0fd3-58f5-bc87-d64637ad4e46"",""uri"":""/repositories/13/archival_objects/174611"",""id"":""isad:rub:3064"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""49: Stridbeck Disputation Sweden (AFG_142)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/feabe620-0fd3-58f5-bc87-d64637ad4e46,,,,,,,,,,
01facba8-5924-5c8c-912c-f9d92eb22c8b,tg:rubgr:5112_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
01facba8-5924-5c8c-912c-f9d92eb22c8b,tg:rubgr:5112_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_142_029,,,,,,
01facba8-5924-5c8c-912c-f9d92eb22c8b,tg:rubgr:5112_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_142_029,,,,,
02194706-73d1-5605-aa51-5145cbcf7e82,tg:rubgr:992_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:992_#1,https://data.rubenianum.be//ark:/86530/02194706-73d1-5605-aa51-5145cbcf7e82
02194706-73d1-5605-aa51-5145cbcf7e82,tg:rubgr:992_#1,e22_Archives,1,,,,,,isad:rub:2952,"dlod={""name"":""Map 1 (AFG_022)"",""ark"":""ark:/86530/x0/5af1b7bf-aa40-5aa6-84e9-00c0efbacdb0"",""uri"":""/repositories/13/archival_objects/174490"",""id"":""isad:rub:2952"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""VIII: Months""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_022)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/5af1b7bf-aa40-5aa6-84e9-00c0efbacdb0,,,,,,,,,,
02194706-73d1-5605-aa51-5145cbcf7e82,tg:rubgr:992_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
02194706-73d1-5605-aa51-5145cbcf7e82,tg:rubgr:992_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_022_025,,,,,,
02194706-73d1-5605-aa51-5145cbcf7e82,tg:rubgr:992_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_022_025,,,,,
02380e83-fb9e-5a2e-a8de-2ebdf1253539,tg:rubgr:5222_#1,AA,0,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:5222_#1,https://data.rubenianum.be//ark:/86530/02380e83-fb9e-5a2e-a8de-2ebdf1253539
02380e83-fb9e-5a2e-a8de-2ebdf1253539,tg:rubgr:5222_#1,e22_Archives,1,,,,,,isad:rub:3066,"dlod={""name"":""51: Ortelius - Religion \u0026 Biography (AFG_144)"",""ark"":""ark:/86530/x0/f642d6e4-18bf-51eb-b741-50fd432facc5"",""uri"":""/repositories/13/archival_objects/174613"",""id"":""isad:rub:3066"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""51: Ortelius - Religion \u0026 Biography (AFG_144)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}",ark:/86530/x0/f642d6e4-18bf-51eb-b741-50fd432facc5,,,,,,,,,,
02380e83-fb9e-5a2e-a8de-2ebdf1253539,tg:rubgr:5222_#1,e22_ObjectTypes,1,kenmerken.rubedformgr,dtrvbr,,,,,,,,,letters (correspondence),,,,,,,
02380e83-fb9e-5a2e-a8de-2ebdf1253539,tg:rubgr:5222_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,AFG_144_006,,,,,,
02380e83-fb9e-5a2e-a8de-2ebdf1253539,tg:rubgr:5222_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,AFG_144_006,,,,,
