ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier
42fd9d26-dffe-57ed-bf38-ca5dc95872d5,tg:mpmbr:1246,e73_CreationActors,1,840d9d50-f033-559a-8978-85da85c7674d,au::114014,correspondents (correspondence writers),,,
46c0a64d-80a6-5459-abd8-80393c02b3db,tg:mpmbr:1247,e73_CreationActors,1,840d9d50-f033-559a-8978-85da85c7674d,au::114014,correspondents (correspondence writers),,,
690e6e73-489e-51b3-8efa-ea98e3d63300,tg:mpmbr:1245,e73_CreationActors,1,840d9d50-f033-559a-8978-85da85c7674d,au::114014,correspondents (correspondence writers),,,
2b149a64-2626-5d5c-b0ad-11d8ddf74a4c,tg:mpmbr:1244,e73_CreationActors,1,840d9d50-f033-559a-8978-85da85c7674d,au::114014,correspondents (correspondence writers),,,
4d562dd9-2498-5f95-9c01-ce16583c3d93,tg:mpmbr:1254,e73_CreationActors,1,6eb7c036-bf58-566d-b132-be528fd581e5,au::114043,correspondents (correspondence writers),,,
87d2dc5b-b5f4-5f11-9f50-d3375ae56515,tg:mpmbr:1248,e73_CreationActors,1,840d9d50-f033-559a-8978-85da85c7674d,au::114014,correspondents (correspondence writers),,,
d4d43824-31ae-5d1c-b0ea-8f83191f12ae,tg:mpmbr:1251,e73_CreationActors,1,f2b7efeb-1e92-5e47-9b29-b2a5cb0d56d7,au::114018,correspondents (correspondence writers),,,
cd91eee8-e90e-5578-b487-3e2a58c8ce48,tg:mpmbr:1241,e73_CreationActors,1,840d9d50-f033-559a-8978-85da85c7674d,au::114014,correspondents (correspondence writers),,,
5aa9ba31-a191-574e-b009-8c1118bcd932,tg:mpmbr:1240,e73_CreationActors,1,840d9d50-f033-559a-8978-85da85c7674d,au::114014,correspondents (correspondence writers),,,
b625a76b-fc93-5bf0-8503-54204c494fe3,tg:mpmbr:1250,e73_CreationActors,1,f40ae221-f606-5db6-93e9-0cbbbebed7bb,au::114022,correspondents (correspondence writers),,,
b625a76b-fc93-5bf0-8503-54204c494fe3,tg:mpmbr:1250,e73_CreationActors,2,213f14b1-dec2-57aa-84b9-dcaad48d0977,au::114023,correspondents (correspondence writers),,,
