ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type
8d0d2a4e-33c3-545d-86f4-17bc5008a4b0,tg:lhbr:239732,e73_AnnotationsImmaterial,1,adm.note,+ doorslag definitieve brief,+ doorslag definitieve brief,Nederlands,remarks
ac41b8f5-a3c9-5ab2-b132-885c3bff0ee0,tg:lhbr:102801,e73_AnnotationsImmaterial,1,adm.note,Oningeschreven gevonden in 1946,Oningeschreven gevonden in 1946,Nederlands,remarks
04263402-9e41-562e-a2c2-46d5c12a4864,tg:lhbr:102811,e73_AnnotationsImmaterial,1,adm.note,Gedat.: 30.8,Gedat.: 30.8,Nederlands,remarks
624d5fbe-0fa8-58c9-906b-87214500ee67,tg:lhbr:47791,e73_AnnotationsImmaterial,1,adm.note,Gedat.: 9.11,Gedat.: 9.11,Nederlands,remarks
bbed3a3f-7c12-52b8-b36e-44ad995edb6c,tg:lhbr:248659,e73_AnnotationsImmaterial,1,adm.note,Betreffende een reis door Frankrijk,Betreffende een reis door Frankrijk,Nederlands,remarks
43e6e779-d42d-51d8-bfea-ac1a16d16005,tg:lhbr:158894,e73_AnnotationsImmaterial,1,adm.note,Gedat.: 22/11,Gedat.: 22/11,Nederlands,remarks
5538f6c7-d848-52a8-aef2-e3644a6790f6,tg:lhbr:106375,e73_AnnotationsImmaterial,1,adm.note,In plakboek 3,In plakboek 3,Nederlands,remarks
9789856b-e5bc-56b0-aa36-6e031de3642f,tg:lhbr:293263,e73_AnnotationsImmaterial,1,adm.note,"Gelukwensentelegram van Pieter Verlinden, Emy Jansens en Nond Denolf","Gelukwensentelegram van Pieter Verlinden, Emy Jansens en Nond Denolf",Nederlands,remarks
36d05984-b2f0-5e89-96b2-01582b1c3704,tg:lhbr:262590,e73_AnnotationsImmaterial,1,adm.note,Uitnodiging.,Uitnodiging.,Nederlands,remarks
b78f0fb9-69e6-5e9c-a7b1-7efd43c992d9,tg:lhbr:14840,e73_AnnotationsImmaterial,1,adm.note,In plakboek 2,In plakboek 2,Nederlands,remarks
910137fd-da61-5e82-9f7c-b4fd6fbf8a8b,tg:lhbr:293379,e73_AnnotationsImmaterial,1,adm.note,"R 704 / 36(30), 26 - 28","R 704 / 36(30), 26 - 28",Nederlands,remarks
5942f1dd-1ae4-57d1-8f29-fb0d17458d60,tg:lhbr:293369,e73_AnnotationsImmaterial,1,adm.note,In bijlage een niet verstuurde brief van Hubert Lampo aan Maurice Nonneman.,In bijlage een niet verstuurde brief van Hubert Lampo aan Maurice Nonneman.,Nederlands,remarks
ed8fd440-6f9d-5003-97c8-5c3ea2703a82,tg:lhbr:85385,e73_AnnotationsImmaterial,1,adm.note,Gedat.: 24.5,Gedat.: 24.5,Nederlands,remarks
0a835840-4141-580f-a59b-451c731c2cb9,tg:lhbr:293444,e73_AnnotationsImmaterial,1,adm.note,"R 704 / 38(20), 1 - 20, Katern 1","R 704 / 38(20), 1 - 20, Katern 1",Nederlands,remarks
9b0268fa-17b7-5a92-b9fd-652197ae9cf2,tg:lhbr:254190,e73_AnnotationsImmaterial,1,adm.note,Briefkaart aan Wijnants,Briefkaart aan Wijnants,Nederlands,remarks
