brocade.id,Legacy Information Code,Legacy Information Value,dataset,card,Legacy Information Type,ResourceID
tg:lhbr:16251,d:lh:227123,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B7307_Boon_Louis_Paul/tg_lhbr_16251.tif,lhbr,e73_LegacyImages,image high resolution,76148f4f-9081-50de-b927-6b9790fab9cd
tg:lhbr:173244,d:lh:223476,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/D_/D125_Daisne_Johan/tg_lhbr_173244.tif,lhbr,e73_LegacyImages,image high resolution,a408e370-8571-50d4-b490-99e58cfdacd6
tg:lhbr:173918,d:lh:231099,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/L_/L9_Lucebert/tg_lhbr_173918,lhbr,e73_LegacyImages,image high resolution,5ad06e3e-dfba-54d8-bf27-6e3a93d0df9d
tg:lhbr:174743,d:lh:246675,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B4675_Berghe_Frits_van_den/tg_lhbr_174743,lhbr,e73_LegacyImages,image high resolution,85cd799e-5688-586e-a450-a418179ac7c8
tg:lhbr:178136,d:lh:238701,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178136.tif,lhbr,e73_LegacyImages,image high resolution,f27d1048-d20f-52d8-8d79-b96b0a8a62f5
tg:lhbr:178144,d:lh:238715,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/S_/S935_Streuvels_Stijn/B2/De_Gemeenschap/tg_lhbr_178144.tif,lhbr,e73_LegacyImages,image high resolution,189dcf19-a9a0-521e-ac37-9da6d4e8101f
tg:lhbr:18411,d:lh:223756,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B79985_Braak_Menno_ter/tg_lhbr_18411.tif,lhbr,e73_LegacyImages,image high resolution,0623a09d-2461-5a19-a1c0-ad8f6f4606dc
tg:lhbr:192501,d:lh:245531,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/G_/G395_Gilliams_Maurice/tg_lhbr_192501,lhbr,e73_LegacyImages,image high resolution,f5fcc515-5460-5e65-836a-4cc232eafe29
tg:lhbr:198847,d:lh:275878,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B417_Belpaire_M_E/tg_lhbr_198847,lhbr,e73_LegacyImages,image high resolution,09d0519c-6381-5920-9bf0-2a55ce7711c2
tg:lhbr:198857,d:lh:275916,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B417_Belpaire_M_E/tg_lhbr_198857,lhbr,e73_LegacyImages,image high resolution,4e8fc2c2-4332-5931-8467-3f7ed758cb8f
tg:lhbr:198986,d:lh:281393,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/B_/B417_Belpaire_M_E/tg_lhbr_198986,lhbr,e73_LegacyImages,image high resolution,b18fbc01-4e07-5aa7-a1bb-bb0e31ff4f11
tg:lhbr:234064,d:lh:244995,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/O_/OO81_Ostaijen_Constant_van/tg_lhbr_234064,lhbr,e73_LegacyImages,image high resolution,d640e683-cb83-541c-9d71-e02b695be6b3
tg:lhbr:239201,d:lh:234889,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/L_/L499_Ley_Gerd_de/tg_lhbr_239201,lhbr,e73_LegacyImages,image high resolution,01935a18-de5a-53a2-9023-9bf42db0af59
tg:lhbr:239211,d:lh:234897,file://antwerpen.local/Depot/CSArchief/7_LH/7_01_collectie/7_01_01_gedigitaliseerd/7_01_01_03_brieven/L_/L499_Ley_Gerd_de/tg_lhbr_239211.tif,lhbr,e73_LegacyImages,image high resolution,8e0b6858-cd40-5c5f-bdeb-1fef6a3a5a9b
