ResourceID,brocade.id,card,order,source_field,source_code,Product stadium
6befd88d-e8d3-5190-bab6-adcd5a1d6a90,tg:lhbr:219116,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
968c753d-7d5e-5909-b3ef-a5290d8cf0e1,tg:lhbr:239774,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
77db2b72-223b-579c-b5b6-d88c85d96e1b,tg:lhbr:231651,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
a9633726-d8f6-5e9b-add3-e5b3d123ac18,tg:lhbr:249860,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
3c85f39a-99b2-5d3e-9347-55674a1bf9df,tg:lhbr:184670,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
80ab5a6a-3631-59c7-a04f-1486db2322be,tg:lhbr:227013,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
b4e19615-de42-5fe3-904a-8e78dc8323a1,tg:lhbr:266909,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
75aac337-3267-5969-8568-d8566855555b,tg:lhbr:240138,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
3c8ef088-c16d-5039-9dbf-0837f4a4b29e,tg:lhbr:249821,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
53153f7f-ac6d-52de-be5e-135c60c92b73,tg:lhbr:267359,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
5a6f7a65-a8f3-5683-9201-493597fb14dd,tg:lhbr:226643,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
fe1cb719-4266-5641-8d22-e93664fe9fd1,tg:lhbr:238276,ProductStadiums,1,kenmerken.lhtypebr,brkl,drafts (documents)
