ResourceID,brocade.id,card,order,source_field,Description,Description Language,Description Type
7fe9f34b-931c-519f-a3ea-9002c5fffb78,tg:lhbr:279097,Descriptions,1,id.desc,Harry Kahan aan E. de Bom,Nederlands,
91b16930-de8e-55a0-bcfa-b1a417332eff,tg:lhbr:249421,Descriptions,1,id.desc,Brieven van Gabriel Belot,Nederlands,
90751e79-fac7-5169-8bad-90fea2fb6fd7,tg:lhbr:293334,Descriptions,1,id.desc,'Brian' aan Chris Emlyn-Jones (?),Nederlands,
672c8cdd-943b-5f6d-99a3-fb8dfc740397,tg:lhbr:267573,Descriptions,1,id.desc,Brieven van Suzanne Degouve de Nuncques,Nederlands,
314b9948-58bb-5492-992d-47e3bc33595d,tg:lhbr:259972,Descriptions,1,id.desc,"Deze brief van NACHER ,Edouard,P. mevr.P.",Nederlands,
8f94caa4-5012-52df-bdfb-93dab13ba155,tg:lhbr:244643,Descriptions,1,id.desc,"Brief van Cleeren, J.G.",Nederlands,
6e3f44f0-1171-5518-83d4-7c8434c6f2c3,tg:lhbr:291759,Descriptions,1,id.desc,Vier brieven i.v.m. heropbouw Rubenshuis. Mogelijk te maken met wereldtentoonstelling Brussel,Nederlands,
0c504cd4-f61d-593c-bb62-97b0001ca7b6,tg:lhbr:263160,Descriptions,1,id.desc,Antoinette de Bom aan Emmanuel de Bom,Nederlands,
4597ac83-fdce-5753-9406-a46ffd9e172f,tg:lhbr:58260,Descriptions,1,id.desc,"Brief aan Juffrouw Verhoeven, de secretaresse van René Goris",Nederlands,
15f81591-770a-52ea-8f10-e51b4a91f725,tg:lhbr:240600,Descriptions,1,id.desc,brief van Adolf Spemann,Nederlands,
f9b4e32c-3a4d-5318-a6b1-53188d695404,tg:lhbr:277573,Descriptions,1,id.desc,Brieven van Paul Fierens aan E. de Bom,Nederlands,
f8f11d86-cf4c-5a5a-854e-ab4b71b190a7,tg:lhbr:251011,Descriptions,1,id.desc,Brieven van August van Cauwelaert (Dietsche Warande en Belfort),Nederlands,
e6a31841-2e4e-5267-a0b5-660ae33eecaa,tg:lhbr:249972,Descriptions,1,id.desc,Brieven van Fédération Nationale des Cercles Dramatiques de Langue Française,Nederlands,
