ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Connected Subject Role,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier
dbf3c4b4-342a-52fc-962e-b5e15e3859f3,tg:lhbr:221686,e73_ConnectedSubjects,3,9352ef89-b8df-56d1-8ace-ff7aa10c41bc,au::56023,subjects (content of works),,"dlod={""name"":""Place"",""ark"":""ark:/83110/x0/9352ef89-b8df-56d1-8ace-ff7aa10c41bc"",""uri"":""/agents/corporate_entities/22785"",""id"":""au::56023"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9352ef89-b8df-56d1-8ace-ff7aa10c41bc
99861e8e-5114-507d-8e6a-7ee1edaa1d5e,tg:lhbr:181879,e73_ConnectedSubjects,3,1741ccaf-74b8-57b5-b151-ad49ccee619c,au::15847,subjects (content of works),,"dlod={""name"":""Maurice Roelants"",""ark"":""ark:/83110/x0/1741ccaf-74b8-57b5-b151-ad49ccee619c"",""uri"":""/agents/people/65586"",""id"":""au::15847"",""nameWithContext"":[""Maurice Minne"",""M.A. Minne"",""Jan van Opstal"",""Pervyse"",""De Zwerver""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1741ccaf-74b8-57b5-b151-ad49ccee619c
99861e8e-5114-507d-8e6a-7ee1edaa1d5e,tg:lhbr:181879,e73_ConnectedSubjects,4,e61ca404-75cd-5a72-8fba-f0196619183c,au::21615,subjects (content of works),,"dlod={""name"":""Walter Keersmans"",""ark"":""ark:/83110/x0/e61ca404-75cd-5a72-8fba-f0196619183c"",""uri"":""/agents/people/75754"",""id"":""au::21615"",""nameWithContext"":[""Karel van de Woestijne"",""Peter van Becelaere"",""Erik Monck"",""Beaat Utenhove""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e61ca404-75cd-5a72-8fba-f0196619183c
b373f317-0d6c-530e-98a9-dc0ef754c40e,tg:lhbr:264758,e73_ConnectedSubjects,3,247e719e-494a-57ff-9807-6ae2f352503b,au::17799,subjects (content of works),,"dlod={""name"":""Stijn Streuvels"",""ark"":""ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b"",""uri"":""/agents/people/50222"",""id"":""au::17799"",""nameWithContext"":[""Frank Lateur""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/247e719e-494a-57ff-9807-6ae2f352503b
2ab50877-59eb-5f26-b158-5a4426229d99,tg:lhbr:30101,e73_ConnectedSubjects,3,103107ba-d88d-588e-bfd1-799cbed31146,au::22086,subjects (content of works),,"dlod={""name"":""Gevaert"",""ark"":""ark:/83110/x0/103107ba-d88d-588e-bfd1-799cbed31146"",""uri"":""/agents/corporate_entities/28170"",""id"":""au::22086"",""nameWithContext"":[""Agfa-Gevaert""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/103107ba-d88d-588e-bfd1-799cbed31146
69c30715-4443-5af1-971d-328dc8f68363,tg:lhbr:181901,e73_ConnectedSubjects,3,be251812-66e7-5b10-af72-125afac2b47f,au::6523,subjects (content of works),,"dlod={""name"":""Pieter Nicolaas van Eyck"",""ark"":""ark:/83110/x0/be251812-66e7-5b10-af72-125afac2b47f"",""uri"":""/agents/people/62872"",""id"":""au::6523"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/be251812-66e7-5b10-af72-125afac2b47f
6d4cf368-814a-5ff5-9d79-481f800bcdba,tg:lhbr:28854,e73_ConnectedSubjects,3,a2f33f6f-0f44-52cc-b7cb-d86264593ed8,au::26877,subjects (content of works),,"dlod={""name"":""Alfons van Tichel"",""ark"":""ark:/83110/x0/a2f33f6f-0f44-52cc-b7cb-d86264593ed8"",""uri"":""/agents/people/63422"",""id"":""au::26877"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/a2f33f6f-0f44-52cc-b7cb-d86264593ed8
9d948fad-1fa2-5a96-9558-737a25615c7d,tg:lhbr:228141,e73_ConnectedSubjects,3,454c4781-a189-5d51-bc61-d72f70bd111e,au::56391,subjects (content of works),,"dlod={""name"":""Editions Hypérion"",""ark"":""ark:/83110/x0/454c4781-a189-5d51-bc61-d72f70bd111e"",""uri"":""/agents/corporate_entities/17427"",""id"":""au::56391"",""nameWithContext"":[""The Hyperion Press Inc.""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/454c4781-a189-5d51-bc61-d72f70bd111e
24a8bca9-3de3-5cac-984d-3a2de77db799,tg:lhbr:202877,e73_ConnectedSubjects,3,f52ac03a-e53f-5aab-8cc5-8bba5928990b,au::53161:::MWV.1,subjects (content of works),,"dlod={""suggest"":[""Albert Coen""],""name"":""Albert Coen"",""ark"":""ark:/83110/x0/9cffdc04-e96b-533d-bd47-bd00fc460509"",""uri"":""/agents/people/59450"",""id"":""au::53161"",""capacity"":""Medewerker van Manteau"",""isCapacity"":true,""relatorRaw"":""MWV"",""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9cffdc04-e96b-533d-bd47-bd00fc460509
5f8291b6-14a9-512b-8df5-d5c9725ac6e9,tg:lhbr:181098,e73_ConnectedSubjects,3,e5e25ebc-1e12-554c-8773-abf85145863d,au::11359,subjects (content of works),,"dlod={""name"":""Leo J. Krijn-Prijs"",""ark"":""ark:/83110/x0/e5e25ebc-1e12-554c-8773-abf85145863d"",""uri"":""/agents/corporate_entities/19826"",""id"":""au::11359"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e5e25ebc-1e12-554c-8773-abf85145863d
5f8291b6-14a9-512b-8df5-d5c9725ac6e9,tg:lhbr:181098,e73_ConnectedSubjects,4,db2cf954-400c-5280-9c11-f2dc56ec0bf2,au::15982,subjects (content of works),,"dlod={""name"":""Pjeroo Roobjee"",""ark"":""ark:/83110/x0/db2cf954-400c-5280-9c11-f2dc56ec0bf2"",""uri"":""/agents/people/72049"",""id"":""au::15982"",""nameWithContext"":[""Dirk de Vilder""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/db2cf954-400c-5280-9c11-f2dc56ec0bf2
1f783a68-3017-5d12-b5c4-6e3c89296ef1,tg:lhbr:221696,e73_ConnectedSubjects,3,d542edbc-4dc3-50aa-a71a-17a396002588,au::56027,subjects (content of works),,"dlod={""name"":""Wassily Kandinsky"",""ark"":""ark:/83110/x0/d542edbc-4dc3-50aa-a71a-17a396002588"",""uri"":""/agents/people/86440"",""id"":""au::56027"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d542edbc-4dc3-50aa-a71a-17a396002588
94d83128-ec18-5c83-80e4-6a4f076c9e13,tg:lhbr:181869,e73_ConnectedSubjects,3,b3f3c007-b3d9-5824-a692-c720c3cda622,au::10631,subjects (content of works),,"dlod={""name"":""Jan van Krimpen"",""ark"":""ark:/83110/x0/b3f3c007-b3d9-5824-a692-c720c3cda622"",""uri"":""/agents/people/71021"",""id"":""au::10631"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b3f3c007-b3d9-5824-a692-c720c3cda622
94d83128-ec18-5c83-80e4-6a4f076c9e13,tg:lhbr:181869,e73_ConnectedSubjects,4,e61ca404-75cd-5a72-8fba-f0196619183c,au::21615,subjects (content of works),,"dlod={""name"":""Walter Keersmans"",""ark"":""ark:/83110/x0/e61ca404-75cd-5a72-8fba-f0196619183c"",""uri"":""/agents/people/75754"",""id"":""au::21615"",""nameWithContext"":[""Karel van de Woestijne"",""Peter van Becelaere"",""Erik Monck"",""Beaat Utenhove""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e61ca404-75cd-5a72-8fba-f0196619183c
04864305-77de-5e23-b5e1-c4b334868fb1,tg:lhbr:180582,e73_ConnectedSubjects,3,dd96c9d7-1bea-52cf-9eb4-f2fafb0cd708,au::18122,subjects (content of works),,"dlod={""name"":""Herman Teirlinck"",""ark"":""ark:/83110/x0/dd96c9d7-1bea-52cf-9eb4-f2fafb0cd708"",""uri"":""/agents/people/53882"",""id"":""au::18122"",""nameWithContext"":[""Hermelijn"",""Janette en Jan Overheide Nyhuis"",""Jan en Janette Nyhuis Overheide""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/dd96c9d7-1bea-52cf-9eb4-f2fafb0cd708
72e50a2b-d54d-5983-b8b6-e33747e3a6b7,tg:lhbr:179935,e73_ConnectedSubjects,3,fde75e90-201f-55bd-aff7-c79cbf6b6253,au::10258,subjects (content of works),,"dlod={""name"":""Paul de Keyser"",""ark"":""ark:/83110/x0/fde75e90-201f-55bd-aff7-c79cbf6b6253"",""uri"":""/agents/people/58969"",""id"":""au::10258"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/fde75e90-201f-55bd-aff7-c79cbf6b6253
