ResourceID,brocade.id,card,order,volgnummer,note
f6627d97-6231-54f3-ba58-94106286e93a,tg:lhbr:241404_#1,e22_OtherIdentifiers,1,C 2756 / 439,
228facf1-f641-51c3-8159-687b88366b3c,tg:lhbr:239732_#1,e22_OtherIdentifiers,1,,+ doorslag definitieve brief
7465376c-df27-5106-a148-60a3e350c5e2,tg:lhbr:257349_#1,e22_OtherIdentifiers,1,J 416 / 64,
ae859f0b-b6a5-58a2-8e83-4ffad5fcdaf6,tg:lhbr:102801_#1,e22_OtherIdentifiers,1,,Oningeschreven gevonden in 1946
56fa3207-b6da-5046-9909-66dc6dd52242,tg:lhbr:267432_#1,e22_OtherIdentifiers,1,R 462 / 874,
94cd28d6-847c-5ebc-8f6e-59d8a8bf68b6,tg:lhbr:275053_#1,e22_OtherIdentifiers,1,D 325 / 327,
55363626-dc72-5eaa-bdda-cc0a960ca5b6,tg:lhbr:244222_#1,e22_OtherIdentifiers,1,D 9653 / 15 (136),
d80e435a-cb2b-5c60-b257-317675b84cb7,tg:lhbr:298450_#1,e22_OtherIdentifiers,1,C 33941 / 180,
562b4259-cb45-5abf-8fa6-eabe167369e5,tg:lhbr:274559_#1,e22_OtherIdentifiers,1,W 213 / 302,
fea064d8-75fc-5133-94fd-242ce19b3677,tg:lhbr:266138_#1,e22_OtherIdentifiers,1,R 462 / 848,
fa8c2e4b-c8f0-593e-ac23-e85445acd0a2,tg:lhbr:270675_#1,e22_OtherIdentifiers,1,R 8963 / 405,
6667bd28-378f-594f-94a5-b5ab05427ce3,tg:lhbr:262214_#1,e22_OtherIdentifiers,1,D 9653 / 56 (81),
84715190-f057-56eb-bfcc-ee4d651a4b7b,tg:lhbr:272015_#1,e22_OtherIdentifiers,1,W 213 / 159,
a230908a-7b98-53bd-bb80-54c46c1a9b9e,tg:lhbr:260474_#1,e22_OtherIdentifiers,1,J 416 / 76,
84a8ee8a-2e39-553c-b103-d839a34f9e65,tg:lhbr:281977_#1,e22_OtherIdentifiers,1,L 1833 / 133,
7c7c1399-f3c2-5f02-beb3-ac52c4e9b5f3,tg:lhbr:282384_#1,e22_OtherIdentifiers,1,D 325 / 939,
c8bb20e1-69c1-5d99-b0cd-5c343adddef0,tg:lhbr:276339_#1,e22_OtherIdentifiers,1,D 325 / 420,
68c287d7-f294-56ff-9725-bbbba9c195f6,tg:lhbr:264758_#1,e22_OtherIdentifiers,1,B 708 / 1378,
98bd5e28-f12c-57a5-8438-c5445ac3f428,tg:lhbr:288651_#1,e22_OtherIdentifiers,1,R 1476 / 173,
30f772c9-77ab-5e11-bec1-2736f1dccbb2,tg:lhbr:255529_#1,e22_OtherIdentifiers,1,J 416 / 55,
1f0202e7-2295-554f-98d3-43ccd9282717,tg:lhbr:247148_#1,e22_OtherIdentifiers,1,C 3622 / 21,
3d11fa8d-aa0c-545f-b9a5-251d5fa87499,tg:lhbr:277633_#1,e22_OtherIdentifiers,1,D 325 / 475,
