ResourceID,brocade.id,card,order,number,type,Legacy Information Value,Legacy Information Type,Legacy Information Published
a910bf47-9338-565a-a0fa-739407be5464,tg:lhbr:282525,LegacyInformationMerged,1,0,brin,0 brin,groepsbeschrijving,False
2f10f2a8-0190-5141-b496-53068bdd29aa,tg:lhbr:115619,LegacyInformationMerged,1,22,brgr,22 brgr,groepsbeschrijving,False
470014e1-3698-52f8-8131-3757ff5b3fe9,tg:lhbr:132993,LegacyInformationMerged,1,5,brgr,5 brgr,groepsbeschrijving,False
115ab245-ecc9-5020-bb56-57f689083d97,tg:lhbr:163836,LegacyInformationMerged,1,14,brgr,14 brgr,groepsbeschrijving,False
7fad8400-a87c-5930-9c3a-ad5e323646ec,tg:lhbr:152668,LegacyInformationMerged,1,14,brgr,14 brgr,groepsbeschrijving,False
b96857bc-83a6-5b05-80ec-c012cc88ce96,tg:lhbr:131346,LegacyInformationMerged,1,21,brgr,21 brgr,groepsbeschrijving,False
672c8cdd-943b-5f6d-99a3-fb8dfc740397,tg:lhbr:267573,LegacyInformationMerged,1,5,brgr,5 brgr,groepsbeschrijving,False
aaf099a7-d84f-5823-a4cb-e59241e7fc36,tg:lhbr:144246,LegacyInformationMerged,1,21,brgr,21 brgr,groepsbeschrijving,False
32925442-1917-5eb1-abdc-366b583df1b7,tg:lhbr:63130,LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
730d437c-a958-5c0f-a1f1-dfb7c0aaf7f2,tg:lhbr:280148,LegacyInformationMerged,1,5,brgr,5 brgr,groepsbeschrijving,False
aada6cfb-e901-5e5e-afef-d6c2f54b735b,tg:lhbr:128537,LegacyInformationMerged,1,20,brgr,20 brgr,groepsbeschrijving,False
6e3f44f0-1171-5518-83d4-7c8434c6f2c3,tg:lhbr:291759,LegacyInformationMerged,1,4,brgr,4 brgr,groepsbeschrijving,False
f6780216-4524-5aee-a355-621f393f392a,tg:lhbr:228098,LegacyInformationMerged,1,5,brgr,5 brgr,groepsbeschrijving,False
17674c57-9ecf-5dc9-9d15-e1b24f5814a8,tg:lhbr:144616,LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
0c504cd4-f61d-593c-bb62-97b0001ca7b6,tg:lhbr:263160,LegacyInformationMerged,1,3,brgr,3 brgr,groepsbeschrijving,False
f9b4e32c-3a4d-5318-a6b1-53188d695404,tg:lhbr:277573,LegacyInformationMerged,1,6,brgr,6 brgr,groepsbeschrijving,False
6c13cd06-2f81-5294-9544-8eaabb8d27e0,tg:lhbr:157893,LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
27fe323e-9d88-5e70-ade9-2e98d76642b8,tg:lhbr:63833,LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
57fbb712-6b30-5303-8989-e6d0f946f375,tg:lhbr:159474,LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
cd863f14-ca8e-540d-b2bd-61fdc603bafa,tg:lhbr:80548,LegacyInformationMerged,1,11,brgr,11 brgr,groepsbeschrijving,False
f8f11d86-cf4c-5a5a-854e-ab4b71b190a7,tg:lhbr:251011,LegacyInformationMerged,1,16,brgr,16 brgr,groepsbeschrijving,False
12116036-61f4-520c-9bed-313871d83770,tg:lhbr:62721,LegacyInformationMerged,1,7,brgr,7 brgr,groepsbeschrijving,False
afd2c2be-5b8a-537e-ba51-64c23a0e8899,tg:lhbr:63999,LegacyInformationMerged,1,5,brgr,5 brgr,groepsbeschrijving,False
bc40ec89-9289-587f-8e8d-c80d6039a4d3,tg:lhbr:68286,LegacyInformationMerged,1,60,brgr,60 brgr,groepsbeschrijving,False
baae3d1c-fa50-5b5f-b861-07672994b986,tg:lhbr:130107,LegacyInformationMerged,1,11,brgr,11 brgr,groepsbeschrijving,False
20b77041-78d3-5f1c-b607-eb7237864813,tg:lhbr:242797,LegacyInformationMerged,1,4,brgr,4 brgr,groepsbeschrijving,False
860613e6-ec51-5d32-8359-1c45efb912da,tg:lhbr:62371,LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
cae358b3-9a75-5852-90d7-b5e16befe49e,tg:lhbr:242282,LegacyInformationMerged,1,23,brgr,23 brgr,groepsbeschrijving,False
507e3377-940d-57e2-a0d3-ec344481d688,tg:lhbr:213327,LegacyInformationMerged,1,9,brgr,9 brgr,groepsbeschrijving,False
c58e591f-86a7-54d7-ad13-8c94a635d7d7,tg:lhbr:63976,LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
e21eb0d5-c296-51e7-a688-0dad95005538,tg:lhbr:113372,LegacyInformationMerged,1,11,brgr,11 brgr,groepsbeschrijving,False
9362c05b-45a4-502d-98f2-9c7ddafcf019,tg:lhbr:62664,LegacyInformationMerged,1,1,brgr,1 brgr,groepsbeschrijving,False
c3b725cf-1137-5a00-b62f-f6d4f08aba58,tg:lhbr:229666,LegacyInformationMerged,1,18,brgr,18 brgr,groepsbeschrijving,False
8e5cc05f-a28f-504f-9729-c864eb7ad0d1,tg:lhbr:247080,LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
f422c6ef-962b-5588-bde0-1c899ced2bb6,tg:lhbr:242778,LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
38ce8c18-9298-59e0-881d-d56de48e2faa,tg:lhbr:240745,LegacyInformationMerged,1,2,brin,2 brin,groepsbeschrijving,False
8f6b6d01-9eec-5d97-b80d-a07d3506702a,tg:lhbr:53990,LegacyInformationMerged,1,15,brgr,15 brgr,groepsbeschrijving,False
54a8ed07-ca1b-511d-9a21-6c293283a33f,tg:lhbr:62234,LegacyInformationMerged,1,2,brgr,2 brgr,groepsbeschrijving,False
ed46ea26-883b-58b9-9991-3c5b76da24bf,tg:lhbr:267965,LegacyInformationMerged,1,5,brgr,5 brgr,groepsbeschrijving,False
