card,order,adm.acquiredVia,adm.id_mat,adm.inv,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,ResourceID,brocade.id,Volgnummer,Source Note,Warehouse Location (begin)
e22_Items,1,tr:lh:4766,tg:lhbr:14757_#1,93263/1a-b,isad:lh:8222,B 708 / B,6cd21eab-a733-5267-a493-ee75db4db261,6cd21eab-a733-5267-a493-ee75db4db261,tg:lhbr:14757_#1,,,
e22_Items,1,,tg:lhbr:92109_#1,,isad:lh:39342,L 642 / B,4dacc4f3-4b79-57b1-acc4-878beb407e0f,4dacc4f3-4b79-57b1-acc4-878beb407e0f,tg:lhbr:92109_#1,,,
e22_Items,1,tr:lh:6444,tg:lhbr:80568_#1,158108,isad:lh:35252,J 422 / B,e78e8bd9-5f1d-5f20-b39b-8ad84d07bd98,e78e8bd9-5f1d-5f20-b39b-8ad84d07bd98,tg:lhbr:80568_#1,,,
e22_Items,1,tr:lh:5678,tg:lhbr:192912_#1,114686/79,isad:lh:70831,T 48399 / B (1964),47be3623-8b29-5f3e-a4bb-1aa189f06ff5,47be3623-8b29-5f3e-a4bb-1aa189f06ff5,tg:lhbr:192912_#1,,,
e22_Items,1,tr:lh:139792,tg:lhbr:253065_#1,,isad:lh:72990,R 71164 / B2 (Golfslag),edb601f7-213e-5861-8332-69ace48cf0a5,edb601f7-213e-5861-8332-69ace48cf0a5,tg:lhbr:253065_#1,,,
e22_Items,1,tr:lh:110434,tg:lhbr:241404_#1,,isad:lh:125912,,f6627d97-6231-54f3-ba58-94106286e93a,f6627d97-6231-54f3-ba58-94106286e93a,tg:lhbr:241404_#1,C 2756 / 439,,
e22_Items,1,tr:lh:7475,tg:lhbr:183780_#1,197214/432,isad:lh:39333,S 314 / B2,662adb5a-15d8-57dd-9fbc-9aeca0ec70ae,662adb5a-15d8-57dd-9fbc-9aeca0ec70ae,tg:lhbr:183780_#1,,,
e22_Items,1,tr:lh:9922,tg:lhbr:147046_#1,147344/33,isad:lh:121522,E 147 / B2,f9c34eae-edb1-5ba8-99d2-3384ab795fa8,f9c34eae-edb1-5ba8-99d2-3384ab795fa8,tg:lhbr:147046_#1,,,
e22_Items,1,tr:lh:1747,tg:lhbr:155427_#1,31137/2,isad:lh:64038,V 851 / B,43a4acf2-9354-5a83-ab8b-265ca2694378,43a4acf2-9354-5a83-ab8b-265ca2694378,tg:lhbr:155427_#1,,,
e22_Items,1,tr:lh:7063,tg:lhbr:239732_#1,64925/12,isad:lh:107106,D 125 / B,228facf1-f641-51c3-8159-687b88366b3c,228facf1-f641-51c3-8159-687b88366b3c,tg:lhbr:239732_#1,,+ doorslag definitieve brief,
