ResourceID,brocade.id,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Serial Number,adm.note,Warehouse Location (begin),Warehouse Location (ende)
aa64305a-b125-5b53-a572-2bec7aa3bb27,tg:lhbr:228132,Items,1,tr:lh:7870,210882/15,isad:lh:82192,S 59 / Archief Galeries,,,,
df44f22d-aafb-505a-b80b-9c4cb604ca70,tg:lhbr:86166,Items,1,tr:lh:1843,33404/2,isad:lh:37200,L 162 / B,,,,
c24aca3d-4f7a-5759-9ecf-44fc57ab71d0,tg:lhbr:57896,Items,1,tr:lh:6840,168874/3a-d,isad:lh:25754,G 994 / B,,,,
cdcbef42-3a6c-558b-9e07-475b1b26131c,tg:lhbr:255402,Items,1,tr:lh:9770,,isad:lh:145800,,J 416 / 56,,,
e01b5cf7-de26-5be4-ab4c-dbec23e187e1,tg:lhbr:203262,Items,1,tr:lh:7843,202514/3a-b,isad:lh:75373,,D 325/14,,,
4dede4f4-0c70-5908-afe4-37173f2a0679,tg:lhbr:127292,Items,1,tr:lh:4044,77521/226,isad:lh:53412,R 872 / B,,,,
f67aef61-8e85-5979-8729-916af0bb1010,tg:lhbr:66332,Items,1,tr:lh:2695,53186/267,isad:lh:30294,G 887 / B,,,,
281b06fd-715b-54f8-8cf7-6e5d2e8f3659,tg:lhbr:30552,Items,1,tr:lh:5863,124402/37,isad:lh:14900,U 656 / B,,,,
7f59ae88-e386-5321-86e5-0c2d943a9b2d,tg:lhbr:120557,Items,1,tr:lh:5863,124399/38,isad:lh:51143,R 3886 / B,,,,
3be709c0-3f47-5ab1-8b4d-6ea7bfc6095a,tg:lhbr:263863,Items,1,tr:lh:9943,,isad:lh:122653,,G 21795 / 595,,,
db99c399-e816-5663-b323-d0f9cd4c11b1,tg:lhbr:176337,Items,1,tr:lh:7063,177314/717,isad:lh:70793,D 125 / B2,,,,
6deea745-e501-5ff0-b78a-b470b70969a4,tg:lhbr:37297,Items,1,tr:lh:2660,52714/364,isad:lh:17644,C 3622 / B,,,,
d2516495-5f52-5cca-9313-8e04a2e6d93e,tg:lhbr:147893,Items,1,tr:lh:6158,142126/1,,V 3326 / B,,,,
3be89d69-c8a1-5540-875d-76e3321a8958,tg:lhbr:196163,Items,1,tr:lh:5678,114688/233,isad:lh:74608,T 48399 / B (1966),,,,
7fe9f34b-931c-519f-a3ea-9002c5fffb78,tg:lhbr:279097,Items,1,tr:lh:3032,112501/195,isad:lh:159546,,B 708 / 2205,,,
314b362f-52ed-5d04-8de3-1e656ad8eeee,tg:lhbr:3721,Items,1,tr:lh:4035,80265/322,isad:lh:2664,A 493 / B,,,,
a910bf47-9338-565a-a0fa-739407be5464,tg:lhbr:282525,Items,1,tr:lh:7843,202504/60a-b,isad:lh:162348,,D 325 / 974,,,
91b16930-de8e-55a0-bcfa-b1a417332eff,tg:lhbr:249421,Items,1,tr:lh:4326,,isad:lh:141673,A 493 / B2,,,,
a9876ef6-f99f-5757-a433-26ad93233fef,tg:lhbr:146781,Items,1,tr:lh:4544,87315/737,isad:lh:60828,K 98536 / B,,,,
9f1cba13-d3ea-5624-ab90-cf03f43ec91d,tg:lhbr:51041,Items,1,tr:lh:5641,113115/18b,isad:lh:1307,M 6222 / B (1956-66),,,,
6e488d18-5dca-5839-951a-8f7edb07961c,tg:lhbr:234111,Items,1,tr:lh:9767,217989/810,isad:lh:83834,Y 2 / B2,,,,
08b5b18b-fa88-5b47-b703-dd3f90bbdbde,tg:lhbr:262771,Items,1,tr:lh:139974,,isad:lh:150441,,B 798 / 294 - 380,,,
beff786e-a5e8-5c4c-933f-38ec2837d4ed,tg:lhbr:2833,Items,1,tr:lh:6462,158572/83,isad:lh:2150,V 3484 / B2,,,,
badcf258-2d1a-5627-83d6-a59543f01e3d,tg:lhbr:267089,Items,1,tr:lh:4315,83412/128,isad:lh:152746,,S 3144 / 2,,,
e164bb24-2e64-55ab-bebc-6630e900b6bf,tg:lhbr:143079,Items,1,tr:lh:3140,64042/4,isad:lh:59465,T 335 / B,,,,
2f10f2a8-0190-5141-b496-53068bdd29aa,tg:lhbr:115619,Items,1,,,isad:lh:49039,D 2195 / B2,,,,
0f24abab-a174-5cb1-bf46-2708a2fc4daf,tg:lhbr:192989,Items,1,tr:lh:5678,114686/105,isad:lh:70831,T 48399 / B (1964),,,,
f70d676e-3333-5f79-a9cb-9bde05865725,tg:lhbr:168329,Items,1,tr:lh:6415,153407/2,isad:lh:68593,D 125 / B2,,,,
fc30fcc5-5d7e-5622-800d-d9f5fc138c2a,tg:lhbr:29289,Items,1,tr:lh:7314,,isad:lh:14247,FVCA / B (1933-1940),,,,
dc666472-e8e7-56f2-80f3-6ef28f30e1a4,tg:lhbr:117624,Items,1,tr:lh:2197,41809/84a-b,isad:lh:49951,,,,,
f3a373ae-df28-51ca-a570-a4df9d813a24,tg:lhbr:56784,Items,1,tr:lh:4355,84259/5,,G 3625 / B,,,,
b544c937-61e2-53e3-9b09-5e19f5a0e4f3,tg:lhbr:218584,Items,1,tr:lh:7335,186399/119,isad:lh:79339,S 59 / Archief A,,,,
67985bec-be40-51f3-9663-bd85fb9cdfd7,tg:lhbr:108928,Items,1,tr:lh:2413,46748/9,isad:lh:46217,O 16225 / B,,,,
448b79f7-e401-5811-a669-7c2397a8ed2d,tg:lhbr:49888,Items,1,tr:lh:1860,33308/2,isad:lh:22763,E 147 / B,,,,
533c7899-a944-5c32-a6b5-b42e0e17a023,tg:lhbr:280518,Items,1,tr:lh:9630,,isad:lh:160002,,C 243 / B 2,,,
83838fcd-38a9-5e42-ab23-a1697ce768d3,tg:lhbr:98178,Items,1,tr:lh:4798,95609/22a-b,isad:lh:6439,N 1725 / B (12),,,,
4dc44433-fdf8-5104-af44-dba143ac1158,tg:lhbr:182570,Items,1,tr:lh:6415,153077/41,isad:lh:72414,D 125 / B2,,,,
f21bb853-258e-55cd-8258-0834998ee66a,tg:lhbr:149474,Items,1,tr:lh:5630,112913/618,isad:lh:555,K 376 / B (Deel II),,,,
da56febf-013a-59f6-acbf-54fe35757902,tg:lhbr:134144,Items,1,tr:lh:4743,91792/17,isad:lh:56066,S 623 / B,,,,
22aac50c-d4f5-5b29-becf-da31c6320f25,tg:lhbr:162724,Items,1,tr:lh:6879,170133/321,isad:lh:66433,W 70898 / B2,,,,
fde80e26-1ff0-5a30-910d-c270f299a871,tg:lhbr:23684,Items,1,tr:lh:5850,123806/355,isad:lh:691,W 686 / B (5 quater),,,,
7766ac0c-ddc2-5166-b972-460edab48a2f,tg:lhbr:288128,Items,1,tr:lh:5479,107680,isad:lh:165026,,R 1476 / 173,,,
53893d99-ce58-5789-97ad-4d6f2826a89b,tg:lhbr:187288,Items,1,tr:lh:3772,72465/169,isad:lh:73654,T 48399 / B (1951),,,,
119b4bc0-8b43-59f6-a8f1-136e7c01612e,tg:lhbr:90548,Items,1,tr:lh:6004,132097/3,isad:lh:38735,R 512 / B,,,,
59de65e9-90fe-5ef7-8cc1-d4a04b414504,tg:lhbr:241011,Items,1,tr:lh:110434,,isad:lh:123890,,C 2756 / 437,,,
3e039b6a-20d7-535c-98aa-aa5272d027ff,tg:lhbr:217671,Items,1,tr:lh:6714,166480/9,isad:lh:79116,V 4124 / B1,,,,
da5df49e-91cf-53d2-9c0f-86d548b058ca,tg:lhbr:133681,Items,1,tr:lh:992,18452/7,isad:lh:55968,S 617 / B,,,,
9d3d06c1-3fac-597d-a625-ae1c72180847,tg:lhbr:72721,Items,1,tr:lh:1279,21876/3,,H 592 / B,,,,
4c53de61-8577-5f01-81c6-29803f9ff456,tg:lhbr:24141,Items,1,tr:lh:4736,90258/3,isad:lh:11978,C 1343 / B,,,,
c76b9b2c-c445-5f66-8883-24627586b712,tg:lhbr:92575,Items,1,,162973/a-c,,L 648 / B,,,,
53dde39c-f13c-5955-aac7-5977f52be111,tg:lhbr:59471,Items,1,tr:lh:5938,129255/2,isad:lh:26396,G 399 / B,,,,
19e8e912-b5ab-5a74-b408-0e838b4b8bdb,tg:lhbr:136179,Items,1,tr:lh:5936,129188/218,isad:lh:2094,G 102 / B (8),,,,
1d803260-2c32-5584-bf1d-fd20f50179d5,tg:lhbr:160719,Items,1,tr:lh:5863,124404/385,isad:lh:65929,W 684 / B,,,,
a6f0cc7f-525c-54ca-8c19-cff781e70aaa,tg:lhbr:212189,Items,1,tr:lh:6465,158601/120,isad:lh:77751,S 7904 / B2 (1973-1974-1975),,,,
1e410a17-dfd2-5c7d-baa6-309df6369a00,tg:lhbr:128167,Items,1,tr:lh:5130,101382/8a-b,isad:lh:53767,R 6036 / B,,,,
470014e1-3698-52f8-8131-3757ff5b3fe9,tg:lhbr:132993,Items,1,,,isad:lh:55699,S 5893 / B,,,,
341728a0-289c-552d-b677-e52137f7f37e,tg:lhbr:73833,Items,1,tr:lh:30,3521/2,isad:lh:33244,H 737 / B,,,,
5e490563-2a9d-51fb-9f72-25c09b202bc5,tg:lhbr:155457,Items,1,tr:lh:2924,59187/14,isad:lh:64052,V 851 / B,,,,
97e87256-ccfe-50c9-83a0-cea738c3202a,tg:lhbr:216963,Items,1,tr:lh:7707,200321/43 ter,isad:lh:78795,G 22445 / B1,,,,
4803495f-0682-5d3e-a7ff-fb1c2eb0206b,tg:lhbr:103237,Items,1,tr:lh:5863,124394/1023,isad:lh:43750,M 827 / B,,,,
a8deb197-1d76-55dc-947b-8620879f8aad,tg:lhbr:42397,Items,1,tr:lh:5692,115194/20,isad:lh:2696,C 416 / B (1977),,,,
b5806c2c-3db4-5905-bdee-267020205dfb,tg:lhbr:89293,Items,1,tr:lh:6045,135275/56,isad:lh:38237,R 134 / B,,,,
936e9644-3d3c-55ab-b7b5-57ea56d45db2,tg:lhbr:13232,Items,1,tr:lh:6362,148700/21,isad:lh:7484,C 4095 / B,,,,
b1ec9a3e-ea6e-57b4-aea1-08021f77b8d2,tg:lhbr:152392,Items,1,tr:lh:1279,21877/5,,V 4835 / B,,,,
44979b56-311b-5569-8f71-d9104804bcc2,tg:lhbr:199296,Items,1,tr:lh:4175,80720/23,isad:lh:75061,B 417 / B2,,,,
18450af6-20f6-5dbb-9960-cb907fa7dd94,tg:lhbr:45452,Items,1,tr:lh:9822,79955/211,isad:lh:21050,S 5754 / B2,,,,
115ab245-ecc9-5020-bb56-57f689083d97,tg:lhbr:163836,Items,1,,,isad:lh:66825,Z 317 / B,,,,
80aef83c-860c-5469-b702-e6f4007d5df4,tg:lhbr:22996,Items,1,tr:lh:3477,68562/698,isad:lh:11645,B 994 / B,,,,
c724a2d4-ef5b-5202-b55d-d212683e1c15,tg:lhbr:220502,Items,1,tr:lh:7770,201272/225,isad:lh:79928,A 45005 / B2,,,,
0468ece6-2199-5325-8741-779497675c16,tg:lhbr:276362,Items,1,tr:lh:9142,,isad:lh:157353,,,,,
c6dbe08c-1894-50da-a0d1-6abc73ed5e12,tg:lhbr:38162,Items,1,tr:lh:1762,32021/2,,C 3873 / B,,,,
f096fb19-867e-5d46-b7aa-c7485789ffc5,tg:lhbr:296136,Items,1,,,isad:lh:124826,,C 33941 / 76,,,
ad4547b6-916a-5a55-aed5-97beb4b96b1f,tg:lhbr:150655,Items,1,tr:lh:4738,90852/2,isad:lh:62428,V 465 / B,,,,
5840acb1-8a0b-5962-ae21-0a2f12ac130c,tg:lhbr:106035,Items,1,tr:lh:4758,94339/785,isad:lh:45125,M 896 / B,,,,
aeb1e0ae-32ea-507f-8a45-661f1ac1c1f9,tg:lhbr:47195,Items,1,tr:lh:4057,77827/204,isad:lh:21674,C 1 / B,,,,
d2362082-f4d5-503c-9c00-ee0dad0764b3,tg:lhbr:238831,Items,1,,220632,isad:lh:85748,WW 174 / B1,,,,
b9919b14-ec0d-5c02-8369-2b2e9c51d9f2,tg:lhbr:96865,Items,1,tr:lh:3079,61200/277,isad:lh:41270,M 3631 / B,,,,
64b9eab4-3a89-5201-89fb-08345c98df89,tg:lhbr:209395,Items,1,tr:lh:6413,151924/12,isad:lh:77039,W 256 / B2 ((periode L. Simons 1969-1984) 21),,,,
