ResourceID,brocade.id,card,order,id/place.place,Production Place Name,Production Place ID,Production Place Identifier
87f8effb-7485-5d82-846f-99bff333cfc0,tg:lhph:37297,Places,1,[{'value': 'Gent'}],Gent,,
8552fda5-f4c2-5a7e-8227-3626a972e7c1,tg:lhph:3721,Places,1,[{'value': 'Stabroek'}],Stabroek,,
bfc0ee81-10b3-54bd-8ca4-61147179c437,tg:lhph:29289,Places,1,[{'value': 'Antwerpen'}],Antwerpen,,
94fe2532-900e-5ed6-ba1f-becb3618e2da,tg:lhph:23684,Places,1,[{'value': 'Antwerpen'}],Antwerpen,,
c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,tg:lhph:45452,Places,1,[{'value': 'Antwerpen'}],Antwerpen,,
2797e9e0-bec9-5b57-a6f8-e2b7a91c5d61,tg:lhph:16030,Places,1,[{'value': 'Deurle'}],Deurle,,
e8d3e385-f479-5b92-bf4a-b97898fa3ff1,tg:lhph:38498,Places,1,[{'value': 'Gent'}],Gent,,
6e266dd2-fa2a-52eb-9ac8-0529eb50a2ed,tg:lhph:29773,Places,1,[{'value': 'Neuss'}],Neuss,,
14284bdf-7a32-570d-83ad-818e882df6e8,tg:lhph:34842,Places,1,[{'value': 'Gent'}],Gent,,
59db60fd-5b91-58fb-8721-f79bcc62f64f,tg:lhph:35750,Places,1,[{'value': 'Den Haag'}],Den Haag,,
c42f4b17-eed4-5b74-bd6b-1059a9a41d7a,tg:lhph:28861,Places,1,[{'value': 'Antwerpen'}],Antwerpen,,
b692481a-9b2a-5ad9-9060-eea7c0a4fccd,tg:lhph:32095,Places,1,[{'value': 'Antwerpen'}],Antwerpen,,
e719f44a-712c-5df1-a3c0-a1d5f5191ffd,tg:lhph:6523,Places,1,[{'value': 'Diksmuide'}],Diksmuide,,
b14cf90b-19a9-5639-a891-8d9f62d7308b,tg:lhph:6489,Places,1,[{'value': 'Diksmuide'}],Diksmuide,,
572bd27f-1ce0-5037-9ba3-77b0cebd2b9f,tg:lhph:3371,Places,1,[{'value': 'New York'}],New York,,
b7f71443-04d8-5bbd-9c77-4ef829d3128f,tg:lhph:45002,Places,1,[{'value': 'Brussel'}],Brussel,,
b92a5a30-856c-5117-82f7-a6c8a9f4a76c,tg:lhph:12970,Places,1,[{'value': 'Brussel'}],Brussel,,
8f25fc0d-ef47-52bb-9d31-166d022a83b1,tg:lhph:24511,Places,1,[{'value': 'Antwerpen'}],Antwerpen,,
8e0a6f52-ced8-5493-be2a-9f664a8a7e94,tg:lhph:40200,Places,1,[{'value': '[Luneburg](D)'}],[Luneburg](D),,
2d82c565-4453-55c7-9c00-5af06f09de12,tg:lhph:29323,Places,1,[{'value': 'Bamberg'}],Bamberg,,
199277b1-fc7f-5ec0-91ee-468088c5bd63,tg:lhph:36486,Places,1,[{'value': 'Gent'}],Gent,,
