ResourceID,brocade.id,Acquisition Brocade ID,card,order,Acquisition Name,Acquisition Identifier
003889a2-1f58-502e-8ee9-df274f09a963,tg:lhph:15077,tr:lh:5154,Acquisitions,1,Archiefstukken van Maurice van den Dries,{'url':'https://id.letterenhuis.be/ark:/24970/003889a2-1f58-502e-8ee9-df274f09a963'}
00670a75-175f-51fb-99c6-cc56a3cd24fe,tg:lhph:47068,tr:lh:5832,Acquisitions,1,Archief van Pliet van Lishout,{'url':'https://id.letterenhuis.be/ark:/24970/00670a75-175f-51fb-99c6-cc56a3cd24fe'}
00cae4e2-d791-532c-b5c0-a1a141118129,tg:lhph:39374,tr:lh:4315,Acquisitions,1,Archief van Piet Schepens,{'url':'https://id.letterenhuis.be/ark:/24970/00cae4e2-d791-532c-b5c0-a1a141118129'}
00e70550-60e3-5029-a589-c4dc7e20f61b,tg:lhph:34550,tr:lh:4162,Acquisitions,1,Aankoop bij Filip Tas,{'url':'https://id.letterenhuis.be/ark:/24970/00e70550-60e3-5029-a589-c4dc7e20f61b'}
011236d8-f14b-5e1a-9366-b648c21af352,tg:lhph:22884,tr:lh:7859,Acquisitions,1,Archief van Manteau,{'url':'https://id.letterenhuis.be/ark:/24970/011236d8-f14b-5e1a-9366-b648c21af352'}
011fa91b-2107-50e4-97d6-a40dfacd912e,tg:lhph:52817,tr:lh:139964,Acquisitions,1,Archief van Stijn Streuvels,{'url':'https://id.letterenhuis.be/ark:/24970/011fa91b-2107-50e4-97d6-a40dfacd912e'}
01978ce1-d853-5c0d-86a8-43bad0f05294,tg:lhph:20293,tr:lh:7314,Acquisitions,1,Archief van Frans van Cauwelaert,{'url':'https://id.letterenhuis.be/ark:/24970/01978ce1-d853-5c0d-86a8-43bad0f05294'}
01a34d19-ef5e-57ed-9ac9-c5e4cbcabadf,tg:lhph:5499,tr:lh:3340,Acquisitions,1,Schenking van Stedelijke Openbare Bibliotheken,{'url':'https://id.letterenhuis.be/ark:/24970/01a34d19-ef5e-57ed-9ac9-c5e4cbcabadf'}
01e5efb7-6038-5f79-bc2e-f4d6b3d8d226,tg:lhph:21752,tr:lh:7859,Acquisitions,1,Archief van Manteau,{'url':'https://id.letterenhuis.be/ark:/24970/01e5efb7-6038-5f79-bc2e-f4d6b3d8d226'}
01eac073-db2d-5915-b006-2e9532d8ae3d,tg:lhph:11063,tr:lh:139785,Acquisitions,1,Documentatiemappen OB Gent (Johan Daisne),{'url':'https://id.letterenhuis.be/ark:/24970/01eac073-db2d-5915-b006-2e9532d8ae3d'}
02082c16-3aca-578f-be5b-deea64e11bd0,tg:lhph:7109,tr:lh:3033,Acquisitions,1,Schenking van R. Dent-Tyck,{'url':'https://id.letterenhuis.be/ark:/24970/02082c16-3aca-578f-be5b-deea64e11bd0'}
