Brocade ID,ResourceID,card,order,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type
tg:lhph:30552,f054665f-e89b-5527-b4be-e1d47a4263cb,ISAAR_Relations,1,au::901,{'url': 'https://anet.be/record/isaarlh/au::901'},fo,Persoon,Marcel de Backer,Fotograaf
tg:lhph:30552,f054665f-e89b-5527-b4be-e1d47a4263cb,ISAAR_Relations,2,au::8204,{'url': 'https://anet.be/record/isaarlh/au::8204'},kw,Persoon,Clara Haesaert,Trefwoord
tg:lhph:37297,87f8effb-7485-5d82-846f-99bff333cfc0,ISAAR_Relations,1,au::901,{'url': 'https://anet.be/record/isaarlh/au::901'},fo,Persoon,Marcel de Backer,Fotograaf
tg:lhph:3721,8552fda5-f4c2-5a7e-8227-3626a972e7c1,ISAAR_Relations,1,au::12577,{'url': 'https://anet.be/record/isaarlh/au::12577'},kw,Persoon,Marten Melsen,Trefwoord
tg:lhph:3721,8552fda5-f4c2-5a7e-8227-3626a972e7c1,ISAAR_Relations,2,au::21790,{'url': 'https://anet.be/record/isaarlh/au::21790'},kw,Persoon,Lode Zielens,Trefwoord
tg:lhph:3721,8552fda5-f4c2-5a7e-8227-3626a972e7c1,ISAAR_Relations,3,au::2268,{'url': 'https://anet.be/record/isaarlh/au::2268'},kw,Persoon,Emmanuel de Bom,Trefwoord
tg:lhph:51041,a8cb1dec-0bf6-5695-b15b-645ff687a102,ISAAR_Relations,1,au::13772,{'url': 'https://anet.be/record/isaarlh/au::13772'},kw,Persoon,Jan van Nijlen,Trefwoord
tg:lhph:51041,a8cb1dec-0bf6-5695-b15b-645ff687a102,ISAAR_Relations,2,au::14652,{'url': 'https://anet.be/record/isaarlh/au::14652'},kw,Persoon,Edgar du Perron,Trefwoord
tg:lhph:51041,a8cb1dec-0bf6-5695-b15b-645ff687a102,ISAAR_Relations,3,au::7927,{'url': 'https://anet.be/record/isaarlh/au::7927'},kw,Persoon,Jan Greshoff,Trefwoord
tg:lhph:51041,a8cb1dec-0bf6-5695-b15b-645ff687a102,ISAAR_Relations,4,au::8555,{'url': 'https://anet.be/record/isaarlh/au::8555'},kw,Persoon,Franz Hellens,Trefwoord
tg:lhph:2833,ff50b330-23a5-5a54-be81-c61883a518b0,ISAAR_Relations,1,au::7555,{'url': 'https://anet.be/record/isaarlh/au::7555'},kw,Persoon,Maurice Gilliams,Trefwoord
tg:lhph:29289,bfc0ee81-10b3-54bd-8ca4-61147179c437,ISAAR_Relations,1,au::18070,{'url': 'https://anet.be/record/isaarlh/au::18070'},fo,Persoon,Filip Tas,Fotograaf
tg:lhph:29289,bfc0ee81-10b3-54bd-8ca4-61147179c437,ISAAR_Relations,2,au::15479,{'url': 'https://anet.be/record/isaarlh/au::15479'},kw,Persoon,Roger Raveel,Trefwoord
