brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Source Note,Serial Number,Warehouse Location (begin),Warehouse Location (ende),Source Note Language,Source Note Type
tg:lhph:30552,f054665f-e89b-5527-b4be-e1d47a4263cb,Items,1,tr:lh:9510,218458/312,isad:lh:95309,B 1183 / P (NEG0029/4/10),,,,,Nederlands,Noot
tg:lhph:37297,87f8effb-7485-5d82-846f-99bff333cfc0,Items,1,tr:lh:9510,218458/2113,isad:lh:95309,B 1183 / P (NEG00231/3/2),,,,,Nederlands,Noot
tg:lhph:3721,8552fda5-f4c2-5a7e-8227-3626a972e7c1,Items,1,tr:lh:2563,50590/7,,Z 317 / P,,,,,Nederlands,Noot
tg:lhph:51041,a8cb1dec-0bf6-5695-b15b-645ff687a102,Items,1,tr:lh:139982,221465/11,isad:lh:95064,N 4935 / P,,,,,Nederlands,Noot
tg:lhph:2833,ff50b330-23a5-5a54-be81-c61883a518b0,Items,1,tr:lh:6603,163141/830,isad:lh:93324,G 395 / P,,,,,Nederlands,Noot
tg:lhph:29289,bfc0ee81-10b3-54bd-8ca4-61147179c437,Items,1,tr:lh:4066,77910/3,,R 22 / P,,,,,Nederlands,Noot
tg:lhph:23684,94fe2532-900e-5ed6-ba1f-becb3618e2da,Items,1,tr:lh:7009,176412/9,isad:lh:93322,I 5578815 / P,,,,,Nederlands,Noot
tg:lhph:24141,f90accfd-a381-51aa-a1d4-83618b68b83f,Items,1,tr:lh:467,9197,,V 15531 / P,,,,,Nederlands,Noot
tg:lhph:42397,05d64298-749d-55d1-aac7-937d9ecf5d20,Items,1,tr:lh:210,3556/1,isad:lh:95681,P 205 / P,,,,,Nederlands,Noot
tg:lhph:13232,4c4c99a5-d95e-5ec7-92c2-8931ced9578a,Items,1,,33583/71,,B 9746 / P,,,,,Nederlands,Noot
tg:lhph:45452,c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,Items,1,,27381/124,,D 3155 / P,,,,,Nederlands,Noot
tg:lhph:45452,c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,Items,2,tr:lh:1892,33651/3,isad:lh:93655,D 3155 / P,,,,,Nederlands,Noot
tg:lhph:22996,f38c9cdd-2aff-5406-a5fb-831ee705ab9b,Items,1,tr:lh:5113,101045/129,,N 135 / P,,,,,Nederlands,Noot
tg:lhph:38162,2a644055-3257-5800-85cb-54a393c05a4f,Items,1,tr:lh:6376,148920/19d,,M 198 / P (A),,,,,Nederlands,Noot
tg:lhph:47195,65e19c5f-74bd-564c-a680-7a88e1099b2d,Items,1,,221360,,M 284 / P (GF),,,,,Nederlands,Noot
tg:lhph:729,525cb592-4469-5472-a28b-915d0df4c87b,Items,1,tr:lh:6016,133000/10,isad:lh:93008,B 917 / P,,,,,Nederlands,Noot
tg:lhph:16030,2797e9e0-bec9-5b57-a6f8-e2b7a91c5d61,Items,1,tr:lh:7176,179027,,R 767 / P,,,,,Nederlands,Noot
tg:lhph:40650,4a6baaba-17fa-558f-965c-e7b475dac7c6,Items,1,tr:lh:7859,203626/2541,isad:lh:94873,M 224 / P (NEG0084/4/27),,,,,Nederlands,Noot
tg:lhph:38498,e8d3e385-f479-5b92-bf4a-b97898fa3ff1,Items,1,tr:lh:1497,27320/18,,B 4982 / P,,,,,Nederlands,Noot
tg:lhph:41942,97d26865-82f1-5053-8403-0e505e73c673,Items,1,tr:lh:3899,74480/1,,W 7035 / P,,,,,Nederlands,Noot
tg:lhph:26486,37e8668f-2309-5ed4-806b-b10a19c582e7,Items,1,tr:lh:7775,201344/5,isad:lh:94373,P 1835 / P,,,,,Nederlands,Noot
tg:lhph:21343,8978b3d2-be52-55ac-ac4c-9d80011fefc1,Items,1,tr:lh:7314,203647/48,isad:lh:92943,FVCA / P (Derden),,,,,Nederlands,Noot
tg:lhph:29773,6e266dd2-fa2a-52eb-9ac8-0529eb50a2ed,Items,1,tr:lh:7142,178458/8,isad:lh:93773,G 9435 / P (iv-v),,,,,Nederlands,Noot
tg:lhph:53586,fb79167a-c5de-5918-9e71-25755e3a8b08,Items,1,tr:lh:139964,,isad:lh:175416,,Bruikleen Vlaamse Gemeenschap,,,,Nederlands,Noot
tg:lhph:34842,14284bdf-7a32-570d-83ad-818e882df6e8,Items,1,tr:lh:9510,218458/1345,isad:lh:95309,B 1183 / P (NEG00142/3/10),,,,,Nederlands,Noot
tg:lhph:35750,59db60fd-5b91-58fb-8721-f79bcc62f64f,Items,1,tr:lh:5034,99512/2,isad:lh:117833,W 292 / P,,,,,Nederlands,Noot
tg:lhph:48260,c2aa9ae8-0c83-52c3-ac9e-23d097803010,Items,1,,,isad:lh:119780,,,V 7576 / 178,,,Nederlands,Noot
tg:lhph:28861,c42f4b17-eed4-5b74-bd6b-1059a9a41d7a,Items,1,,232749,,V 4127 / P,,,,,Nederlands,Noot
tg:lhph:32095,b692481a-9b2a-5ad9-9060-eea7c0a4fccd,Items,1,,109024/4,,V 9132 / P,,,,,Nederlands,Noot
tg:lhph:6523,e719f44a-712c-5df1-a3c0-a1d5f5191ffd,Items,1,tr:lh:4767,92987/2,isad:lh:93777,Y 952 / P,,,,,Nederlands,Noot
tg:lhph:30102,6ff9cac8-9b83-5c98-b844-5fa6712e8ff6,Items,1,,-,isad:lh:95322,J 416 / P,,,,,Nederlands,Noot
tg:lhph:6489,b14cf90b-19a9-5639-a891-8d9f62d7308b,Items,1,,234798/171,,Y 952 / P,,,,,Nederlands,Noot
tg:lhph:3371,572bd27f-1ce0-5037-9ba3-77b0cebd2b9f,Items,1,tr:lh:3171,64409/99,isad:lh:93287,G 994 / P,,,,,Nederlands,Noot
tg:lhph:683,c2a62fab-721e-5a30-89f9-b5c344cf7b9a,Items,1,tr:lh:5170,102977/2,isad:lh:176449,L 179 / P,,,,,Nederlands,Noot
tg:lhph:38532,70bd4cdd-21c7-502d-bca2-13bb2cdf2b5e,Items,1,tr:lh:357,7251,,B 4984 / P,,,,,Nederlands,Noot
tg:lhph:45002,b7f71443-04d8-5bbd-9c77-4ef829d3128f,Items,1,,166574,,D 197 / P,,,,,Nederlands,Noot
tg:lhph:13662,e6c63e10-2388-5053-a7dc-848c16b55172,Items,1,,99528,,C 283 / P,,,,,Nederlands,Noot
tg:lhph:12970,b92a5a30-856c-5117-82f7-a6c8a9f4a76c,Items,1,tr:lh:555,10641,isad:lh:94393,C 2638 / P,,,,,Nederlands,Noot
tg:lhph:24511,8f25fc0d-ef47-52bb-9d31-166d022a83b1,Items,1,tr:lh:6630,163974/2-3,isad:lh:95057,N 1702 / P,,,,,Nederlands,Noot
tg:lhph:20801,44c6058d-619c-5778-a18b-9c53e437cd07,Items,1,tr:lh:7314,,isad:lh:92943,FVCA / P (1950-1952/112),,,,,Nederlands,Noot
tg:lhph:40200,8e0a6f52-ced8-5493-be2a-9f664a8a7e94,Items,1,tr:lh:6989,174467/4,isad:lh:93721,M 43828 / P,,,,,Nederlands,Noot
tg:lhph:16460,1f59a08b-dda1-5fca-b834-cb8a1694a9a6,Items,1,tr:lh:3269,66291/31,isad:lh:93043,R 951 / P,,,,,Nederlands,Noot
tg:lhph:9286,3843043e-654e-5213-b654-9551a1c436ea,Items,1,tr:lh:2990,60182/17,isad:lh:94056,C 122 / P,,,,,Nederlands,Noot
tg:lhph:13398,98ccd930-9117-545b-999e-861da6ef129f,Items,1,tr:lh:1914,34109/2,isad:lh:92959,B 71525 / P,,,,,Nederlands,Noot
tg:lhph:35300,f4602664-7a75-53c0-8bb1-e602566ac8ca,Items,1,tr:lh:3899,74479/19,,B 366 / P,,,,,Nederlands,Noot
tg:lhph:19795,d993a635-cd92-5b5a-aafb-f1b934d540e4,Items,1,tr:lh:7859,203626/1105,isad:lh:94873,M 224 / P (NEG0041/3/14),,,,,Nederlands,Noot
tg:lhph:6173,d1094849-49c8-5741-ab6e-c43cd84d5b0f,Items,1,,233995/2,,W 802 / P,,,,,Nederlands,Noot
tg:lhph:18887,35175593-a3c4-5c05-b4c0-125ad2500487,Items,1,tr:lh:1048,19122/5,isad:lh:93650,H 635 / P,,,,,Nederlands,Noot
tg:lhph:18887,35175593-a3c4-5c05-b4c0-125ad2500487,Items,2,tr:lh:1364,23180/9,,H 635 / P,,,,,Nederlands,Noot
tg:lhph:18887,35175593-a3c4-5c05-b4c0-125ad2500487,Items,3,tr:lh:1492,27493/937,,H 635 / P,,,,,Nederlands,Noot
tg:lhph:29323,2d82c565-4453-55c7-9c00-5af06f09de12,Items,1,tr:lh:6461,158560/99,isad:lh:94760,R 2325 / P,,,,,Nederlands,Noot
tg:lhph:2999,838a98b8-79ed-56ea-b03c-03d258c32f41,Items,1,,52519,,V 4835 / P,,,,,Nederlands,Noot
tg:lhph:36486,199277b1-fc7f-5ec0-91ee-468088c5bd63,Items,1,tr:lh:9510,218458/1839,isad:lh:95309,B 1183 / P (NEG00200/2/15),,,,,Nederlands,Noot
tg:lhph:2130,dd6ae150-d001-5b01-9d46-1eb38ee1feb5,Items,1,tr:lh:2220,42261/1,,D 3405 / P,,,,,Nederlands,Noot
tg:lhph:2130,dd6ae150-d001-5b01-9d46-1eb38ee1feb5,Items,2,,44259/6,,D 3405 / P,,,,,Nederlands,Noot
tg:lhph:31343,cc3aca53-19d4-5edc-a04d-b0ee39188a24,Items,1,tr:lh:7888,234835/10,,J 2547 / P,,,,,Nederlands,Noot
tg:lhph:28498,e2f86e48-3d0a-5046-993c-75a7f93d7ca7,Items,1,,97805/3,,V 6059 / P,,,,,Nederlands,Noot
tg:lhph:25750,ede65729-3df0-5929-8d4d-3db8749cd983,Items,1,tr:lh:7726,200461/11b en h,isad:lh:93406,J 416 / P,,,,,Nederlands,Noot
tg:lhph:22095,c430702c-64ae-5893-9cfc-c51bcf64b8de,Items,1,tr:lh:882,16079/102,isad:lh:93498,H 8373 / P,,,,,Nederlands,Noot
tg:lhph:22095,c430702c-64ae-5893-9cfc-c51bcf64b8de,Items,2,tr:lh:1102,19857/4,isad:lh:93142,H 8373 / P,,,,,Nederlands,Noot
tg:lhph:38861,982c5a1d-4245-5bbd-a9a2-42789c4e82b4,Items,1,tr:lh:9510,218458/2705,isad:lh:95309,B 1183 / P (NEG00291/4/28),,,,,Nederlands,Noot
