ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier
f893fc70-00bb-5f5f-985e-0bf44213ce73,tg:lhps:51041,Archives,1,isad:lh:102719,"dlod={""id"":""ark:/24970/x0/7280e13d-db25-55dd-ba5b-275bbc438437"",""text"":""Stad Antwerpen - Politie"",""name"":""Stad Antwerpen - Politie"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/7280e13d-db25-55dd-ba5b-275bbc438437
a55f16dd-08d1-5f6e-87fa-f9ca9233c219,tg:lhps:29289,Archives,1,isad:lh:92204,"dlod={""id"":""ark:/24970/x0/7ad2ec47-699f-5287-bcf6-d44aaae1d10e"",""text"":""Affiches (verzameling)"",""name"":""Affiches (verzameling)"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/7ad2ec47-699f-5287-bcf6-d44aaae1d10e
f3cdb4a6-c5bd-504f-9edb-a6d043849d48,tg:lhps:56784,Archives,1,isad:lh:129102,"dlod={""id"":""ark:/24970/x0/567f51a4-8f55-5f51-a9b3-1058ed216fd5"",""text"":""affiche 'Vikings'"",""name"":""affiche 'Vikings'"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/567f51a4-8f55-5f51-a9b3-1058ed216fd5
62fe1480-2a29-52a7-a83d-48890c025ad3,tg:lhps:24141,Archives,1,isad:lh:92200,"dlod={""id"":""ark:/24970/x0/d51f1d2d-32aa-5142-bd0c-25d0ccb94769"",""text"":""Affiches (verzameling)"",""name"":""Affiches (verzameling)"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/d51f1d2d-32aa-5142-bd0c-25d0ccb94769
528c7092-4e99-5cf9-be4f-7d9121f0906c,tg:lhps:729,Archives,1,isad:lh:92255,"dlod={""id"":""ark:/24970/x0/d480d62c-8b8a-5b57-9c88-c57bc40ef731"",""text"":""Affiches i.v.m. au::19047"",""name"":""Affiches i.v.m. au::19047"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/d480d62c-8b8a-5b57-9c88-c57bc40ef731
cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,tg:lhps:41942,Archives,1,isad:lh:141536,"dlod={""id"":""ark:/24970/x0/762721c4-5219-559c-bbc9-1fa42f072161"",""text"":""Affiches met stukbeschrijving"",""name"":""Affiches met stukbeschrijving"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/762721c4-5219-559c-bbc9-1fa42f072161
8817d232-5930-56ae-ae0b-53760ded9232,tg:lhps:26486,Archives,1,isad:lh:92200,"dlod={""id"":""ark:/24970/x0/d51f1d2d-32aa-5142-bd0c-25d0ccb94769"",""text"":""Affiches (verzameling)"",""name"":""Affiches (verzameling)"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/d51f1d2d-32aa-5142-bd0c-25d0ccb94769
abd1628e-c49b-5615-acf4-6a0e517fd9af,tg:lhps:29773,Archives,1,isad:lh:92204,"dlod={""id"":""ark:/24970/x0/7ad2ec47-699f-5287-bcf6-d44aaae1d10e"",""text"":""Affiches (verzameling)"",""name"":""Affiches (verzameling)"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/7ad2ec47-699f-5287-bcf6-d44aaae1d10e
81ed1814-e5a1-54d7-bb87-89c0b5c88837,tg:lhps:53586,Archives,1,isad:lh:92284,"dlod={""id"":""ark:/24970/x0/bd0fdd40-ffa2-59da-b56a-7f4c0842c0da"",""text"":""Affiches i.v.m. au::3664"",""name"":""Affiches i.v.m. au::3664"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/bd0fdd40-ffa2-59da-b56a-7f4c0842c0da
a23d8928-a726-5918-b71d-996d5fee8a1b,tg:lhps:48260,Archives,1,isad:lh:105207,"dlod={""id"":""ark:/24970/x0/6bbe7770-9a6e-5693-be3d-e01b6dd77c49"",""text"":""Affiches"",""name"":""Affiches"",""nameWithContext"":"""",""orgID"":""lh"",""suggestType"":""archiveobject"",""json"":""""}",ark:/24970/x0/6bbe7770-9a6e-5693-be3d-e01b6dd77c49
