ResourceID,brocade.id,card,order,adm.acquiredVia,adm.plaatsingsnummer,adm.inv,adm.isadPartOf,adm.note,adm.volgnummer
d9198741-6a71-5c44-afb8-139f34d3de4f,tg:lhps:57896,Items,1,tr:lh:110342,WW 129 / A,,,,
9ad9e289-a225-5297-aa76-547f4a84f063,tg:lhps:30552,Items,1,,S 295 / A,225263/534,,,
8c9b9462-a190-5ab1-9502-2d241b79933c,tg:lhps:3721,Items,1,,J 3358 / A,239374/1,,,
f893fc70-00bb-5f5f-985e-0bf44213ce73,tg:lhps:51041,Items,1,,GG 10 / A,,isad:lh:102719,,
21c98bbb-66e7-5700-a722-9e9133147c34,tg:lhps:2833,Items,1,,G 29 / A,239475,,,
a55f16dd-08d1-5f6e-87fa-f9ca9233c219,tg:lhps:29289,Items,1,tr:lh:9937,V 75457 / A (VM771),225261/771,isad:lh:92204,,
f3cdb4a6-c5bd-504f-9edb-a6d043849d48,tg:lhps:56784,Items,1,,B 978 / A,,isad:lh:129102,,
4fd14fcc-cb1b-5d09-bdca-ade565a0171e,tg:lhps:49888,Items,1,tr:lh:110342,S 849 / A,,,,
4fd14fcc-cb1b-5d09-bdca-ade565a0171e,tg:lhps:49888,Items,2,,VV 322 / A,,,,
30483822-d2b8-5522-91be-326506c8e801,tg:lhps:23684,Items,1,,L 518 / A,225237/33a,,,
62fe1480-2a29-52a7-a83d-48890c025ad3,tg:lhps:24141,Items,1,tr:lh:7875,O 3369 / A (CM1153),225212/2150,isad:lh:92200,,
48bc1480-91cc-5ae5-bb99-0eb688e8ef4f,tg:lhps:59471,Items,1,tr:lh:110342,F 277 / A,,,,
c36ffa9b-bf17-5913-992c-9b5461962379,tg:lhps:42397,Items,1,,B 557 / A,225279/225,,,
2d138a5f-f57d-5dd6-a2ad-96899eabb14c,tg:lhps:13232,Items,1,tr:lh:7632,S 4686 / A,213769,,,
54e487c2-d9a2-5bc9-9bfd-fff37c832817,tg:lhps:45452,Items,1,,II 2 / A,225289/489,,,
8c9337a6-1fd9-51cd-9df9-d84d20144d84,tg:lhps:22996,Items,1,,K 98497 / A,225234/22,,,
73342a2f-8adb-5759-bf27-b4749aee9845,tg:lhps:47195,Items,1,,JJ 19 / A,,,,
528c7092-4e99-5cf9-be4f-7d9121f0906c,tg:lhps:729,Items,1,tr:lh:5096,H 3543 / A,100730/1,isad:lh:92255,,
528c7092-4e99-5cf9-be4f-7d9121f0906c,tg:lhps:729,Items,2,,H 3543 / A,233899,,,
8f37cfbe-cfae-53da-9474-1a3809bb9a7e,tg:lhps:16030,Items,1,tr:lh:7634,AA 105 / A,212813/1,,,
b2906926-4eef-5eb2-8a1d-c9e1ae7ea664,tg:lhps:40650,Items,1,,V 6152 / A,225273/11,,,
cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,tg:lhps:41942,Items,1,tr:lh:9942,K 3875 / A (SC 55-58 muur),225278/8,isad:lh:141536,,
8817d232-5930-56ae-ae0b-53760ded9232,tg:lhps:26486,Items,1,tr:lh:7875,O 3369 / A (CM2550),225212/3548,isad:lh:92200,,
cf2f2475-7f87-5466-a578-33c7e7be517e,tg:lhps:21343,Items,1,,I 557 / A,215096/28,,,
b4fb8056-312b-5f94-a0f2-20110061834f,tg:lhps:54243,Items,1,tr:lh:110342,H 575 / A,,,,
abd1628e-c49b-5615-acf4-6a0e517fd9af,tg:lhps:29773,Items,1,tr:lh:9937,V 75457 / A (VM950),225261/950,isad:lh:92204,,
81ed1814-e5a1-54d7-bb87-89c0b5c88837,tg:lhps:53586,Items,1,,C 1954,225297/4,isad:lh:92284,,
a23d8928-a726-5918-b71d-996d5fee8a1b,tg:lhps:48260,Items,1,tr:lh:9111,G 938 / A,,isad:lh:105207,,
adf89f7b-b008-50d5-a7eb-08e2c10e5d23,tg:lhps:28861,Items,1,tr:lh:2817,P 2576 / A,55866,isad:lh:92334,,
d3641323-a5b0-5af3-b5ef-98834690fd96,tg:lhps:32095,Items,1,,"AV.14.6.38 (LK VII,1)",225272/38,isad:lh:92873,,
e864df67-7a2f-5c56-9b5a-5095c9bea5c8,tg:lhps:6523,Items,1,tr:lh:7019,P 9151 / A,180782,,,
e864df67-7a2f-5c56-9b5a-5095c9bea5c8,tg:lhps:6523,Items,2,tr:lh:7019,VV 9 / A,225212/563,,,
