ResourceID,brocade.id,card,order,ire.isaar.uuid,Visual ISAAR Brocade ID,Visual Actor Role,Visual Actor Widget,Visual Actor Identifier
f893fc70-00bb-5f5f-985e-0bf44213ce73,tg:lhps:51041,VisualContent,1,2b5dd1f5-13e6-5ef3-b0ba-f9b1973ab771,au::7681,designers,"dlod={""id"":""ark:/83110/x0/2b5dd1f5-13e6-5ef3-b0ba-f9b1973ab771"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/2b5dd1f5-13e6-5ef3-b0ba-f9b1973ab771
73342a2f-8adb-5759-bf27-b4749aee9845,tg:lhps:47195,VisualContent,1,4563f6a1-2806-5967-94f9-11fdcd7b6a2b,au::56764,designers,"dlod={""id"":""ark:/83110/x0/4563f6a1-2806-5967-94f9-11fdcd7b6a2b"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/4563f6a1-2806-5967-94f9-11fdcd7b6a2b
cbfcbe77-a2e3-5cd3-a0d2-a8f7d5048991,tg:lhps:41942,VisualContent,1,560311a5-026b-5374-a2d7-bda9ac5520da,au::10243,designers,"dlod={""id"":""ark:/83110/x0/560311a5-026b-5374-a2d7-bda9ac5520da"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/560311a5-026b-5374-a2d7-bda9ac5520da
d3641323-a5b0-5af3-b5ef-98834690fd96,tg:lhps:32095,VisualContent,1,19ca4102-8b98-555a-b033-bf6902e25d7f,au::58787,designers,"dlod={""id"":""ark:/83110/x0/19ca4102-8b98-555a-b033-bf6902e25d7f"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/19ca4102-8b98-555a-b033-bf6902e25d7f
59c8bf1e-503c-5024-80af-3d2b60ae2e26,tg:lhps:30102,VisualContent,1,0a9a1e98-0f44-59d2-9130-11c0ba96e73a,au::58704,designers,"dlod={""id"":""ark:/83110/x0/0a9a1e98-0f44-59d2-9130-11c0ba96e73a"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/0a9a1e98-0f44-59d2-9130-11c0ba96e73a
aeb9ca95-a323-5689-8e5e-04600caeaa00,tg:lhps:6489,VisualContent,1,10b665ad-3766-5b72-8f3c-e62086558c2d,au::15035,designers,"dlod={""id"":""ark:/83110/x0/10b665ad-3766-5b72-8f3c-e62086558c2d"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/10b665ad-3766-5b72-8f3c-e62086558c2d
8fcadac7-c8cf-5d41-b13e-11c77d2a1ad5,tg:lhps:3371,VisualContent,1,fab83157-2fe1-521d-90e5-803842578fc7,au::44622,designers,"dlod={""id"":""ark:/83110/x0/fab83157-2fe1-521d-90e5-803842578fc7"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/fab83157-2fe1-521d-90e5-803842578fc7
df18cc73-b836-5d25-b31f-e2d06c18827b,tg:lhps:45002,VisualContent,1,d8e256f1-f1e6-5399-856c-9ce5157ef55f,au::7262,designers,"dlod={""id"":""ark:/83110/x0/d8e256f1-f1e6-5399-856c-9ce5157ef55f"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/d8e256f1-f1e6-5399-856c-9ce5157ef55f
3a86188e-49d1-5143-bf96-ee7eacd27e65,tg:lhps:13662,VisualContent,1,e49533b3-5f74-527f-bd37-70f469c6450c,au::19428,designers,"dlod={""id"":""ark:/83110/x0/e49533b3-5f74-527f-bd37-70f469c6450c"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/e49533b3-5f74-527f-bd37-70f469c6450c
959eaa13-0eaa-5a72-85d0-4303addd3681,tg:lhps:59021,VisualContent,1,4262fbfb-984f-5561-b4e6-1f37493e8356,au::57480,designers,"dlod={""id"":""ark:/83110/x0/4262fbfb-984f-5561-b4e6-1f37493e8356"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/4262fbfb-984f-5561-b4e6-1f37493e8356
