ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,source_code,Dimension Source Note,Object Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
12f3a9a8-81ed-568a-8189-70363a88718d,tg:mpmph:12_#1,AA,0,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:12_#1,https://data.museumplantinmoretus.be/ark:/11975/12f3a9a8-81ed-568a-8189-70363a88718d,,
12f3a9a8-81ed-568a-8189-70363a88718d,tg:mpmph:12_#1,e22_Archives,1,isad:mpm:661,"dlod={""name"":""Max Rooses herdacht 1939"",""ark"":""ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0"",""uri"":""/repositories/10/archival_objects/225375"",""id"":""isad:mpm:661"",""nameWithContext"":[""Conservator Herman F. Bouchery"",""Tentoonstellingen en evenementen""],""resourceName"":""Archief van Museum Plantin-Moretus"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""resourceURI"":""/repositories/10/resources/2910"",""resourceID"":""isad:mpm:572"",""capacity"":""Max Rooses herdacht 1939"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0,,,,,,,,,,,,
12f3a9a8-81ed-568a-8189-70363a88718d,tg:mpmph:12_#1,e22_DimensionSourceNotes,1,,,,kenmerken.mpmformatph,,,,175 x 234,"175 x 234 - height, width, kenmerken.mpmformatph",,,,,,
12f3a9a8-81ed-568a-8189-70363a88718d,tg:mpmph:12_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,175,hoogte,millimeter,,,,,,,,
12f3a9a8-81ed-568a-8189-70363a88718d,tg:mpmph:12_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,234,breedte,millimeter,,,,,,,,
12f3a9a8-81ed-568a-8189-70363a88718d,tg:mpmph:12_#1,e22_ObjectTypes,1,,,,kenmerken.mpmtypeph,,,,ZP,,black-and-white photographs,,,,,
12f3a9a8-81ed-568a-8189-70363a88718d,tg:mpmph:12_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1939,permission required
1615bb8e-58e5-5cb1-b72e-16386b716fed,tg:mpmph:15_#1,AA,0,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:15_#1,https://data.museumplantinmoretus.be/ark:/11975/1615bb8e-58e5-5cb1-b72e-16386b716fed,,
1615bb8e-58e5-5cb1-b72e-16386b716fed,tg:mpmph:15_#1,e22_Archives,1,isad:mpm:661,"dlod={""name"":""Max Rooses herdacht 1939"",""ark"":""ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0"",""uri"":""/repositories/10/archival_objects/225375"",""id"":""isad:mpm:661"",""nameWithContext"":[""Conservator Herman F. Bouchery"",""Tentoonstellingen en evenementen""],""resourceName"":""Archief van Museum Plantin-Moretus"",""resourceArk"":""ark:/11975/x0/373dd14a-a9b1-590c-a247-2fa8e5e2bb84"",""resourceURI"":""/repositories/10/resources/2910"",""resourceID"":""isad:mpm:572"",""capacity"":""Max Rooses herdacht 1939"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/64cccfd7-23b3-58cd-b3c6-790a88a1b0a0,,,,,,,,,,,,
1615bb8e-58e5-5cb1-b72e-16386b716fed,tg:mpmph:15_#1,e22_DimensionSourceNotes,1,,,,kenmerken.mpmformatph,,,,94 x 153,"94 x 153 - height, width, kenmerken.mpmformatph",,,,,,
1615bb8e-58e5-5cb1-b72e-16386b716fed,tg:mpmph:15_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,94,hoogte,millimeter,,,,,,,,
1615bb8e-58e5-5cb1-b72e-16386b716fed,tg:mpmph:15_#1,e22_Dimensions,,,,,kenmerken.mpmformatph,153,breedte,millimeter,,,,,,,,
1615bb8e-58e5-5cb1-b72e-16386b716fed,tg:mpmph:15_#1,e22_ObjectTypes,1,,,,kenmerken.mpmtypeph,,,,ZP,,black-and-white photographs,,,,,
1615bb8e-58e5-5cb1-b72e-16386b716fed,tg:mpmph:15_#1,e22_UsageRestrictions,,,,,id/date,,,,,,,,,,1939,permission required
275be32b-b9df-5001-b75c-a275b2fd2fd6,tg:mpmph:13_#1,AA,0,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:13_#1,https://data.museumplantinmoretus.be/ark:/11975/275be32b-b9df-5001-b75c-a275b2fd2fd6,,
