ResourceID,brocade.id,card,order,Production Technique Type
2ca4f09a-199b-52fc-813d-6b117f4a0983,tg:rubgr:2075,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
a1ecc2f9-3753-5ab4-a5e9-b2f2e734bee6,tg:rubgr:2649,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
f715bcfd-faf9-5f78-9baa-551d4a990414,tg:rubgr:953,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
449468cf-8bb0-5fb9-8d6c-c0f46d0b9883,tg:rubgr:2167,ProductionTechniques,1,dtrvnt NOT FOUND IN: technique_types.csv
449468cf-8bb0-5fb9-8d6c-c0f46d0b9883,tg:rubgr:2167,ProductionTechniques,2,dtrvfo NOT FOUND IN: technique_types.csv
443d95f3-e455-5e8a-8463-56421a30fb26,tg:rubgr:3326,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
e47c3249-7620-578a-a233-18d69d472267,tg:rubgr:2472,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
1fe0af91-d0d6-5d5c-a2eb-ad5ec544a1c9,tg:rubgr:2188,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
9b74ed7c-f590-58fb-b5df-1583dd0b6621,tg:rubgr:3330,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
b7769732-1102-575a-97b1-9f9e27c2732d,tg:rubgr:2171,ProductionTechniques,1,dtrvnt NOT FOUND IN: technique_types.csv
b7769732-1102-575a-97b1-9f9e27c2732d,tg:rubgr:2171,ProductionTechniques,2,dtrvfo NOT FOUND IN: technique_types.csv
5c211aea-0282-5bfd-b7ca-2eb8189a8b05,tg:rubgr:2576,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
031756e2-6d4a-5915-b5db-a9235abdbddc,tg:rubgr:3388,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
a92134b5-0ae2-5049-83e8-8a59785c8357,tg:rubgr:2433,ProductionTechniques,1,dtrvnt NOT FOUND IN: technique_types.csv
a92134b5-0ae2-5049-83e8-8a59785c8357,tg:rubgr:2433,ProductionTechniques,2,dtrvre NOT FOUND IN: technique_types.csv
a92134b5-0ae2-5049-83e8-8a59785c8357,tg:rubgr:2433,ProductionTechniques,3,dtrvfo NOT FOUND IN: technique_types.csv
fb224144-3e5f-5edb-ba90-a21e0a17a872,tg:rubgr:2063,ProductionTechniques,1,dtrvnt NOT FOUND IN: technique_types.csv
fb224144-3e5f-5edb-ba90-a21e0a17a872,tg:rubgr:2063,ProductionTechniques,2,dtrvfo NOT FOUND IN: technique_types.csv
245a391c-8e42-5d2a-a333-6f48ee5cd7b1,tg:rubgr:2448,ProductionTechniques,1,dtrvnt NOT FOUND IN: technique_types.csv
245a391c-8e42-5d2a-a333-6f48ee5cd7b1,tg:rubgr:2448,ProductionTechniques,2,dtrvfo NOT FOUND IN: technique_types.csv
4385a282-15f2-5400-88c0-ca2fa0d76a88,tg:rubgr:4965,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
0dd33f22-6022-54eb-b09e-eaa4186c4846,tg:rubgr:1321,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
708ed429-392e-5eca-8a18-65eae43c07fe,tg:rubgr:1399,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
708ed429-392e-5eca-8a18-65eae43c07fe,tg:rubgr:1399,ProductionTechniques,2,dtrvnt NOT FOUND IN: technique_types.csv
3f4882e7-2156-50ad-a957-b12c1adb704d,tg:rubgr:2673,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
9e196bb0-7f75-5a56-a23b-051cb2a474b6,tg:rubgr:2736,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
1c79fab5-84da-5f36-b982-24f79a4e6dd9,tg:rubgr:2366,ProductionTechniques,1,dtrvnt NOT FOUND IN: technique_types.csv
1c79fab5-84da-5f36-b982-24f79a4e6dd9,tg:rubgr:2366,ProductionTechniques,2,dtrvfo NOT FOUND IN: technique_types.csv
8af96a7d-dbb6-5d8c-b5ca-d61f1279d7c3,tg:rubgr:2059,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
ecd10fbe-04eb-5005-805b-d8ef18e05da3,tg:rubgr:2235,ProductionTechniques,1,dtrvif NOT FOUND IN: technique_types.csv
97af1d09-fbb7-5c75-8de1-d3c5976d1574,tg:rubgr:586,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
85442c1e-b453-5a1d-a2f2-0706d61b5df0,tg:rubgr:752,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
cf465dec-4dd5-5e28-bd54-34d0c63c6789,tg:rubgr:181,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
043475a8-e637-52ef-904f-63521481bc6f,tg:rubgr:2262,ProductionTechniques,1,dtrvfo NOT FOUND IN: technique_types.csv
