ResourceID,brocade.id,card,order,kenmerken.rubobjnrgr,isaad,Related Archive Identifier
1c79fab5-84da-5f36-b982-24f79a4e6dd9,tg:rubgr:2366,RelatedArchives,2,AFG_050,isad:rub:2980,https://data.rubenianum.be/ead/ark:/86530/ad45d758-1188-59d2-96d1-05c4bf9790c9
31c8eee5-d8d9-5bbe-b4df-9b6b073f0838,tg:rubgr:4787,RelatedArchives,2,AFG_125,isad:rub:3047,https://data.rubenianum.be/ead/ark:/86530/6835f5d5-a1be-5bc9-ab80-0bb8f1c33086
b41619e2-542f-54ae-8c07-e343aa17f7ca,tg:rubgr:4476,RelatedArchives,2,AFG_021,isad:rub:2951,https://data.rubenianum.be/ead/ark:/86530/c35447a0-a6ac-5ce4-aa37-3d560680432e
ada0f3ea-52a4-5de6-bde5-910d69adf19e,tg:rubgr:2377,RelatedArchives,2,AFG_009,isad:rub:2939,https://data.rubenianum.be/ead/ark:/86530/27a57e60-280a-5f8f-9a79-de721fa9a643
2f740096-4fcd-5b8f-8fc5-6aa789509a1b,tg:rubgr:1326,RelatedArchives,2,AFG_083,isad:rub:3013,https://data.rubenianum.be/ead/ark:/86530/b4466abb-bae2-5a1c-9645-36e3140a907c
62a18e27-4942-5e62-8349-628c609a730e,tg:rubgr:3301,RelatedArchives,2,AFG_011,isad:rub:2941,https://data.rubenianum.be/ead/ark:/86530/b397447c-8770-536c-aeec-58bab2d5c771
c4e4d9cb-f698-5d91-a7d9-3ac9b9c863b8,tg:rubgr:2378,RelatedArchives,2,AFG_009,isad:rub:2939,https://data.rubenianum.be/ead/ark:/86530/27a57e60-280a-5f8f-9a79-de721fa9a643
07aed2ec-fdbe-5ba6-9a16-08d4e656671f,tg:rubgr:4310,RelatedArchives,2,AFG_003,isad:rub:2933,https://data.rubenianum.be/ead/ark:/86530/198948e1-0623-5404-9a6f-d2e0aeec0bbe
4d7fe1c5-01ec-59ed-a087-5726bab1f73b,tg:rubgr:4015,RelatedArchives,2,AFG_005,isad:rub:2935,https://data.rubenianum.be/ead/ark:/86530/d2d2d9a8-fa87-5149-ab64-a4631a2680a3
1b592d00-21b3-5f2c-960a-602561c351d0,tg:rubgr:2084,RelatedArchives,2,AFG_041,isad:rub:2971,https://data.rubenianum.be/ead/ark:/86530/82a5d593-b715-5f6c-bc85-7abbdc74cabd
7ff44e61-e01f-5e16-ba7f-dffec65b46ff,tg:rubgr:3400,RelatedArchives,2,AFG_046,isad:rub:2976,https://data.rubenianum.be/ead/ark:/86530/39fe3e06-d693-52bb-9a06-bfb7d2903f6d
dabf88e3-ea8f-5b95-a6f9-308aedd28788,tg:rubgr:2174,RelatedArchives,2,AFG_039,isad:rub:2969,https://data.rubenianum.be/ead/ark:/86530/1a0741cb-5346-52b8-bb5e-5f8dc9f5e753
68c96a1d-6e16-55f9-b38e-aa29a07ff7dd,tg:rubgr:2375,RelatedArchives,2,AFG_019,isad:rub:2949,https://data.rubenianum.be/ead/ark:/86530/a2831777-5bc3-554f-9665-14ef4be7053d
be34e0a0-c71d-540f-93a2-08cf7251017d,tg:rubgr:2574,RelatedArchives,2,AFG_046,isad:rub:2976,https://data.rubenianum.be/ead/ark:/86530/39fe3e06-d693-52bb-9a06-bfb7d2903f6d
c8a69b94-fe29-5607-8b04-ba7cb219a936,tg:rubgr:2295,RelatedArchives,2,AFG_038,isad:rub:2968,https://data.rubenianum.be/ead/ark:/86530/9c66368b-a660-5150-9048-5921fe7fd360
2e8255db-80f3-551d-86a3-09dca678188a,tg:rubgr:2304,RelatedArchives,2,AFG_044,isad:rub:2974,https://data.rubenianum.be/ead/ark:/86530/b9be9768-7480-5e92-a83e-1208dfd73c6c
282c2ac7-eb0a-5378-9852-b706fa79a949,tg:rubgr:862,RelatedArchives,2,AFG_041,isad:rub:2971,https://data.rubenianum.be/ead/ark:/86530/82a5d593-b715-5f6c-bc85-7abbdc74cabd
6cdf19b3-066b-5698-ab61-c22938999f31,tg:rubgr:2164,RelatedArchives,2,AFG_011,isad:rub:2941,https://data.rubenianum.be/ead/ark:/86530/b397447c-8770-536c-aeec-58bab2d5c771
64801985-58bf-5aee-a28b-cf1cc6b0015b,tg:rubgr:2467,RelatedArchives,2,AFG_070,isad:rub:3000,https://data.rubenianum.be/ead/ark:/86530/188838af-4862-518c-a70b-b5b71880fffe
