Object Number,Record Type,URL,ResourceID,Reference Number,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:rubgr:2075,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2075/N,2ca4f09a-199b-52fc-813d-6b117f4a0983,BE-ANN14/gr/000002075,Rubenianum,https://data.rubenianum.be//ark:/86530/2ca4f09a-199b-52fc-813d-6b117f4a0983,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2649,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2649/N,a1ecc2f9-3753-5ab4-a5e9-b2f2e734bee6,BE-ANN14/gr/000002649,Rubenianum,https://data.rubenianum.be//ark:/86530/a1ecc2f9-3753-5ab4-a5e9-b2f2e734bee6,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:953,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:953/N,f715bcfd-faf9-5f78-9baa-551d4a990414,BE-ANN14/gr/000000953,Rubenianum,https://data.rubenianum.be//ark:/86530/f715bcfd-faf9-5f78-9baa-551d4a990414,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2167,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2167/N,449468cf-8bb0-5fb9-8d6c-c0f46d0b9883,BE-ANN14/gr/000002167,Rubenianum,https://data.rubenianum.be//ark:/86530/449468cf-8bb0-5fb9-8d6c-c0f46d0b9883,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3326,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3326/N,443d95f3-e455-5e8a-8463-56421a30fb26,BE-ANN14/gr/000003326,Rubenianum,https://data.rubenianum.be//ark:/86530/443d95f3-e455-5e8a-8463-56421a30fb26,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2472,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2472/N,e47c3249-7620-578a-a233-18d69d472267,BE-ANN14/gr/000002472,Rubenianum,https://data.rubenianum.be//ark:/86530/e47c3249-7620-578a-a233-18d69d472267,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2188,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2188/N,1fe0af91-d0d6-5d5c-a2eb-ad5ec544a1c9,BE-ANN14/gr/000002188,Rubenianum,https://data.rubenianum.be//ark:/86530/1fe0af91-d0d6-5d5c-a2eb-ad5ec544a1c9,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:3330,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:3330/N,9b74ed7c-f590-58fb-b5df-1583dd0b6621,BE-ANN14/gr/000003330,Rubenianum,https://data.rubenianum.be//ark:/86530/9b74ed7c-f590-58fb-b5df-1583dd0b6621,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2171,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2171/N,b7769732-1102-575a-97b1-9f9e27c2732d,BE-ANN14/gr/000002171,Rubenianum,https://data.rubenianum.be//ark:/86530/b7769732-1102-575a-97b1-9f9e27c2732d,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:rubgr:2576,Objecten archief Grossmann,https://anet.be/record/opacrubobj/tg:rubgr:2576/N,5c211aea-0282-5bfd-b7ca-2eb8189a8b05,BE-ANN14/gr/000002576,Rubenianum,https://data.rubenianum.be//ark:/86530/5c211aea-0282-5bfd-b7ca-2eb8189a8b05,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
