ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier
22a58008-ac46-5798-818b-c310f25446e0,tg:mpmbr:1130,e73_CreationActors,1,7e42ba19-e39b-58c3-ae94-e5a49268569b,au::113582,correspondents (correspondence writers),,"dlod={""name"":""Levinus Vincent"",""ark"":""ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b"",""uri"":""/agents/people/90384"",""id"":""au::113582"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b
22a58008-ac46-5798-818b-c310f25446e0,tg:mpmbr:1130,e73_CreationActors,2,b2f29277-6de2-5f8d-9e92-b2499eaf326d,au::113585,correspondents (correspondence writers),,"dlod={""name"":""Ysbrand Vincent"",""ark"":""ark:/83110/x0/b2f29277-6de2-5f8d-9e92-b2499eaf326d"",""uri"":""/agents/people/64869"",""id"":""au::113585"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b2f29277-6de2-5f8d-9e92-b2499eaf326d
22a58008-ac46-5798-818b-c310f25446e0,tg:mpmbr:1130,e73_CreationActors,3,c168acff-a59e-552b-9822-11b3f97f4b55,au::108419,recipients (people),,"dlod={""name"":""Anna Goos"",""ark"":""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""uri"":""/agents/people/51277"",""id"":""au::108419"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55
04d48f6d-a553-56b5-92c6-bf6876ff1b4b,tg:mpmbr:598,e73_CreationActors,1,56bc227b-cbb8-5cb4-9e7f-8b04702707ec,au::107473,correspondents (correspondence writers),,"dlod={""name"":""Philippe Chifflet"",""ark"":""ark:/83110/x0/56bc227b-cbb8-5cb4-9e7f-8b04702707ec"",""uri"":""/agents/people/89823"",""id"":""au::107473"",""nameWithContext"":[""Philippe Chiflet""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/56bc227b-cbb8-5cb4-9e7f-8b04702707ec
04d48f6d-a553-56b5-92c6-bf6876ff1b4b,tg:mpmbr:598,e73_CreationActors,2,9f62622e-af8f-5120-8bb2-771de1268484,au::106908,recipients (people),,"dlod={""name"":""Balthasar I Moretus"",""ark"":""ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484"",""uri"":""/agents/people/54490"",""id"":""au::106908"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9f62622e-af8f-5120-8bb2-771de1268484
e687756a-1c8c-551e-b0fb-6c08b0ae577e,tg:mpmbr:1048,e73_CreationActors,1,7e42ba19-e39b-58c3-ae94-e5a49268569b,au::113582,correspondents (correspondence writers),,"dlod={""name"":""Levinus Vincent"",""ark"":""ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b"",""uri"":""/agents/people/90384"",""id"":""au::113582"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b
e687756a-1c8c-551e-b0fb-6c08b0ae577e,tg:mpmbr:1048,e73_CreationActors,2,b2f29277-6de2-5f8d-9e92-b2499eaf326d,au::113585,correspondents (correspondence writers),,"dlod={""name"":""Ysbrand Vincent"",""ark"":""ark:/83110/x0/b2f29277-6de2-5f8d-9e92-b2499eaf326d"",""uri"":""/agents/people/64869"",""id"":""au::113585"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b2f29277-6de2-5f8d-9e92-b2499eaf326d
e687756a-1c8c-551e-b0fb-6c08b0ae577e,tg:mpmbr:1048,e73_CreationActors,3,c168acff-a59e-552b-9822-11b3f97f4b55,au::108419,recipients (people),,"dlod={""name"":""Anna Goos"",""ark"":""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""uri"":""/agents/people/51277"",""id"":""au::108419"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55
9e91f775-0904-5585-b362-570ab5b372a5,tg:mpmbr:31,e73_CreationActors,1,6a434844-7a4e-5dae-8fa3-45ab9b0334a8,au::108981,correspondents (correspondence writers),,"dlod={""name"":""Lotichius \u0026 Meyer"",""ark"":""ark:/83110/x0/6a434844-7a4e-5dae-8fa3-45ab9b0334a8"",""uri"":""/agents/corporate_entities/22364"",""id"":""au::108981"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/6a434844-7a4e-5dae-8fa3-45ab9b0334a8
9e91f775-0904-5585-b362-570ab5b372a5,tg:mpmbr:31,e73_CreationActors,2,1d72047c-ad3e-5e48-ae1a-7ec2c8af3169,au::108463,recipients (people),,"dlod={""name"":""Joannes Jacobus Moretus"",""ark"":""ark:/83110/x0/1d72047c-ad3e-5e48-ae1a-7ec2c8af3169"",""uri"":""/agents/people/94260"",""id"":""au::108463"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1d72047c-ad3e-5e48-ae1a-7ec2c8af3169
f4b540b0-7892-55b3-8543-47493244a9fa,tg:mpmbr:1120,e73_CreationActors,1,b2f29277-6de2-5f8d-9e92-b2499eaf326d,au::113585,correspondents (correspondence writers),,"dlod={""name"":""Ysbrand Vincent"",""ark"":""ark:/83110/x0/b2f29277-6de2-5f8d-9e92-b2499eaf326d"",""uri"":""/agents/people/64869"",""id"":""au::113585"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b2f29277-6de2-5f8d-9e92-b2499eaf326d
f4b540b0-7892-55b3-8543-47493244a9fa,tg:mpmbr:1120,e73_CreationActors,2,7e42ba19-e39b-58c3-ae94-e5a49268569b,au::113582,correspondents (correspondence writers),,"dlod={""name"":""Levinus Vincent"",""ark"":""ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b"",""uri"":""/agents/people/90384"",""id"":""au::113582"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7e42ba19-e39b-58c3-ae94-e5a49268569b
f4b540b0-7892-55b3-8543-47493244a9fa,tg:mpmbr:1120,e73_CreationActors,3,c168acff-a59e-552b-9822-11b3f97f4b55,au::108419,recipients (people),,"dlod={""name"":""Anna Goos"",""ark"":""ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55"",""uri"":""/agents/people/51277"",""id"":""au::108419"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c168acff-a59e-552b-9822-11b3f97f4b55
62f765f5-048a-5ea9-8e60-ea199cf30104,tg:mpmbr:21,e73_CreationActors,1,7f996130-10f3-540e-9cbc-c131aa3a5f75,au::108458,correspondents (correspondence writers),,"dlod={""name"":""Franciscus Joannes Moretus"",""ark"":""ark:/83110/x0/7f996130-10f3-540e-9cbc-c131aa3a5f75"",""uri"":""/agents/people/52202"",""id"":""au::108458"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7f996130-10f3-540e-9cbc-c131aa3a5f75
