brocade.id,ResourceID,card,order,Comment,if.user,Legacy Comment Type
tg:mpmak:76,7868fa85-f20b-5104-8780-af682c5f4901,Users,1,Verwerving: veiling nummer 52 van veilinghuis The Romantic Agony op 22 november 2013 (lot 364/2),kselle,commentaar gebruiker
tg:mpmak:87,ec26d06d-411a-514f-867d-712b9bdf9532,Users,1,"Deze akte wordt in de Kluis bewaard in de doos met de gevlakte privileges.
KS_20150624",kselle,commentaar gebruiker
tg:mpmak:96,f5c777c2-b746-58c7-b637-0d43faaa684c,Users,1,De datum werd op de versozijde door Tessaro met de hand geschreven,kselle,commentaar gebruiker
tg:mpmak:81,1f6cb453-1415-58f6-b857-980d4e2162d5,Users,1,"Datering door H.D.L. Vervliet afgeleid van het overlijden van senior letterzetter Cornelis Kiel (Kilianus) in 1607. Vervliet argumenteert dat Jan I Moretus toen de noodzaak vond om de instructies voor de letterzetters neer te schrijven.   
KS_20150408",kselle,commentaar gebruiker
tg:mpmak:81,1f6cb453-1415-58f6-b857-980d4e2162d5,Users,2,"Niet in M. Sabbe, De Plantijnsche werkstede",kselle,commentaar gebruiker
tg:mpmre:512,4e85823a-f0b7-5c96-bfeb-79537f700758,Users,1,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",kselle,commentaar gebruiker
tg:mpmre:338,b20f6ead-5ae1-50d3-9810-6d0c452340f9,Users,1,Dit journaal werd per vergissing als 'Rr' gesigneerd in plaats van 'Qq' <br>KS_20150325,kselle,commentaar gebruiker
tg:mpmre:302,bc0baeea-451e-527d-8171-19c55d7e4737,Users,1,"Arch. 1265.2 wordt niet in de kluis bewaard maar in een doos op de archiefzolder. Dit archiefstuk is in uiterst slechte staat, en kan geen frequente raadpleging doorstaan.   
KS_20150130

Inmiddels wordt het bij het overige Plantijns Archief in Depot 10 bewaard op volgnummer 1265.2 (zie legbord 10-R-5-B)
KS_20170110",kselle,commentaar gebruiker
tg:mpmre:508,3ac73ff2-72f5-5146-a128-27e41fbe913f,Users,1,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",kselle,commentaar gebruiker
tg:mpmre:499,6313c57a-a7a1-5cee-8fef-23bca91bd29d,Users,1,"Alfabetische index ontbreekt   
KS_20151008",kselle,commentaar gebruiker
tg:mpmre:513,d91311fa-f48a-58dd-9345-45b566cc4051,Users,1,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",kselle,commentaar gebruiker
tg:mpmre:514,583bf403-e321-55fa-8d55-8d3ee03c8ff8,Users,1,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",kselle,commentaar gebruiker
tg:mpmre:515,673b411d-5450-5ebf-a545-8fae046af2ef,Users,1,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",kselle,commentaar gebruiker
tg:mpmre:259,4ec42947-f8eb-58bd-8acd-715ee5857b6b,Users,1,"Datering aan de hand van een notitie op de rectozijde van de laatste folio: """"Betlen Gaber vorst van Sevenberg is koninc van Hongarien gecront den 15 sept. 1619 [...]""""  
KS_20141022",kselle,commentaar gebruiker
tg:mpmre:516,2603deee-43c4-5a59-84f7-1ee1f158f6ae,Users,1,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",kselle,commentaar gebruiker
tg:mpmre:297,0dcb1b3f-a8c1-51c8-b77a-8f7d7985d4b5,Users,1,"Datering: op de versozijde van de laatste folio werd genoteerd """"Hendric Dulcken in Freyborgh is doot"""". De uitgever Heinrich von Dulcken overleed in 1621, want vanaf dat jaar verschijnen zijn erfgenamen in het impressum.
KS_20141106",kselle,commentaar gebruiker
tg:mpmre:300,ef9302c3-34b9-53d4-86c9-08f7f70500f9,Users,1,"Bevat boekbestellingen voor Joannes Woverius en Peter Paul Rubens
KS_20141107",kselle,commentaar gebruiker
tg:mpmre:506,632c4482-4e57-5877-9b23-72b0c75d7401,Users,1,"Herkomst: de prijslijst werd samen met 9 gelijkaardige prijslijsten in januari 2016 in de Erfgoedbibliotheek Hendrik Conscience aangetroffen tussen de papieren van de Antwerpse antiquaar Jan Baptist Schoepen (overleden in 1914). 
KS_20170113",kselle,commentaar gebruiker
tg:mpmre:455,21ec9af5-53f0-515f-9f55-a83ed27d4420,Users,1,"De archiefvormer heeft dit register eigenhandig gefolieerd (met uitzondering van de index) van fol. 1 tot en met fol. 18 [recto]. Nadien heeft een archivaris in potlood verder gepagineerd van p. 19 [= fol. 18 verso] tot het einde. Bijgevolg wordt de contemporaine foliëring afgewisseld door een moderne paginering.
KS_20150618",kselle,commentaar gebruiker
