ResourceID,card,order,source_field,Description,Description Type,Description Language
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,Descriptions,1,id.title/subTitle,Privilege toegekend door de Raad van Brabant aan Hubert Bincken voor het drukken van een viertal boeken voor de periode van 9 jaar,descriptive note,Nederlands
daadc3e8-0f68-5054-bc39-ad4b3996b2a4,Descriptions,1,note.mpmcontent,"Privilege toegekend voor:   
* Christelijcke onderwijsinge ende gebeden getrocken uijt de H. Schrifture    
* Fondamenten oft Grondt regels om [...] de nederduytsche spelkonst [...] te leeren   
* Koopmans gerief oft Comptoir almanach voor het jaar 1757 (in octavo longo en sextodecimo)   
* De cathechismus oft Christelijcke leeringe gedeijlt in vijf deelen ende 41 lessen",detailbeschrijving,Nederlands
1d9df6f8-63c7-534b-ac8c-e78603455e2d,Descriptions,1,note.mpmcontent,Afrekening van de huur van de winkel in Frankfurt,detailbeschrijving,Nederlands
2dd83a6e-6d3f-583c-b49a-c2a5aa7eff9a,Descriptions,1,id.title/subTitle,Ordonnantie van de Plantijnse drukkerij inzake het gebruik van vuur en licht,descriptive note,Nederlands
fc579b29-8d1b-5c17-86a3-ff3a621e40e2,Descriptions,1,id.title/subTitle,Statuten van de ziekenbus met lijst van ondertekenaars,descriptive note,Nederlands
110a609e-10ce-5b9a-9f0c-46a6429730a6,Descriptions,1,note.mpmcontent,Bevat aantekeningen van Tessaro inzake de verkoop van de aangekochte kaarten,detailbeschrijving,Nederlands
f388254e-8f40-5546-ad24-9310bcb73dd7,Descriptions,1,id.title/subTitle,Uittreksel van de openstaande schulden uit het grootboek van boekhandelaren,descriptive note,Nederlands
ee2776b8-9a6c-5094-a710-c7449ca5d9d1,Descriptions,1,id.title/subTitle,Ordonnantie van de Plantijnse drukkerij inzake het gebruik van vuur en licht,descriptive note,Nederlands
7868fa85-f20b-5104-8780-af682c5f4901,Descriptions,1,id.desc,"Rekest van de vennoten van de katoendrukkerij van Dambrugge aan Karel Alexander van Lotharingen, gouverneur-generaal van de Oostenrijkse Nederlanden, inzake de vrijwaring van het octrooi van de katoendrukkerij tegen concurrentie uit het graafschap Vlaanderen",descriptive note,Nederlands
bb17c032-6f60-5f0b-912e-e40b04b34c92,Descriptions,1,id.title/subTitle,Ordonnantie van de Plantijnse drukkerij,descriptive note,Nederlands
ac89b905-ef82-5bfc-950d-f73dfc3f418b,Descriptions,1,id.desc,"Incipit: """"Tauxatie, weirdatie ende prisatie van alle ende igelijcke de naerbes. landerijen boomghaerde hoff ende andere plantagien op de straete gedaen ten versoecke ende requisitie van d'erffgen. wijlen dhr. Borrekens gelegen aen hunne hoove alhier inde Biest, ende dat door Anthoni de Moor ende Peeter Verhooven schepenen in Eeckeren dese 28e maij 1693",descriptive note,Nederlands
d71c5094-f7f7-5c7b-ab12-f0ef129a81a3,Descriptions,1,note.mpmcontent,"De rectozijde bevat het afschrift van de rekening-courant voor de weduwe Cossée (geboren M.P. De Pestre), de versozijde het afschrift van de rekening-courant voor Julien De Pestre",detailbeschrijving,Nederlands
5652dd86-752e-542e-b882-a71c4178234e,Descriptions,1,id.title/subTitle,Ordonnantie van de Plantijnse drukkerij,descriptive note,Nederlands
b53c42cd-4ff0-5756-8452-1bee8457fa4b,Descriptions,1,id.title/subTitle,Ordonnantie van de Plantijnse drukkerij,descriptive note,Nederlands
780ee72b-6eff-5922-aa06-2fa85a3019b6,Descriptions,1,id.desc,Huisreglement voor de winkelbedienden van de Officina Plantiniana met de taakomschrijving van individuele winkelbedienden,descriptive note,Nederlands
780ee72b-6eff-5922-aa06-2fa85a3019b6,Descriptions,1,id.title/subTitle,Ordonnantie van de winkel van de Plantijnse drukkerij,descriptive note,Nederlands
