ResourceID,brocade.id,card,order,source_field,source_code,Production Technique Type
29a5765d-c27b-5dcc-9020-7603e2a6298e,tg:mpmhs:16,ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
05c05da3-4bc9-5343-88c1-6a001c71f309,tg:mpmhs:17,ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
f0a4848b-045b-5d4d-b2c9-4c610e879c8d,tg:mpmhs:21,ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
ca611d4c-0879-507c-9fb5-cfa09473b589,tg:mpmhs:11,ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
f8b7b1ed-a514-5f22-91db-7bd02cf3eb4d,tg:mpmhs:13,ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
418866a0-b4df-51de-b65a-8bc2d58a500a,tg:mpmhs:22,ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
c3ecaee8-4355-5b38-85ac-4c962caff834,tg:mpmhs:18,ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
148126fe-3486-5bcf-9ce6-a3d1d720fc4c,tg:mpmhs:15,ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
588f5ab2-de21-5d1b-a053-b17037754797,tg:mpmhs:5,ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
74e4fbd4-f5ce-5b26-957c-12628a06f61f,tg:mpmhs:19,ProductionTechniques,1,kenmerken.mpmstadiumhs,hs,handwriting
