Object Number,Record Type,URL,ResourceID,Reference Number,Carrier Type,Transcription ID,Status,Access Type,Keeper,Object Identifier,Transcription URL,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:mpmak:115,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:115/N,c226f9f9-3d05-5498-86f3-b5cc7a581880,BE-ANN00/ak/000000103,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/c226f9f9-3d05-5498-86f3-b5cc7a581880,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:284,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:284/N,d3bc780d-7e26-55fa-8e90-54ee7fb8785e,BE-ANN00/ak/000000272,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/d3bc780d-7e26-55fa-8e90-54ee7fb8785e,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:142,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:142/N,68cb4d36-8a18-5160-b5c2-6efcecf21aa8,BE-ANN00/ak/000000130,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/68cb4d36-8a18-5160-b5c2-6efcecf21aa8,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:292,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:292/N,628846c9-1bbe-58e7-9717-8c55945f7d70,BE-ANN00/ak/000000280,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/628846c9-1bbe-58e7-9717-8c55945f7d70,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:338,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:338/N,54294c9c-44af-5be1-9495-a7d7a1e3ec6d,BE-ANN00/ak/000000326,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/54294c9c-44af-5be1-9495-a7d7a1e3ec6d,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:154,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:154/N,869e1271-adff-515c-a7a1-ac43980f91bc,BE-ANN00/ak/000000142,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/869e1271-adff-515c-a7a1-ac43980f91bc,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:103,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:103/N,b44c89c3-67ca-58b3-9e04-fb79b19c0eb4,BE-ANN00/ak/000000092,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/b44c89c3-67ca-58b3-9e04-fb79b19c0eb4,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:251,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:251/N,9bb64f12-75e6-5a21-b9c2-cbefe1ce7fd1,BE-ANN00/ak/000000239,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/9bb64f12-75e6-5a21-b9c2-cbefe1ce7fd1,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:314,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:314/N,30a919d4-f41d-54af-a3e5-941367e55751,BE-ANN00/ak/000000302,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/30a919d4-f41d-54af-a3e5-941367e55751,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:mpmak:197,Akten,https://anet.be/record/opacmpmobj/tg:mpmak:197/N,c059022a-13c3-5978-ae98-a89146bc953f,BE-ANN00/ak/000000185,paper (fiber product),,,,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/c059022a-13c3-5978-ae98-a89146bc953f,,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
