ResourceID,brocade.id,card,order,source_field,Title,Title Type,Title Language
7b6020e0-ecc5-5198-858b-56b57128ddea,tg:lhpr:10296,Titles,1,id.title/ti,Rhythmen,titles proper,Dutch (language)
aea75451-56ff-528a-b29b-45241e69ebdd,tg:lhpr:3782,Titles,1,id.title/ti,De wandelende Jood,titles proper,Dutch (language)
1187a265-8a8c-5566-b13c-dd45755f42e2,tg:lhpr:10297,Titles,1,id.title/ti,Vrouw aan naaimachien,titles proper,Dutch (language)
25e1c049-3a5f-5a00-98d2-941021ebb951,tg:lhpr:6909,Titles,1,id.title/ti,Les Fètes Conscience.,titles proper,Dutch (language)
4fb5affc-6d1b-5915-b00d-c8348119a89a,tg:lhpr:10272,Titles,1,id.title/ti,Femme de Bar,titles proper,Dutch (language)
c7c82dfb-8b97-5328-941a-231a8acf9a64,tg:lhpr:4344,Titles,1,id.title/ti,Europa Hotel. 3 bedrijven door Lode Baekelmans.<br>Omslagillustratie,titles proper,Dutch (language)
7e2fad21-78ef-588f-a055-f47542a37e3f,tg:lhpr:3481,Titles,1,id.title/ti,Illustratie van Lijmen en Het Been van Willem Elsschot,titles proper,Dutch (language)
60d901ba-2aa9-58f1-a234-92985d644d59,tg:lhpr:4145,Titles,1,id.title/ti,Stadszicht,titles proper,Dutch (language)
163660dc-2c72-51d6-8601-762af081e1c0,tg:lhpr:10318,Titles,1,id.title/ti,De orde regeert / L'ordre règne,titles proper,Dutch (language)
9542356b-2c3c-50cd-a2f4-cd031abf3674,tg:lhpr:10267,Titles,1,id.title/ti,De bezem erin,titles proper,Dutch (language)
4b18b7a3-d900-5f2a-a219-e405b05134c2,tg:lhpr:5582,Titles,1,id.title/ti,Vlaemsche School / Tydschrift voor alle Menschen /5d Jaergang 1ste aflevering carnaval 1859 / uitgegeven door J. Leroi,titles proper,Dutch (language)
ebbbe1a8-11ad-570d-94a0-db2ef1591fbe,tg:lhpr:10303,Titles,1,id.title/ti,Vlaamse leeuw boycot Hitler,titles proper,Dutch (language)
ddb7a230-c7b2-50af-8856-f5108772f509,tg:lhpr:10345,Titles,1,id.title/ti,Landschap (Papenkasteel),titles proper,Dutch (language)
6c691d5e-5663-5421-b6e5-e704218f0b76,tg:lhpr:10344,Titles,1,id.title/ti,Landschap (Papenkasteel),titles proper,Dutch (language)
