Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card
tg:lhpr:2921,Prenten,28b0692d-496b-503e-a61b-b936655cf5dc,Letterenhuis,https://data.letterenhuis.be/ark:/24970/28b0692d-496b-503e-a61b-b936655cf5dc,repository numbers,object identifier,0,AA
tg:lhpr:2521,Prenten,8d2a6941-a82d-550b-8de7-933024a6d956,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8d2a6941-a82d-550b-8de7-933024a6d956,repository numbers,object identifier,0,AA
tg:lhpr:2464,Prenten,7108dc2a-c2ce-54a7-9dfe-62eb50184757,Letterenhuis,https://data.letterenhuis.be/ark:/24970/7108dc2a-c2ce-54a7-9dfe-62eb50184757,repository numbers,object identifier,0,AA
tg:lhpr:2433,Prenten,ab25ed1c-ca5e-5e67-b5cd-b7d09d858440,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ab25ed1c-ca5e-5e67-b5cd-b7d09d858440,repository numbers,object identifier,0,AA
tg:lhpr:1589,Prenten,08b675a7-f189-57a9-9ae7-e44fdc429f9b,Letterenhuis,https://data.letterenhuis.be/ark:/24970/08b675a7-f189-57a9-9ae7-e44fdc429f9b,repository numbers,object identifier,0,AA
tg:lhpr:2761,Prenten,575b6f57-e9a6-565f-95d2-dc91d2315303,Letterenhuis,https://data.letterenhuis.be/ark:/24970/575b6f57-e9a6-565f-95d2-dc91d2315303,repository numbers,object identifier,0,AA
tg:lhpr:9300,Prenten,86df218b-3efb-5217-89bf-57bc1b86a048,Letterenhuis,https://data.letterenhuis.be/ark:/24970/86df218b-3efb-5217-89bf-57bc1b86a048,repository numbers,object identifier,0,AA
tg:lhpr:9642,Prenten,33c08e2f-6e85-5674-a301-0b182c989669,Letterenhuis,https://data.letterenhuis.be/ark:/24970/33c08e2f-6e85-5674-a301-0b182c989669,repository numbers,object identifier,0,AA
tg:lhpr:2262,Prenten,784a6994-54bc-584a-87d4-2cdea914c75b,Letterenhuis,https://data.letterenhuis.be/ark:/24970/784a6994-54bc-584a-87d4-2cdea914c75b,repository numbers,object identifier,0,AA
tg:lhpr:3541,Prenten,87f82c4e-1046-5c9d-9133-da4cf882b94f,Letterenhuis,https://data.letterenhuis.be/ark:/24970/87f82c4e-1046-5c9d-9133-da4cf882b94f,repository numbers,object identifier,0,AA
