ResourceID,brocade.id,card,order,ire.isaar.uuid,Creation ISAAR Brocade ID,Creation Actor Role,Creation Actor Widget,Creation Actor Identifier
28b0692d-496b-503e-a61b-b936655cf5dc,tg:lhpr:2921,ImmaterialContent,1,0eff90f1-ba2f-5ca6-ba52-37a9295622f0,au::21507,artists (visual artists),"dlod={""name"":""Henri Wils"",""ark"":""ark:/83110/x0/0eff90f1-ba2f-5ca6-ba52-37a9295622f0"",""uri"":""/agents/people/57382"",""id"":""au::21507"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0eff90f1-ba2f-5ca6-ba52-37a9295622f0
8d2a6941-a82d-550b-8de7-933024a6d956,tg:lhpr:2521,ImmaterialContent,1,8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76,au::14556,artists (visual artists),"dlod={""name"":""Louis Joannes Peeters"",""ark"":""ark:/83110/x0/8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76"",""uri"":""/agents/people/87707"",""id"":""au::14556"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76
7108dc2a-c2ce-54a7-9dfe-62eb50184757,tg:lhpr:2464,ImmaterialContent,1,d65a9eee-ccdf-548b-9b04-3e545d6618fe,au::11741,artists (visual artists),"dlod={""name"":""Florimond van Loo"",""ark"":""ark:/83110/x0/d65a9eee-ccdf-548b-9b04-3e545d6618fe"",""uri"":""/agents/people/82780"",""id"":""au::11741"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d65a9eee-ccdf-548b-9b04-3e545d6618fe
ab25ed1c-ca5e-5e67-b5cd-b7d09d858440,tg:lhpr:2433,ImmaterialContent,1,49a9b656-6563-571f-8508-1b4191af6cb9,au::3139,artists (visual artists),"dlod={""name"":""Gustaaf Christian de Bruyne"",""ark"":""ark:/83110/x0/49a9b656-6563-571f-8508-1b4191af6cb9"",""uri"":""/agents/people/58065"",""id"":""au::3139"",""nameWithContext"":[""Cris""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/49a9b656-6563-571f-8508-1b4191af6cb9
08b675a7-f189-57a9-9ae7-e44fdc429f9b,tg:lhpr:1589,ImmaterialContent,1,18797840-5c11-53e1-b30a-823ba91d8eb0,au::4826,artists (visual artists),"dlod={""name"":""Albert Daenens"",""ark"":""ark:/83110/x0/18797840-5c11-53e1-b30a-823ba91d8eb0"",""uri"":""/agents/people/49136"",""id"":""au::4826"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/18797840-5c11-53e1-b30a-823ba91d8eb0
575b6f57-e9a6-565f-95d2-dc91d2315303,tg:lhpr:2761,ImmaterialContent,1,a1408897-2ee0-5ba4-a1c0-0cd3884b5f19,au::15709,artists (visual artists),"dlod={""name"":""Willy van Riet"",""ark"":""ark:/83110/x0/a1408897-2ee0-5ba4-a1c0-0cd3884b5f19"",""uri"":""/agents/people/63656"",""id"":""au::15709"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/a1408897-2ee0-5ba4-a1c0-0cd3884b5f19
86df218b-3efb-5217-89bf-57bc1b86a048,tg:lhpr:9300,ImmaterialContent,1,4760982e-5ce9-5771-b79b-df46fdcb981d,au::19541,artists (visual artists),"dlod={""name"":""Piet Verhaert"",""ark"":""ark:/83110/x0/4760982e-5ce9-5771-b79b-df46fdcb981d"",""uri"":""/agents/people/49234"",""id"":""au::19541"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4760982e-5ce9-5771-b79b-df46fdcb981d
33c08e2f-6e85-5674-a301-0b182c989669,tg:lhpr:9642,ImmaterialContent,1,c693a50b-4f1e-531e-9f68-2356f68ca337,au::16286,artists (visual artists),"dlod={""name"":""Maurits Sabbe"",""ark"":""ark:/83110/x0/c693a50b-4f1e-531e-9f68-2356f68ca337"",""uri"":""/agents/people/66004"",""id"":""au::16286"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c693a50b-4f1e-531e-9f68-2356f68ca337
784a6994-54bc-584a-87d4-2cdea914c75b,tg:lhpr:2262,ImmaterialContent,1,0107425f-b841-571b-ad53-090378b16b29,au::5279,artists (visual artists),"dlod={""name"":""Joseph Demannez"",""ark"":""ark:/83110/x0/0107425f-b841-571b-ad53-090378b16b29"",""uri"":""/agents/people/76662"",""id"":""au::5279"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0107425f-b841-571b-ad53-090378b16b29
87f82c4e-1046-5c9d-9133-da4cf882b94f,tg:lhpr:3541,ImmaterialContent,1,8db20957-fce2-5c9d-93a3-d24c98f9f8f4,au::6409,artists (visual artists),"dlod={""name"":""René Ernest"",""ark"":""ark:/83110/x0/8db20957-fce2-5c9d-93a3-d24c98f9f8f4"",""uri"":""/agents/people/72889"",""id"":""au::6409"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/8db20957-fce2-5c9d-93a3-d24c98f9f8f4
7b6020e0-ecc5-5198-858b-56b57128ddea,tg:lhpr:10296,ImmaterialContent,1,18797840-5c11-53e1-b30a-823ba91d8eb0,au::4826,artists (visual artists),"dlod={""name"":""Albert Daenens"",""ark"":""ark:/83110/x0/18797840-5c11-53e1-b30a-823ba91d8eb0"",""uri"":""/agents/people/49136"",""id"":""au::4826"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/18797840-5c11-53e1-b30a-823ba91d8eb0
02c18db7-2c9c-5a65-9396-82d4bd76e8ff,tg:lhpr:2184,ImmaterialContent,1,65f2f5c3-1e70-5735-a6b6-8b6bf459d278,au::16881,artists (visual artists),"dlod={""name"":""Juliaan Severin"",""ark"":""ark:/83110/x0/65f2f5c3-1e70-5735-a6b6-8b6bf459d278"",""uri"":""/agents/people/57915"",""id"":""au::16881"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/65f2f5c3-1e70-5735-a6b6-8b6bf459d278
02c18db7-2c9c-5a65-9396-82d4bd76e8ff,tg:lhpr:2184,ImmaterialContent,3,e4bfa316-24f5-5a24-b099-92de69e3e6c8,au::16589,dedicatees,"dlod={""name"":""Ger Schmook"",""ark"":""ark:/83110/x0/e4bfa316-24f5-5a24-b099-92de69e3e6c8"",""uri"":""/agents/people/85284"",""id"":""au::16589"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e4bfa316-24f5-5a24-b099-92de69e3e6c8
77130146-fd38-5f78-b70c-c9097630c6fa,tg:lhpr:2741,ImmaterialContent,1,b24cf319-e359-5260-a8cd-8dde07790c9a,au::14591,artists (visual artists),"dlod={""name"":""Edward Pellens"",""ark"":""ark:/83110/x0/b24cf319-e359-5260-a8cd-8dde07790c9a"",""uri"":""/agents/people/64933"",""id"":""au::14591"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b24cf319-e359-5260-a8cd-8dde07790c9a
0b47a514-ae89-5881-a647-a2bff1209e0b,tg:lhpr:3279,ImmaterialContent,1,eaaaa5b4-6973-5a1f-a535-0356ff177160,au::4563,artists (visual artists),"dlod={""name"":""Elsa Courtoit"",""ark"":""ark:/83110/x0/eaaaa5b4-6973-5a1f-a535-0356ff177160"",""uri"":""/agents/people/81693"",""id"":""au::4563"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/eaaaa5b4-6973-5a1f-a535-0356ff177160
3563281f-1a79-55e2-81b8-50b8d9371d13,tg:lhpr:4292,ImmaterialContent,1,d8912c06-a678-57ee-a68e-5cf4b6a5c27e,au::15437,artists (visual artists),"dlod={""name"":""Henri Ramah"",""ark"":""ark:/83110/x0/d8912c06-a678-57ee-a68e-5cf4b6a5c27e"",""uri"":""/agents/people/54989"",""id"":""au::15437"",""nameWithContext"":[""Henri Raemaeker""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d8912c06-a678-57ee-a68e-5cf4b6a5c27e
