ResourceID,brocade.id,card,order,Acquisition Note,Registration Number value,Location Number,Archive Note,adm.note,Warehouse Location (begin),Serial Number
28b0692d-496b-503e-a61b-b936655cf5dc,tg:lhpr:2921,Items,1,tr:lh:1202,20510/1,Planex GP / V 4835,,,,
28b0692d-496b-503e-a61b-b936655cf5dc,tg:lhpr:2921,Items,2,tr:lh:3026,60421/2,Planex GP / V 4835,,,,
28b0692d-496b-503e-a61b-b936655cf5dc,tg:lhpr:2921,Items,3,tr:lh:139964,,,isad:lh:144190,,,
8d2a6941-a82d-550b-8de7-933024a6d956,tg:lhpr:2521,Items,1,tr:lh:2212,43540/3,Planex GP / C 4856,,,,
8d2a6941-a82d-550b-8de7-933024a6d956,tg:lhpr:2521,Items,2,,75223/1,Planex GP / C 4856,,,,
7108dc2a-c2ce-54a7-9dfe-62eb50184757,tg:lhpr:2464,Items,1,tr:lh:1202,20504,"(2) planex GP / IX,3",,,,
7108dc2a-c2ce-54a7-9dfe-62eb50184757,tg:lhpr:2464,Items,2,tr:lh:2212,43536/5,(1)SC 53 A 1,,,,
ab25ed1c-ca5e-5e67-b5cd-b7d09d858440,tg:lhpr:2433,Items,1,,53693,"Planex GP / IX, 1",,(2) Prent is gedrukt op Japans papier.,,
ab25ed1c-ca5e-5e67-b5cd-b7d09d858440,tg:lhpr:2433,Items,2,,55950,"Planex GP / IX, 1",,(2) Prent is gedrukt op Japans papier.,,
08b675a7-f189-57a9-9ae7-e44fdc429f9b,tg:lhpr:1589,Items,1,tr:lh:1166,20233,"Planex GP / IX, 2",,Litho is gemaakt naar een tekening van Jef Lambeaux,,
08b675a7-f189-57a9-9ae7-e44fdc429f9b,tg:lhpr:1589,Items,2,,42467,"Planex GP / IX, 2",,Litho is gemaakt naar een tekening van Jef Lambeaux,,
08b675a7-f189-57a9-9ae7-e44fdc429f9b,tg:lhpr:1589,Items,3,,47442/221,"Planex GP / IX, 2",,Litho is gemaakt naar een tekening van Jef Lambeaux,,
575b6f57-e9a6-565f-95d2-dc91d2315303,tg:lhpr:2761,Items,1,,52944,"Planex GP / IX, 3",,,,
575b6f57-e9a6-565f-95d2-dc91d2315303,tg:lhpr:2761,Items,2,,215081,"Planex GP / IX, 3",,,,
575b6f57-e9a6-565f-95d2-dc91d2315303,tg:lhpr:2761,Items,3,,53576,"Planex GT / VI,5",,,,
86df218b-3efb-5217-89bf-57bc1b86a048,tg:lhpr:9300,Items,1,tr:lh:1173,20277,Planex GP / C 34,isad:lh:96267,(1) ets ; (2) mechanische reproductie,V2 E,
86df218b-3efb-5217-89bf-57bc1b86a048,tg:lhpr:9300,Items,2,,141988,Planex GP / C 34,,(1) ets ; (2) mechanische reproductie,,
86df218b-3efb-5217-89bf-57bc1b86a048,tg:lhpr:9300,Items,3,tr:lh:5009,99307/1,Planex GP / C 34,,Met blindstempel Stadsbibliotheek Antwerpen,,
