ResourceID,brocade.id,card,order,source_field,Material Records
28b0692d-496b-503e-a61b-b936655cf5dc,tg:lhpr:2921,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""bba5d809-c528-5f5a-bfe9-6daa869d8f56"", ""ontologyProperty"": """", ""resourceXresourceId"": ""da417839-1218-4276-af33-a52ac2aa1d17"", ""inverseOntologyProperty"": """"}]"
28b0692d-496b-503e-a61b-b936655cf5dc,tg:lhpr:2921,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""6945d25c-11f2-528d-b638-67a3fdfe07de"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d96abb11-f9bf-4a5b-924d-20b726f45b87"", ""inverseOntologyProperty"": """"}]"
28b0692d-496b-503e-a61b-b936655cf5dc,tg:lhpr:2921,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""5aeba114-b3e6-5ab5-808e-f7d0346b5dd9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""77cfd989-73ba-49f4-8e0a-7e3c2445efba"", ""inverseOntologyProperty"": """"}]"
8d2a6941-a82d-550b-8de7-933024a6d956,tg:lhpr:2521,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""098e0389-d02a-5317-a967-53ad10f8410b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2e2c2b39-e264-4d62-9a71-3ba4de07b103"", ""inverseOntologyProperty"": """"}]"
8d2a6941-a82d-550b-8de7-933024a6d956,tg:lhpr:2521,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""e1378e13-e78a-5041-9755-66738a5eb44c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0e760258-f00b-4516-bac8-157c483b382b"", ""inverseOntologyProperty"": """"}]"
7108dc2a-c2ce-54a7-9dfe-62eb50184757,tg:lhpr:2464,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""30f8bca0-4720-4d95-85fd-50265cc4cba5"", ""inverseOntologyProperty"": """"}]"
7108dc2a-c2ce-54a7-9dfe-62eb50184757,tg:lhpr:2464,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""09e5b330-eedc-5c41-8ff1-164cae8984ae"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d0202de5-fc58-4851-9b52-a5427ec0ef1f"", ""inverseOntologyProperty"": """"}]"
ab25ed1c-ca5e-5e67-b5cd-b7d09d858440,tg:lhpr:2433,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""fe421aa4-166c-5f2d-b788-5a98524567d6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e14da72f-e63b-4318-8939-19930e83e8a9"", ""inverseOntologyProperty"": """"}]"
ab25ed1c-ca5e-5e67-b5cd-b7d09d858440,tg:lhpr:2433,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""635c1293-aea8-5191-a41e-0b4a4fab15f4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e869182-1de7-4580-9e8b-0c98d18ac3c9"", ""inverseOntologyProperty"": """"}]"
08b675a7-f189-57a9-9ae7-e44fdc429f9b,tg:lhpr:1589,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""b6fba949-6f69-5fd1-9bbc-913c2c6e5fd4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""39370916-d117-48ec-8695-cdb03d38f138"", ""inverseOntologyProperty"": """"}]"
08b675a7-f189-57a9-9ae7-e44fdc429f9b,tg:lhpr:1589,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""926d6315-88a2-5e6d-b26e-4e613a95c902"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bd942386-05f0-48c7-b0dd-871923daee15"", ""inverseOntologyProperty"": """"}]"
08b675a7-f189-57a9-9ae7-e44fdc429f9b,tg:lhpr:1589,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""721be338-50e4-5c57-b80e-52adbff73a9c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cff9eb1a-bfb8-4183-b272-3a560369252e"", ""inverseOntologyProperty"": """"}]"
575b6f57-e9a6-565f-95d2-dc91d2315303,tg:lhpr:2761,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""eb6ab5ec-09b2-59b0-852d-82a1eb573488"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cd53469f-b667-4fbc-92fe-c8e6a957bab0"", ""inverseOntologyProperty"": """"}]"
575b6f57-e9a6-565f-95d2-dc91d2315303,tg:lhpr:2761,MaterialRecords,1,brocade.material_uuids,"[{""resourceId"": ""25ca313f-55ee-5a4e-b029-bb3a6f02b4ac"", ""ontologyProperty"": """", ""resourceXresourceId"": ""813b36a8-a734-47be-befc-0a811e454ddd"", ""inverseOntologyProperty"": """"}]"
