ResourceID,brocade.id,card,order,source_field,Place_code
11daa277-63db-5c88-a710-edbfcd31196f,tg:rubhs:31_#1,e22_ProductionPlacesSource,1,id/place.place,au::106118
96054547-ed09-553f-ad51-49fb23faff12,tg:rubhs:21_#1,e22_ProductionPlacesSource,1,id/place.place,au::102047
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,e22_ProductionPlacesSource,1,id/place.place,au::106158
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,e22_ProductionPlacesSource,2,id/place.place,au::105203
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,e22_ProductionPlacesSource,3,id/place.place,au::100105
a0f4505a-38d4-5c11-8119-3cea14b3b45f,tg:rubhs:88_#1,e22_ProductionPlacesSource,4,id/place.place,au::100141
828b6921-fbb4-562e-9ddc-b10d7cc0e42f,tg:rubhs:108_#1,e22_ProductionPlacesSource,1,id/place.place,au::102018
828b6921-fbb4-562e-9ddc-b10d7cc0e42f,tg:rubhs:108_#1,e22_ProductionPlacesSource,2,id/place.place,au::106118
828b6921-fbb4-562e-9ddc-b10d7cc0e42f,tg:rubhs:108_#1,e22_ProductionPlacesSource,3,id/place.place,au::105989
7c1308fe-7e53-5742-ab1c-6d448ad06b28,tg:rubhs:43_#1,e22_ProductionPlacesSource,1,id/place.place,au::106118
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,e22_ProductionPlacesSource,1,id/place.place,au::106118
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,e22_ProductionPlacesSource,2,id/place.place,au::106728
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,e22_ProductionPlacesSource,3,id/place.place,au::106727
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,e22_ProductionPlacesSource,4,id/place.place,au::106648
0fb10a17-cf61-5371-bd3b-293777ce8bfb,tg:rubhs:145_#1,e22_ProductionPlacesSource,5,id/place.place,au::102021
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_ProductionPlacesSource,1,id/place.place,au::106118
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_ProductionPlacesSource,2,id/place.place,au::105187
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_ProductionPlacesSource,3,id/place.place,au::102849
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_ProductionPlacesSource,4,id/place.place,au::106852
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_ProductionPlacesSource,5,id/place.place,au::100141
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_ProductionPlacesSource,6,id/place.place,au::104803
25733196-5b31-5b36-ab9f-19af9ee82683,tg:rubhs:137_#1,e22_ProductionPlacesSource,7,id/place.place,au::100105
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,e22_ProductionPlacesSource,1,id/place.place,au::102047
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,e22_ProductionPlacesSource,2,id/place.place,au::106801
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,e22_ProductionPlacesSource,3,id/place.place,au::103088
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,e22_ProductionPlacesSource,4,id/place.place,au::106118
ec28be6f-b5ea-5bcc-8a48-4416d1113d55,tg:rubhs:111_#1,e22_ProductionPlacesSource,5,id/place.place,au::106086
ac97416f-0ede-52e6-95aa-bd18f3fbe6d2,tg:rubhs:28_#1,e22_ProductionPlacesSource,1,id/place.place,au::106118
f54b46cc-554a-59a8-9e15-fa50f84521b2,tg:rubhs:38_#1,e22_ProductionPlacesSource,1,id/place.place,au::106118
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,e22_ProductionPlacesSource,1,id/place.place,au::105203
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,e22_ProductionPlacesSource,2,id/place.place,au::103855
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,e22_ProductionPlacesSource,3,id/place.place,au::103726
700c5c2c-3825-5234-85a2-79af10c728e3,tg:rubhs:91_#1,e22_ProductionPlacesSource,4,id/place.place,au::106680
d8c011d2-a6a2-566b-8ef4-032942ed15a8,tg:rubhs:81_#1,e22_ProductionPlacesSource,1,id/place.place,au::102018
d8c011d2-a6a2-566b-8ef4-032942ed15a8,tg:rubhs:81_#1,e22_ProductionPlacesSource,2,id/place.place,au::101982
b26adc0c-a5bc-5319-9290-dd8d4aa6deac,tg:rubhs:215_#1,e22_ProductionPlacesSource,1,id/place.place,au::102989
