ResourceID,brocade.id,card,order,kenmerken.rubobjnrgr,isaad,Associated Archive
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_AssociatedArchives,2,AFG_036,isad:rub:2966,"dlod={""name"":""Map 3 (AFG_036)"",""ark"":""ark:/86530/x0/0d737893-927c-5c01-9199-52ef14ed26b4"",""uri"":""/repositories/13/archival_objects/174506"",""id"":""isad:rub:2966"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""X: Weddings / Peasants Dance""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 3 (AFG_036)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_AssociatedArchives,3,AFG_037,isad:rub:2967,"dlod={""name"":""Map 4 (AFG_037)"",""ark"":""ark:/86530/x0/00d4c7a9-3933-5940-b6c2-a10f2558e0c9"",""uri"":""/repositories/13/archival_objects/174507"",""id"":""isad:rub:2967"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""X: Weddings / Peasants Dance""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 4 (AFG_037)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
ba2f60cd-dadd-50a7-8533-5309d60c6655,tg:rubgr:1765,e73_AssociatedArchives,4,AFG_047,isad:rub:2977,"dlod={""name"":""Map 4 (AFG_047)"",""ark"":""ark:/86530/x0/c8507344-f127-51a3-821f-bf327e3103ea"",""uri"":""/repositories/13/archival_objects/174519"",""id"":""isad:rub:2977"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""XII: Bird Nester / Misanthrope / Blind / Woman's Head / Magpie / Storm at Sea / Shepherds""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 4 (AFG_047)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
57cd7876-8884-5909-9bd0-cbafcf8601cf,tg:rubgr:4460,e73_AssociatedArchives,2,AFG_022,isad:rub:2952,"dlod={""name"":""Map 1 (AFG_022)"",""ark"":""ark:/86530/x0/5af1b7bf-aa40-5aa6-84e9-00c0efbacdb0"",""uri"":""/repositories/13/archival_objects/174490"",""id"":""isad:rub:2952"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""VIII: Months""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_022)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
d0912f2c-e2d3-5fa1-ab45-7c6fe40b0e16,tg:rubgr:4257,e73_AssociatedArchives,2,AFG_024,isad:rub:2954,"dlod={""name"":""Map 3 (AFG_024)"",""ark"":""ark:/86530/x0/1f85698f-fffc-5dd3-8512-f96ac74b47d3"",""uri"":""/repositories/13/archival_objects/174492"",""id"":""isad:rub:2954"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""VIII: Months""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 3 (AFG_024)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
ccd7043d-9879-5247-86e7-253739f81e1e,tg:rubgr:4131,e73_AssociatedArchives,2,AFG_007,isad:rub:2937,"dlod={""name"":""Map 3 (AFG_007)"",""ark"":""ark:/86530/x0/b0de98c3-2012-5532-a25f-5638b142d769"",""uri"":""/repositories/13/archival_objects/174470"",""id"":""isad:rub:2937"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""III: Carnival \u0026 Lent / Proverbs / Children's Games""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 3 (AFG_007)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
05afc99a-cd9a-57ac-afeb-72ca8837af30,tg:rubgr:4774,e73_AssociatedArchives,2,AFG_004,isad:rub:2934,"dlod={""name"":""Map 2 (AFG_004)"",""ark"":""ark:/86530/x0/16df42a9-12b0-5440-8a47-5ecf1a6559d9"",""uri"":""/repositories/13/archival_objects/174466"",""id"":""isad:rub:2934"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""II: Icarus / Adoration""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 2 (AFG_004)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
05afc99a-cd9a-57ac-afeb-72ca8837af30,tg:rubgr:4774,e73_AssociatedArchives,3,AFG_011,isad:rub:2941,"dlod={""name"":""Map 1 (AFG_011)"",""ark"":""ark:/86530/x0/b397447c-8770-536c-aeec-58bab2d5c771"",""uri"":""/repositories/13/archival_objects/174476"",""id"":""isad:rub:2941"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""V: Resurrection / Death of Virgin / Monkeys / Suicide of Saul / Flight into Egypt""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 1 (AFG_011)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
05afc99a-cd9a-57ac-afeb-72ca8837af30,tg:rubgr:4774,e73_AssociatedArchives,4,AFG_125,isad:rub:3047,"dlod={""name"":""32: Bruegel and Raphael - Festschrift (AFG_125)"",""ark"":""ark:/86530/x0/6835f5d5-a1be-5bc9-ab80-0bb8f1c33086"",""uri"":""/repositories/13/archival_objects/174594"",""id"":""isad:rub:3047"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""32: Bruegel and Raphael - Festschrift (AFG_125)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
c60c5ffd-068a-5b91-ade5-0dbcf58e1b40,tg:rubgr:2350,e73_AssociatedArchives,2,AFG_010,isad:rub:2940,"dlod={""name"":""Map 3 (AFG_010)"",""ark"":""ark:/86530/x0/0b0926d5-bcda-5383-be61-b96eb86fe671"",""uri"":""/repositories/13/archival_objects/174474"",""id"":""isad:rub:2940"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""IV: Rebel Angels / Triumph of Death / Dulle Griet""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 3 (AFG_010)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
8303423a-e083-5ba9-a64b-cc2c221a6ee2,tg:rubgr:4780,e73_AssociatedArchives,2,AFG_021,isad:rub:2951,"dlod={""name"":""Map 3 (AFG_021)"",""ark"":""ark:/86530/x0/c35447a0-a6ac-5ce4-aa37-3d560680432e"",""uri"":""/repositories/13/archival_objects/174488"",""id"":""isad:rub:2951"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Dozen Bruegel"",""VII: Procession to Calvary / Adoration / Adulteress""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""Map 3 (AFG_021)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
8303423a-e083-5ba9-a64b-cc2c221a6ee2,tg:rubgr:4780,e73_AssociatedArchives,3,AFG_125,isad:rub:3047,"dlod={""name"":""32: Bruegel and Raphael - Festschrift (AFG_125)"",""ark"":""ark:/86530/x0/6835f5d5-a1be-5bc9-ab80-0bb8f1c33086"",""uri"":""/repositories/13/archival_objects/174594"",""id"":""isad:rub:3047"",""nameWithContext"":[""Professioneel leven"",""Kunsthistoricus"",""Bruegelonderzoek"",""Bundels Bruegel""],""resourceName"":""Archief van Fritz Grossmann"",""resourceArk"":""ark:/86530/x0/7600631a-2f7a-57d7-b05b-e8458944bef4"",""resourceURI"":""/repositories/13/resources/2252"",""resourceID"":""isad:rub:2903"",""capacity"":""32: Bruegel and Raphael - Festschrift (AFG_125)"",""isCapacity"":true,""orgID"":""rub"",""suggestType"":""archiveobject""}"
