ResourceID,brocade.id,card,order,archiefstuknummer,title,volgnummer,note
883eaa0b-5ca3-5345-a316-e3c3738ebd04,tg:rubgr:3750_#1,e22_OtherIdentifiers,1,AFG_098_058,,,
883eaa0b-5ca3-5345-a316-e3c3738ebd04,tg:rubgr:3750_#1,e22_OtherIdentifiers,1,,AFG_098_058,,
6cbf541f-bc42-5aad-a563-94aebca8d083,tg:rubgr:598_#1,e22_OtherIdentifiers,1,AFG_013_001,,,
6cbf541f-bc42-5aad-a563-94aebca8d083,tg:rubgr:598_#1,e22_OtherIdentifiers,1,,AFG_013_001,,
ffac129d-84bd-563d-887e-078fe0cc22fe,tg:rubgr:3628_#1,e22_OtherIdentifiers,1,AFG_097_074,,,
ffac129d-84bd-563d-887e-078fe0cc22fe,tg:rubgr:3628_#1,e22_OtherIdentifiers,1,,AFG_097_074,,
5b63b7bc-ec00-5ebd-8022-fc5e04187bff,tg:rubgr:2322_#1,e22_OtherIdentifiers,1,AFG_077_006,,,
5b63b7bc-ec00-5ebd-8022-fc5e04187bff,tg:rubgr:2322_#1,e22_OtherIdentifiers,1,,AFG_077_006,,
0b9a0f0f-d3cb-5252-b4db-86e5ddc0090e,tg:rubgr:3740_#1,e22_OtherIdentifiers,1,AFG_098_048,,,
0b9a0f0f-d3cb-5252-b4db-86e5ddc0090e,tg:rubgr:3740_#1,e22_OtherIdentifiers,1,,AFG_098_048,,
1b98f93a-f9ad-56b5-a3e3-9665fd549efd,tg:rubgr:1120_#1,e22_OtherIdentifiers,1,AFG_024_002,,,
1b98f93a-f9ad-56b5-a3e3-9665fd549efd,tg:rubgr:1120_#1,e22_OtherIdentifiers,1,,AFG_024_002,,
7a13299b-3203-5266-87b9-f07dc46c3a2e,tg:rubgr:3638_#1,e22_OtherIdentifiers,1,AFG_097_084,,,
7a13299b-3203-5266-87b9-f07dc46c3a2e,tg:rubgr:3638_#1,e22_OtherIdentifiers,1,,AFG_097_084,,
