ResourceID,brocade.id,card,order,Archive Note,adm.isadPartOf,Warehouse Location (begin),Serial Number,adm.note,Warehouse Location (ende)
d4d5d99b-cc91-583f-aba6-14b58f3e39d0,tg:rubgr:3721,Items,1,AFG_098_029,isad:rub:3021,,,,
175b6b9b-0937-5949-a3bf-bab05fa2d8e9,tg:rubgr:2833,Items,1,AFG_086_091,isad:rub:3016,,,,
787977c6-737c-565d-adab-a0c5d7cd499f,tg:rubgr:729,Items,1,AFG_017_022,isad:rub:2947,,,,
b05f8d36-4693-51a8-9f9d-3a9e6c86cae0,tg:rubgr:3371,Items,1,AFG_093_034,isad:rub:3019,,,,
4b49359d-c991-5d73-9a5b-e7525f5101fc,tg:rubgr:683,Items,1,AFG_016_016,isad:rub:2946,,,,
d74c451c-9476-56a2-a712-1b3ce481c9b3,tg:rubgr:379,Items,1,AFG_007_028,isad:rub:2937,,,,
4a97664d-dba3-5308-984c-31204cee7bf2,tg:rubgr:2999,Items,1,AFG_088_020,isad:rub:3018,,,,
b425a01e-0135-5b76-a417-863e10986d85,tg:rubgr:2130,Items,1,AFG_058_044,isad:rub:2988,,,,
68172bd9-22e0-59d5-8f6f-3a1c1569ac6b,tg:rubgr:2560,Items,1,AFG_083_110,isad:rub:3013,,,,
0d61ec22-87f6-5cb3-8d35-d1f7c6becbac,tg:rubgr:4908,Items,1,AFG_136_036,isad:rub:3058,,,,
b054fb3a-43e0-5770-af6e-03df58406ab5,tg:rubgr:3664,Items,1,AFG_097_110,isad:rub:3021,,,,
799335a5-10ae-5d78-ad7b-3d9e7e510a2e,tg:rubgr:1659,Items,1,AFG_045_015,isad:rub:2975,,,,
bf61acd1-1a65-57f6-baec-029912374c27,tg:rubgr:2976,Items,1,AFG_087_003,isad:rub:3017,,,,
353d1bea-869d-55ba-8541-cb90e5330b2c,tg:rubgr:396,Items,1,AFG_008_015,isad:rub:2938,,,,
2d4b2d19-0e2d-521b-bfc1-8963c4b5088b,tg:rubgr:3234,Items,1,AFG_091_038,isad:rub:3018,,,,
8042eaa7-0073-558c-945d-d5bad0bf545f,tg:rubgr:1209,Items,1,AFG_029_018,isad:rub:2959,,,,
590fefe8-2c37-5fc6-bda7-7f12c41405b2,tg:rubgr:816,Items,1,AFG_018_005,isad:rub:2948,,,,
33f2d377-ac3c-5327-a7be-23f4e590d677,tg:rubgr:1823,Items,1,AFG_048_002,isad:rub:2978,,,,
c6d9e256-6a1e-5a3a-9925-b584353913a0,tg:rubgr:1989,Items,1,AFG_055_020,isad:rub:2985,,,,
c1213526-8aa3-5636-b761-88b23fd5499a,tg:rubgr:5163,Items,1,AFG_143_042,isad:rub:3065,,,,
6865645d-835d-5edb-a6fa-84e89256c876,tg:rubgr:4322,Items,1,AFG_111_117,isad:rub:3032,,,,
31feeb3a-8d5d-5dde-8b5b-33c786c3bd5d,tg:rubgr:115,Items,1,AFG_003_043,isad:rub:2933,,,,
04fbc0f6-7964-5fec-aa99-f37952fc1df4,tg:rubgr:1120,Items,1,AFG_024_002,isad:rub:2954,,,,
609021a6-c817-5bed-98cc-6916534b4d63,tg:rubgr:4772,Items,1,AFG_129_008,isad:rub:3051,,,,
62948151-4c94-5bdd-a21a-608f1477d274,tg:rubgr:545,Items,1,AFG_011_004,isad:rub:2941,,,,
82f085c3-e0a3-5d76-9b29-318ffab0e03e,tg:rubgr:1570,Items,1,AFG_042_022,isad:rub:2972,,,,
13a592fd-0f0b-531f-8d95-a54f3f9750f4,tg:rubgr:4288,Items,1,AFG_111_083,isad:rub:3032,,,,
b8f5eb9e-95f2-548d-8ad4-8c65553be050,tg:rubgr:1065,Items,1,AFG_023_013,isad:rub:2953,,,,
dc93b455-5ef2-564b-ad57-dc75cb4ff550,tg:rubgr:3058,Items,1,AFG_089_058,isad:rub:3018,,,,
